"Vorname","Sprachregion / Kanton","Masseinheit","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"Noah","Schweiz","Anzahl",381,392,443,421,435,443,409,397,406,406,446,439,460,438,459,443,477,490,443,437,507,559,540,495
"Liam","Schweiz","Anzahl",46,37,44,79,67,87,104,119,140,157,186,226,281,323,342,412,433,434,446,443,372,391,428,442
"Matteo","Schweiz","Anzahl",176,198,190,201,258,258,243,241,286,314,260,292,263,255,298,286,269,276,313,360,359,385,353,362
"Gabriel","Schweiz","Anzahl",163,146,165,181,177,183,193,243,251,310,291,306,311,319,350,357,345,328,324,340,310,327,286,284
"Leano","Schweiz","Anzahl",2,1,1,2,4,4,3,7,10,8,23,23,34,56,88,119,95,125,166,175,167,229,242,282
"Leo","Schweiz","Anzahl",84,111,78,71,105,84,106,118,121,135,125,149,149,180,175,224,219,213,237,228,239,256,256,273
"Luca","Schweiz","Anzahl",653,589,568,501,453,444,420,416,445,462,441,394,462,392,398,361,345,360,332,336,332,368,291,271
"Leon","Schweiz","Anzahl",101,110,119,163,191,199,252,277,310,347,324,326,308,312,341,353,337,347,344,318,332,315,293,255
"Elias","Schweiz","Anzahl",126,141,149,171,156,177,199,199,225,253,228,248,234,251,308,280,314,302,326,314,315,303,281,246
"Lio","Schweiz","Anzahl",0,0,5,4,3,8,6,10,19,26,29,42,39,54,86,106,144,138,174,170,227,270,233,245
"Louis","Schweiz","Anzahl",111,86,106,110,150,114,147,152,170,170,211,244,220,239,283,267,288,266,301,312,256,272,251,241
"Nino","Schweiz","Anzahl",49,57,37,51,57,65,59,67,83,107,108,132,149,181,219,197,204,220,223,228,222,258,208,201
"Leonardo","Schweiz","Anzahl",67,71,75,50,97,87,85,104,116,125,126,146,154,135,146,150,196,194,189,219,223,248,224,196
"Aaron","Schweiz","Anzahl",87,74,80,88,84,97,122,114,141,152,170,178,160,138,187,163,207,229,255,217,251,204,199,193
"Ben","Schweiz","Anzahl",20,28,26,37,51,48,84,103,138,139,171,184,230,197,222,213,264,273,281,225,267,227,156,189
"Elio","Schweiz","Anzahl",23,28,30,30,31,27,35,44,34,53,62,66,81,78,81,88,102,107,132,133,158,183,205,187
"Elia","Schweiz","Anzahl",103,129,133,138,147,167,149,158,162,155,180,180,179,177,178,199,194,156,194,185,189,204,196,186
