date,firm_name,amount_chf,type,location,firm_name_norm,firm_name_clean,ehraid,uid,legal_seat
2016-01-01,Oviva AG,800'000,Equity,Altendorf,oviva ag,oviva ag,1153456.0,CHE442270754,Altendorf
2016-01-01,SteriLux SA,100'000,Loan,Prilly,sterilux sa,sterilux sa,1191889.0,CHE197903656,Renens (VD)
2016-01-01,wefox Holding AG,5'500'000,Equity,Zürich,wefox holding ag,wefox holding ag,1201794.0,CHE375651476,Zürich
2016-01-09,rqmicro AG,3'700'000,Equity,Schlieren,rqmicro ag,rqmicro ag,1139718.0,CHE412218826,Schlieren
2016-01-14,Goodwall SA,2'100'000,Equity,Genève,goodwall sa,goodwall sa,1059251.0,CHE136959165,Genève
2016-01-15,Wingtra AG,3'100'000,Equity,Zürich,wingtra ag,wingtra ag,1265904.0,CHE264608949,Zürich
2016-01-20,InterAx Biotech AG,100'000,Equity,Villigen,interax biotech ag,interax biotech ag,1262062.0,CHE193061573,Villigen
2016-01-21,Scrona AG,250'000,Equity,Adliswil,scrona ag,scrona ag,1176134.0,CHE140831031,Zürich
2016-02-01,Interprefy AG,400'000,Equity,Zurich,interprefy ag,interprefy ag,1200875.0,CHE302671075,Zürich
2016-02-02,AgroScience Capital AG,100'000,Equity,Cham,agroscience capital ag,agroscience capital ag,1251841.0,CHE268532794,Cham
2016-02-22,AgroScience Capital AG,500'000,Equity,Cham,agroscience capital ag,agroscience capital ag,1251841.0,CHE268532794,Cham
2016-02-24,Lunaphore Technologies SA,487'700,Grant,Tolochenaz,lunaphore technologies sa,lunaphore technologies sa,1179079.0,CHE213835541,Tolochenaz
2016-03-23,xorlab AG,100'000,Equity,Zürich,xorlab ag,xorlab ag,1231282.0,CHE469333241,Zürich
2016-04-01,SteriLux SA,440'000,Equity,Prilly,sterilux sa,sterilux sa,1191889.0,CHE197903656,Renens (VD)
2016-04-08,Karmagenes SA,260'000,Equity,Monthey,karmagenes sa,karmagenes sa,1212274.0,CHE318733894,Monthey
2016-04-11,Topadur Pharma AG,2'200'000,Equity,Schlieren,topadur pharma ag,topadur pharma ag,1214982.0,CHE481951668,Schlieren
2016-04-20,PB&B SA,2'000'000,Equity,Lausanne,pb&b sa,pb&b sa,1164831.0,CHE180364998,Lausanne
2016-04-28,Agile Wind Power AG,3'100'000,Equity,Dübendorf,agile wind power ag,agile wind power ag,974183.0,CHE115480885,Dübendorf
2016-05-17,Allthings Technologies AG,2'000'000,Equity,Basel,allthings technologies ag,allthings technologies ag,1126468.0,CHE191384657,Basel
2016-05-23,Gamaya SA,3'200'000,Equity,Morges,gamaya sa,gamaya sa,1209430.0,CHE170772083,Etoy
2016-05-27,Aleva Neurotherapeutics SA,18'000'000,Equity,Lausanne,aleva neurotherapeutics sa,aleva neurotherapeutics sa,916020.0,CHE114416910,Ecublens (VD)
2016-05-29,L.E.S.S. SA,500'000,Loan,Renens,l.e.s.s. sa,l.e.s.s. sa,1096846.0,CHE249673253,Renens (VD)
2016-06-14,PharmaBiome AG,100'000,Equity,Zürich,pharmabiome ag,pharmabiome ag,1213408.0,CHE190589234,Schlieren
2016-06-21,Prodibi SA,400'000,Equity,Plan-Les-Ouates,prodibi sa,prodibi sa,1017108.0,CHE399193984,Saint-Sulpice (VD)
2016-06-24,Crispr Therapeutics AG,38'000'000,Equity,Basel,crispr therapeutics ag,crispr therapeutics ag,1158158.0,CHE494642722,Zug
2016-06-29,Pregnolia AG,100'000,Equity,Schlieren,pregnolia ag,pregnolia ag,1249425.0,CHE452682851,Schlieren
2016-07-13,Nanolive SA,500'000,Loan,Tolochenaz,nanolive sa,nanolive sa,1160125.0,CHE344780741,Tolochenaz
2016-07-20,Intento SA,100'000,Loan,Lausanne,intento sa,intento sa,1255277.0,CHE278263466,Lausanne
2016-07-26,Olympe SA,550'000,Equity,Lausanne,olympe sa,olympe sa,1242685.0,CHE190628093,Ecublens (VD)
2016-07-27,Kandou Bus SA,15'000'000,Equity,Lausanne,kandou bus sa,kandou bus sa,1006253.0,CHE462434237,Saint-Sulpice (VD)
2016-08-10,Bring! Labs AG,1'300'000,Equity,Zürich,bring! labs ag,bring! labs ag,1218840.0,CHE235575294,Zürich
2016-08-11,Nexxiot AG,2'000'000,Equity,Zürich,nexxiot ag,nexxiot ag,1214492.0,CHE429226969,Zürich
2016-08-16,Proteomedix AG,5'000'000,Equity,Schlieren,proteomedix ag,proteomedix ag,976067.0,CHE115542635,Schlieren
2016-08-16,KB Medical SA,200'000,Loan,Lausanne,kb medical sa,kb medical sa,1116942.0,CHE247608210,Lausanne
2016-08-24,AEROTAIN AG,100'000,Equity,Zürich,aerotain ag,aerotain ag,1237347.0,CHE446475634,Zürich
2016-09-01,Synple Chem AG,1'000'000,Equity,Zurich,synple chem ag,synple chem ag,1278370.0,CHE304808801,Lindau
2016-09-13,AKSELOS SA,2'200'000,Equity,Lausanne,akselos sa,akselos sa,1059298.0,CHE268255809,Ecublens (VD)
2016-10-01,Pryv SA,327'000,Convertible loan,Lausanne,pryv sa,pryv sa,1115173.0,CHE345934188,Ecublens (VD)
2016-10-04,Nanolive SA,500'000,Equity,Tolochenaz,nanolive sa,nanolive sa,1160125.0,CHE344780741,Tolochenaz
2016-10-18,Crispr Therapeutics AG,Undisclosed,Equity,Basel,crispr therapeutics ag,crispr therapeutics ag,1158158.0,CHE494642722,Zug
2016-10-25,KB Medical SA,2'500'000,Equity,Lausanne,kb medical sa,kb medical sa,1116942.0,CHE247608210,Lausanne
2016-10-26,Inositec AG,1'400'000,Equity,Zurich,inositec ag,inositec ag,1247107.0,CHE141970480,St. Gallen
2016-10-31,Spectroswiss Sàrl,1'425'000,Grant,Lausanne,spectroswiss sàrl,spectroswiss sàrl,1200218.0,CHE464052579,Ecublens (VD)
2016-11-01,SONECT AG,100'000,Equity,Zürich,sonect ag,sonect ag,1275254.0,CHE365421437,Zürich
2016-11-07,UrbanAlps AG,350'000,Equity,Zürich,urbanalps ag,urbanalps ag,1190180.0,CHE253169667,Zürich
2016-11-09,Vigilitech AG,130'000,Award,Heiden,vigilitech ag,vigilitech ag,1280783.0,CHE325921780,Heiden
2016-11-14,Insolight SA,100'000,Loan,Renens/Vaud,insolight sa,insolight sa,1234216.0,CHE400193929,Renens (VD)
2016-11-16,Rockstar Recruiting AG,100'000,Equity,Zürich,rockstar recruiting ag,rockstar recruiting ag,1282213.0,CHE372339597,Zürich
2016-11-17,Intento SA,100'000,Equity,Lausanne,intento sa,intento sa,1255277.0,CHE278263466,Lausanne
2016-11-18,Ecorobotix SA,3'000'000,Equity,Yverdon-les-Bains,ecorobotix sa,ecorobotix sa,1036949.0,CHE284375582,Yverdon-les-Bains
2016-11-25,Nezasa AG,740'000,Equity,Zürich,nezasa ag,nezasa ag,1109049.0,CHE498003739,Zürich
2016-12-01,Odne AG,100'000,Grant,Dübendorf,odne ag,odne ag,1346523.0,CHE165176923,Dübendorf
2016-12-07,Insolight SA,100'000,Equity,Renens/Vaud,insolight sa,insolight sa,1234216.0,CHE400193929,Renens (VD)
2016-12-16,Altoida AG,1'200'000,Equity,Luzern,altoida ag,altoida ag,1263760.0,CHE423730459,Luzern
2016-12-29,TwentyGreen AG,1'000'000,Equity,Root,twentygreen ag,twentygreen ag,1349673.0,CHE392442577,Root
2016-12-31,Archilogic AG,4'500'000,Equity,Zürich,archilogic ag,archilogic ag,1173697.0,CHE132789964,Zürich
2016-12-31,Spectroswiss Sàrl,150'000,Grant,Lausanne,spectroswiss sàrl,spectroswiss sàrl,1200218.0,CHE464052579,Ecublens (VD)
2017-01-01,wefox Holding AG,30'000'000,Equity,Zürich,wefox holding ag,wefox holding ag,1201794.0,CHE375651476,Zürich
2017-01-01,Nanoleq AG,250'000,Grant,Rümlang,nanoleq ag,nanoleq ag,1305859.0,CHE195398322,Rümlang
2017-01-10,Advanon AG,13'500'000,Equity,Zürich,advanon ag,advanon ag,1214004.0,CHE328188136,Zürich
2017-01-10,Gamaya SA,500'000,Loan,Morges,gamaya sa,gamaya sa,1209430.0,CHE170772083,Etoy
2017-01-18,Haelixa AG,100'000,Equity,Kemptthal,haelixa ag,haelixa ag,1264420.0,CHE248792688,Lindau
2017-01-18,SensArs Neuroprosthetics Sàrl,100'000,Equity,Lausanne,sensars neuroprosthetics sàrl,sensars neuroprosthetics sàrl,1184638.0,CHE130906673,Lausanne
2017-02-01,SONECT AG,400'000,Equity,Zürich,sonect ag,sonect ag,1275254.0,CHE365421437,Zürich
2017-02-10,ZuriMED Technologies AG,250'453,Grant,Zurich,zurimed technologies ag,zurimed technologies ag,1234271.0,CHE443849572,Zürich
2017-02-19,Melonport AG,2'900'000,Equity,Walchwil,melonport ag,melonport ag,1274284.0,CHE347659573,Zug
2017-03-01,Nexxiot AG,10'500'000,Loan,Zürich,nexxiot ag,nexxiot ag,1214492.0,CHE429226969,Zürich
2017-03-01,Versantis AG,4'500'000,Equity,Zürich,versantis ag,versantis ag,1216058.0,CHE269651272,Zürich
2017-03-15,Futurae Technologies AG,100'000,Equity,Zurich,futurae technologies ag,futurae technologies ag,1287146.0,CHE143306985,Zürich
2017-03-15,Zippsafe AG,100'000,Equity,Schlieren,zippsafe ag,zippsafe ag,1286043.0,CHE394721166,Schlieren
2017-04-01,hemotune AG,440'000,Grant,Schlieren,hemotune ag,hemotune ag,1320080.0,CHE312229634,Schlieren
2017-05-10,MaxWell Biosystems AG,100'000,Equity,Zurich,maxwell biosystems ag,maxwell biosystems ag,1275751.0,CHE178600178,Zürich
2017-05-10,BeeHelpful SA,100'000,Equity,Lugano,beehelpful sa,beehelpful sa,1294578.0,CHE304357460,Pollegio
2017-05-18,FinGuide AG,200'000,Equity,Horgen,finguide ag,finguide ag,1306131.0,CHE162841434,Horgen
2017-06-01,Avrios International AG,6'000'000,Equity,Zürich,avrios international ag,avrios international ag,1211117.0,CHE480579000,Zürich
2017-06-01,SteriLux SA,325'000,Equity,Prilly,sterilux sa,sterilux sa,1191889.0,CHE197903656,Renens (VD)
2017-06-21,Lambda Health System SA,750'000,Equity,Yverdon-les-Bains,lambda health system sa,lambda health system sa,1235263.0,CHE219618077,Yverdon-les-Bains
2017-06-21,hemotune AG,100'000,Equity,Schlieren,hemotune ag,hemotune ag,1320080.0,CHE312229634,Schlieren
2017-06-22,Bcomp AG,3'000'000,Equity,Fribourg,bcomp ag,bcomp ag,1010041.0,CHE161964560,Fribourg
2017-06-23,QualySense AG,14'000'000,Equity,Glattbrugg,qualysense ag,qualysense ag,980457.0,CHE115657014,Opfikon
2017-07-03,Geosatis SA,6'000'000,Equity,Le Noirmont,geosatis sa,geosatis sa,1031338.0,CHE314332639,Le Noirmont
2017-07-04,PB&B SA,1'000'000,Equity,Lausanne,pb&b sa,pb&b sa,1164831.0,CHE180364998,Lausanne
2017-07-12,Veezoo AG,300'000,Equity,Zürich,veezoo ag,veezoo ag,1270750.0,CHE311012807,Zürich
2017-08-01,Vigilitech AG,100'000,Loan,Heiden,vigilitech ag,vigilitech ag,1280783.0,CHE325921780,Heiden
2017-08-11,Astrocast SA,3'000'000,Equity,Chavannes-près-Renens,astrocast sa,astrocast sa,1196471.0,CHE415432149,Chavannes-près-Renens
2017-08-17,Exeon Analytics AG,100'000,Equity,Zürich,exeon analytics ag,exeon analytics ag,1273773.0,CHE196534272,Zürich
2017-08-24,Uepaa AG,500'000,Equity,Zürich,uepaa ag,uepaa ag,1048738.0,CHE413996889,Zürich
2017-09-01,Gamaya SA,4'200'000,Convertible loan,Morges,gamaya sa,gamaya sa,1209430.0,CHE170772083,Etoy
2017-09-01,Distran AG,Undisclosed,Equity,Zürich,distran ag,distran ag,1129665.0,CHE499611232,Zürich
2017-09-01,PIQUR Therapeutics AG,29'800'000,Equity,Basel,piqur therapeutics ag,piqur therapeutics ag,1030870.0,CHE268276527,Basel
2017-09-14,TOLREMO therapeutics AG,2'400'000,Equity,Basel,tolremo therapeutics ag,tolremo therapeutics ag,1298663.0,CHE350476582,Basel
2017-09-27,Nezasa AG,2'000'000,Equity,Zürich,nezasa ag,nezasa ag,1109049.0,CHE498003739,Zürich
2017-10-01,SteriLux SA,250'000,Loan,Prilly,sterilux sa,sterilux sa,1191889.0,CHE197903656,Renens (VD)
2017-10-04,Aleva Neurotherapeutics SA,13'000'000,Equity,Lausanne,aleva neurotherapeutics sa,aleva neurotherapeutics sa,916020.0,CHE114416910,Ecublens (VD)
2017-10-05,Agile Wind Power AG,900'000,Equity,Dübendorf,agile wind power ag,agile wind power ag,974183.0,CHE115480885,Dübendorf
2017-10-10,Xsensio SA,2'400'000,Grant,Lausanne,xsensio sa,xsensio sa,1174848.0,CHE440588151,Ecublens (VD)
2017-10-30,Resilient SA,350'000,Grant,Lausanne,resilient sa,resilient sa,1296008.0,CHE343059581,Lausanne
2017-10-31,GOLDAVENUE SA,1'000'000,Equity,Geneva,goldavenue sa,goldavenue sa,1325368.0,CHE297540011,Genève
2017-11-01,Auxivo AG,150'000,Grant,Schwerzenbach,auxivo ag,auxivo ag,1404986.0,CHE333419548,Schwerzenbach
2017-11-01,Readily3D SA,100'000,Grant,Lausanne,readily3d sa,readily3d sa,1436422.0,CHE261606782,Ecublens (VD)
2017-11-02,GetYourGuide AG,75'000'000,Equity,Zürich,getyourguide ag,getyourguide ag,899473.0,CHE114077156,Zürich
2017-11-06,Nouscom AG,46'200'000,Equity,Basel,nouscom ag,nouscom ag,1210307.0,CHE243080729,Basel
