uid,founding_name,section_1_label,company_url,current_pr_sdg_similarity,current_pr_w_sdg_similarity,current_pr_w_red_sdg_similarity
CHE256113137,Kickstart Innovation AG,M,http://www.kickstart-innovation.com/,0.96456563,0.15469505,0.30423653
CHE193983426,Parkhotel Grani Emmaus Sagl,I,http://www.parkhotelemmaus.ch/,0.9489162,0.169398,0.29652047
CHE497559589,Ferme de Rovéréaz Sàrl,A,http://rovereaz.ch,0.95585316,0.16609657,0.2831337
CHE485160967,TALENT GARDEN SUISSE SAGL,S,http://talentgarden.org/,0.9489075,0.1308744,0.26220068
CHE440427370,Dana Mosora Consulting GmbH,M,http://danamosora-consulting.eu/,0.9439131,0.06063467,0.25733146
CHE264516460,Teufelhof Management AG,M,http://www.wyniger.com/,0.9302253,0.102341175,0.25714538
CHE291678013,CER Médias Réformés Sàrl,J,http://reformes.ch/,0.9565947,0.054926775,0.25567323
CHE434735544,Welcome2school GmbH,Q,http://welcome2school.ch/,0.95801115,0.11069887,0.25114915
CHE440449963,Prélude SA,Q,http://preludesa.ch/,0.94717574,0.14026013,0.2510142
CHE428622417,RH-Pro Sàrl,M,http://rh-pro.ch/,0.94470274,0.14042248,0.2504989
CHE328345996,T-S Strategy Consulting GmbH,M,http://www.technologyandstrategy.com/,0.9548733,0.056297548,0.24804135
CHE423414998,Kompass Integrationssemester GmbH,Q,http://kompass-goldau.ch/,0.95015484,0.15590198,0.2465209
CHE382698655,Swiss Business Partners GmbH ( Swiss Business Partners LLC ) ( Swiss Business Partners Sàrl ) ( Swiss Business Partners Sagl ),M,http://www.swiss-business-partners.ch/,0.915152,0.12549786,0.245434
CHE247165916,Bordier Gastro Suisse Sàrl,I,http://leffetpapillon.ch/,0.9643209,0.11487829,0.23939402
CHE388296189,Max Egger Transport AG,H,http://www.egger-trans.ch/,0.9451447,0.15558423,0.23624733
CHE237623969,SicuraChiave SA,C,http://sicurachiave.com/,0.9347741,0.12815018,0.2353519
CHE310629282,Palexpo Hotel Reservation SA,N,http://www.palexpo.ch/,0.963433,0.13460945,0.23504846
CHE404034069,Plus und Plus AG,J,http://plusundplus.ch/,0.9123227,0.15099692,0.23370916
CHE255574493,Del Boca SA,F,http://www.gaudard.ch/,0.9463554,0.0648197,0.2332697
CHE430223251,New Silk Road Commodities SA,K,http://www.ixmetals.com/,0.9532785,0.11724009,0.22781205
