date,firm_name,amount_chf,type,location
2016-01-01,Oviva AG,800'000,Equity,Altendorf
2016-01-01,SteriLux SA,100'000,Loan,Prilly
2016-01-01,wefox Holding AG,5'500'000,Equity,Zürich
2016-01-09,rqmicro AG,3'700'000,Equity,Schlieren
2016-01-14,Goodwall SA,2'100'000,Equity,Genève
2016-01-15,Biowatch,100'000,Loan,Lausanne
2016-01-15,Wingtra AG,3'100'000,Equity,Zürich
2016-01-20,InterAx Biotech AG,100'000,Equity,Villigen
2016-01-21,Scrona AG,250'000,Equity,Adliswil
2016-02-01,Interprefy AG,400'000,Equity,Zurich
2016-02-02,AgroScience Capital AG,100'000,Equity,Cham
2016-02-09,Faveeo,350'000,Equity,Genève
2016-02-10,Biowatch,800'000,Grant,Lausanne
2016-02-15,Sport Components AG (milKit),1'000'000,Equity,Zürich
2016-02-22,AgroScience Capital AG,500'000,Equity,Cham
2016-02-24,Arcium,1'000'000,Equity,Lausanne
2016-02-24,Lunaphore Technologies SA,487'700,Grant,Tolochenaz
2016-03-01,Starmind International AG,5'000'000,Equity,Küsnacht
2016-03-23,xorlab AG,100'000,Equity,Zürich
2016-04-01,SteriLux SA,440'000,Equity,Prilly
2016-04-08,Karmagenes SA,260'000,Equity,Monthey
2016-04-11,Topadur Pharma AG,2'200'000,Equity,Schlieren
2016-04-20,PB&B SA,2'000'000,Equity,Lausanne
2016-04-28,Agile Wind Power AG,3'100'000,Equity,Dübendorf
2016-05-17,Allthings Technologies AG,2'000'000,Equity,Basel
2016-05-18,Younergy Solar SA,100'000,Equity,Lausanne
2016-05-23,Gamaya SA,3'200'000,Equity,Morges
2016-05-26,Lightbend Sàrl (Typesafe),20'000'000,Equity,Lausanne
2016-05-27,Aleva Neurotherapeutics SA,18'000'000,Equity,Lausanne
2016-05-29,L.E.S.S. SA,500'000,Loan,Renens
2016-05-31,N-Dream AG (AirConsole),1'000'000,Equity,Zürich
2016-06-01,1Drop Diagnostics Sàrl,774'000,Grant,Neuchâtel
2016-06-14,Depsys,3'000'000,Equity,Puidoux
2016-06-14,PharmaBiome AG,100'000,Equity,Zürich
2016-06-21,Prodibi SA,400'000,Equity,Plan-Les-Ouates
2016-06-24,Crispr Therapeutics AG,38'000'000,Equity,Basel
2016-06-29,Pregnolia AG,100'000,Equity,Schlieren
2016-07-13,Nanolive SA,500'000,Loan,Tolochenaz
2016-07-20,Intento SA,100'000,Loan,Lausanne
2016-07-26,Olympe SA,550'000,Equity,Lausanne
2016-07-27,Kandou Bus SA,15'000'000,Equity,Lausanne
2016-08-10,Bring! Labs AG,1'300'000,Equity,Zürich
2016-08-11,Nexxiot AG,2'000'000,Equity,Zürich
2016-08-14,CodeCheck,1'300'000,Equity,Zürich
2016-08-16,Proteomedix AG,5'000'000,Equity,Schlieren
2016-08-16,KB Medical SA,200'000,Loan,Lausanne
2016-08-24,AEROTAIN AG,100'000,Equity,Zürich
2016-09-01,Synple Chem AG,1'000'000,Equity,Zurich
2016-09-13,AKSELOS SA,2'200'000,Equity,Lausanne
2016-09-29,DomoHealth,2'000'000,Equity,Lausanne
2016-10-01,Pryv SA,327'000,Convertible loan,Lausanne
2016-10-04,Nanolive SA,500'000,Equity,Tolochenaz
2016-10-18,Crispr Therapeutics AG,Undisclosed,Equity,Basel
2016-10-25,KB Medical SA,2'500'000,Equity,Lausanne
2016-10-26,Inositec AG,1'400'000,Equity,Zurich
2016-10-27,Finity SA (former paper.li),200'000,Equity,Lausanne
2016-10-31,Spectroswiss Sàrl,1'425'000,Grant,Lausanne
2016-11-01,SONECT AG,100'000,Equity,Zürich
2016-11-07,UrbanAlps AG,350'000,Equity,Zürich
2016-11-09,Vigilitech AG,130'000,Award,Heiden
2016-11-14,Insolight SA,100'000,Loan,Renens/Vaud
2016-11-15,1Drop Diagnostics Sàrl,150'000,Loan,Neuchâtel
2016-11-16,Rockstar Recruiting AG,100'000,Equity,Zürich
2016-11-17,Intento SA,100'000,Equity,Lausanne
