model,target,mean_roc_auc,std_roc_auc,all_roc_auc,mean_pr_auc,std_pr_auc,all_pr_auc,mean_f1_macro,std_f1_macro,all_f1_macro,best_params
vanilla_logreg,target_inv_exit,0.6897168044189039,0.00475593803572564,"[0.6818982552946348, 0.6953611936873192, 0.6903548523951945, 0.6935278003271194, 0.6874419203902522]",0.26433051396975576,0.007099401942196502,"[0.25413280502510976, 0.2625099135439238, 0.26434479757124496, 0.27635959764782475, 0.2643054560606757]",0.5382568199516895,0.0030730660894598967,"[0.5321521306443822, 0.5404128189804666, 0.5397467196918454, 0.5393123102057321, 0.5396601202360214]",{}
vanilla_logreg,target_acquisition,0.7769244352842068,0.019674951698365386,"[0.8023363809155959, 0.7459454154130752, 0.7855020292540125, 0.7641954230189525, 0.7866429278193984]",0.03276423250816381,0.00707685759259984,"[0.03426657940370537, 0.029107654017940996, 0.02727258581223972, 0.027222502849131816, 0.04595184045780114]",0.44361876223074165,0.002205921528072131,"[0.4465094544419134, 0.44494396421658355, 0.4402070467728626, 0.44427851868079293, 0.44215482704155573]",{}
vanilla_logreg,target_non_gov_investment,0.908396540781666,0.011455726116097272,"[0.9143760967399218, 0.903614616036576, 0.9000218780170086, 0.9278226154466828, 0.8961474976681406]",0.07662023622091926,0.007231490504463623,"[0.07440013506605174, 0.06848432258548597, 0.08609953401100941, 0.08413351280596477, 0.06998367663608443]",0.4760192139387477,0.0013919720391668796,"[0.4764971022641932, 0.47614805197778853, 0.4772588704943941, 0.47333510780480087, 0.4768569371525618]",{}
vanilla_logreg,target_inno_subsidy,0.8602663561227978,0.011631401937987847,"[0.8512073097708457, 0.8534934374448412, 0.8536206988873601, 0.8602863817697909, 0.8827239527411505]",0.06003624613821655,0.0040776054763955885,"[0.06045872014185859, 0.05513632748059179, 0.05611774532395982, 0.06219142101322154, 0.06627701673145105]",0.4625640646700906,0.0004622802323041428,"[0.4618913943385412, 0.46279926850121733, 0.4631161416984282, 0.4628598543062661, 0.4621536645060001]",{}
logreg,target_inv_exit,0.6883432811502778,0.0043888079361446885,"[0.6825376326711401, 0.6930426645229192, 0.6867322622953946, 0.6938390247336167, 0.685564821528318]",0.2648414867970155,0.006980876139720272,"[0.25487360274642323, 0.2626045007147758, 0.26407516502458667, 0.2765514095211995, 0.26610275597809224]",0.5391272757959044,0.003876887138019122,"[0.5318631011429025, 0.5435555887490439, 0.5400083044669481, 0.5403122769917703, 0.5398971076288571]","{'C': 0.1, 'penalty': 'l1'}"
logreg,target_acquisition,0.785697566202755,0.012917377130640987,"[0.8000637171694586, 0.7676254523093186, 0.7867463227767769, 0.7748467748467748, 0.7992055639114463]",0.03251262424477972,0.0071627995784705025,"[0.03331004806526982, 0.029311649711075343, 0.027450995188551052, 0.026443127027922564, 0.046047301231079835]",0.4435421243054317,0.0023291899716268594,"[0.44679387808329646, 0.44377126502186215, 0.4404882509815948, 0.44521035569265777, 0.4414468717477474]","{'C': 0.1, 'penalty': 'l2'}"
logreg,target_non_gov_investment,0.9107835989025949,0.011000695914177183,"[0.9167818616625482, 0.9024666451795172, 0.9002510954062185, 0.9295869069100413, 0.9048314853546494]",0.07883012917536492,0.011009813336557105,"[0.07235673746581552, 0.0676551774378296, 0.09682853498005096, 0.08624758502751749, 0.07106261096561103]",0.4766814401094348,0.002013026861050494,"[0.477601026880803, 0.4770402693236092, 0.4768535456000118, 0.4729391144975858, 0.4789732442451641]","{'C': 0.01, 'penalty': 'l2'}"
logreg,target_inno_subsidy,0.862906696489621,0.011434362240447015,"[0.8559526377205935, 0.8592687059948287, 0.8558699112105399, 0.8578066421525065, 0.8856355853696367]",0.06130687803718256,0.0044043350878763985,"[0.06248585412956795, 0.05789542254997045, 0.05514537440510142, 0.06318339307718401, 0.06782434602408893]",0.4629667443597011,0.0008052847404316355,"[0.4620658385347216, 0.4636509541635222, 0.4619446924838411, 0.46386071345711216, 0.4633115231593082]","{'C': 0.01, 'penalty': 'l2'}"
rf,target_inv_exit,0.7059892425114053,0.005499210236109462,"[0.6972029832481255, 0.704359480161303, 0.7094750288822839, 0.7136488387691298, 0.7052598814961842]",0.29141403501443525,0.008953867622499136,"[0.28135374710957517, 0.2808670825889339, 0.2983231438194198, 0.3031033456412474, 0.29342285591299977]",0.5880276041209165,0.008884804264628945,"[0.5740880362173996, 0.5830752075268683, 0.5926163426192966, 0.6003033409843489, 0.5900550932566689]","{'n_estimators': 400, 'max_depth': None, 'min_samples_split': 10, 'min_samples_leaf': 9, 'max_features': 'sqrt'}"
rf,target_acquisition,0.7830174409318003,0.011586041572968381,"[0.7919196083712798, 0.7743865872499593, 0.8012933615501145, 0.7713529713529713, 0.7761346761346762]",0.07235549475837799,0.017618934675047784,"[0.10109106147991587, 0.06914138079347375, 0.07235635190217092, 0.04562335523353188, 0.0735653243827975]",0.5339755657820908,0.011182481116944823,"[0.5426733626857457, 0.5474151639546411, 0.5245021451281416, 0.5176678298104225, 0.5376193273315032]","{'n_estimators': 400, 'max_depth': None, 'min_samples_split': 7, 'min_samples_leaf': 4, 'max_features': 'log2'}"
