target,score,coef_name,coef,std_err,pval,pseudo_r2,n_obs
target_inno_subsidy_or_target_non_gov_investment_or_target_acquisition,founding_doc2vec_diff,founding_doc2vec_diff,0.23492989580030865,0.04202734774800212,2.2716229456903935e-08,0.11374390211159469,12905
target_inno_subsidy_or_target_non_gov_investment_or_target_acquisition,founding_core_diff_w_red_pca+founding_pr_w_red_sdg_similarity,founding_core_diff_w_red_pca,0.10121031480420509,0.04745367461666929,0.03293920353307823,0.1170478867475746,12988
target_inno_subsidy_or_target_non_gov_investment_or_target_acquisition,founding_core_diff_w_red_pca+founding_pr_w_red_sdg_similarity,founding_pr_w_red_sdg_similarity,0.23333455365831912,0.03420716261144206,9.027109012086621e-12,0.1170478867475746,12988

target_inno_subsidy_or_target_non_gov_investment,founding_doc2vec_diff,founding_doc2vec_diff,0.2273151673063941,0.046531749389273194,1.0334347132624745e-06,0.11958961002061852,10717
target_inno_subsidy_or_target_non_gov_investment,founding_core_diff_w_red_pca+founding_pr_w_red_sdg_similarity,founding_core_diff_w_red_pca,0.17093369459160024,0.06336442949520867,0.006983531407273321,0.1262463010158431,10786
target_inno_subsidy_or_target_non_gov_investment,founding_core_diff_w_red_pca+founding_pr_w_red_sdg_similarity,founding_pr_w_red_sdg_similarity,0.25534638210336835,0.037499172506037584,9.801540692405382e-12,0.1262463010158431,10786

target_inno_subsidy,founding_doc2vec_diff,founding_doc2vec_diff,0.2572610891148858,0.05526838613213382,3.243578428495887e-06,0.11878755161062582,9297
target_inno_subsidy,founding_core_diff_w_red_pca+founding_pr_w_red_sdg_similarity,founding_core_diff_w_red_pca,0.16290863100182842,0.07291626136026873,0.02547071030879659,0.12427470225384285,9357
target_inno_subsidy,founding_core_diff_w_red_pca+founding_pr_w_red_sdg_similarity,founding_pr_w_red_sdg_similarity,0.25647375406831113,0.04417168701321737,6.387117688139609e-09,0.12427470225384285,9357

