target,score,valid_folds,roc_aucs,mean_roc_auc,std_roc_auc,pr_aucs,mean_pr_auc,std_pr_auc
target_inno_subsidy_or_target_non_gov_investment_or_target_acquisition,founding_doc2vec_diff,6,"[0.748234147673668, 0.7575040965291227, 0.7838832613337305, 0.7809070708575402, 0.7906083966433288, 0.771637569919984]",0.7721290904928958,0.014954367034901017,"[0.11490902293945145, 0.1300787147495549, 0.12413804471738386, 0.1658734885676773, 0.12817678747675781, 0.18456848159991807]",0.1412907566751239,0.02505051448789306
target_inno_subsidy_or_target_non_gov_investment_or_target_acquisition,founding_core_diff_w_red_pca+founding_pr_w_red_sdg_similarity,7,"[0.7757446388470746, 0.8077418996619203, 0.7732429731263727, 0.770352639241912, 0.7315382622214545, 0.7712286849443524, 0.7549262147422452]",0.7692536161121902,0.021287915465239227,"[0.10314752059864693, 0.1947670700595452, 0.1610893211443302, 0.20403393186781763, 0.08621861813099561, 0.15832180655098166, 0.17639136703889144]",0.15485280505588697,0.04124986164047549
target_inno_subsidy_or_target_non_gov_investment_or_target_acquisition,current_doc2vec_diff,8,"[0.788187975139737, 0.73068841713019, 0.7893337503909915, 0.7373148739987216, 0.7840638642205329, 0.7630659177761759, 0.7846894507078646, 0.7864416117973554]",0.7704732326451961,0.022495841543262125,"[0.16617002328639305, 0.14949869806185376, 0.18076877809458844, 0.13310724758076864, 0.1723026383125789, 0.14771093033267815, 0.11276377521591946, 0.15291460384451708]",0.1519045868411622,0.020501411553681927
target_inno_subsidy_or_target_non_gov_investment_or_target_acquisition,current_core_diff_w_red_pca+current_pr_w_red_sdg_similarity,8,"[0.8068866532165246, 0.7920632878826859, 0.7565061676573734, 0.7781539003154916, 0.7854754966000067, 0.737508793086122, 0.7764948246407397, 0.736549090543664]",0.7712047767428261,0.02382406130276456,"[0.20267036877628833, 0.1403075594599181, 0.11333770875070458, 0.15200024477650548, 0.15170856139844602, 0.11590573221185185, 0.12459381606401218, 0.12996585555030188]",0.14131123087350356,0.026982534772704597
target_inno_subsidy_or_target_non_gov_investment,founding_doc2vec_diff,8,"[0.7718438123752496, 0.8076971057884231, 0.7784805389221556, 0.7798278443113772, 0.7483453503420225, 0.8061707853166533, 0.8428832604096055, 0.8167169943098951]",0.7939957114719227,0.02796944964663619,"[0.1147958504798315, 0.19277241548423565, 0.15076123413107584, 0.14760193614104544, 0.11885924944233688, 0.16657642560531086, 0.14354457155555567, 0.12366469736973824]",0.14482204752614125,0.024597757202303772
target_inno_subsidy_or_target_non_gov_investment,founding_core_diff_w_red_pca+founding_pr_w_red_sdg_similarity,8,"[0.8336986021834506, 0.8313314967860421, 0.8258259361289665, 0.7441157024793389, 0.7981446280991736, 0.814896694214876, 0.7728092951858384, 0.7851223136716964]",0.8007430835936729,0.02976766001608568,"[0.21599796819738404, 0.18840692285343605, 0.24218079291641864, 0.18799271399032588, 0.10861811509827288, 0.1570424108791569, 0.12064098189418714, 0.13812115844746234]",0.16987513303458046,0.04384135589392635
target_inno_subsidy_or_target_non_gov_investment,current_doc2vec_diff,4,"[0.7754123513617185, 0.7904766886354918, 0.8043205356208808, 0.8215165346193594]",0.7979315275593626,0.017027623894951122,"[0.13075678322018494, 0.14652673923973777, 0.13116689575026333, 0.17628496320689588]",0.14618384535427048,0.018504714897105014
target_inno_subsidy_or_target_non_gov_investment,current_core_diff_w_red_pca+current_pr_w_red_sdg_similarity,6,"[0.7805707919094962, 0.7627635413095646, 0.7794480630785053, 0.8043752142612273, 0.8135588134430727, 0.7936428326474623]",0.7890598761082214,0.01689038053653012,"[0.1583922680412981, 0.1683077414838749, 0.1562102530478412, 0.1186747102316, 0.16708409120817327, 0.1501195593104309]",0.15313143722053638,0.016625731340058215
target_inno_subsidy,founding_doc2vec_diff,6,"[0.7666805920267367, 0.7939663404153736, 0.7314872284554786, 0.8015146178231771, 0.7980450862979923, 0.7342432781495831]",0.7709895238613903,0.02921473295244568,"[0.08402659203515474, 0.09356878127399876, 0.07426869196510413, 0.12014572381869608, 0.13081362475822178, 0.09944310936640469]",0.1003777538695967,0.019635826727698695
target_inno_subsidy,founding_core_diff_w_red_pca+founding_pr_w_red_sdg_similarity,7,"[0.779999051132118, 0.7984308097401288, 0.8221465763660732, 0.7683292497958231, 0.7832662466456657, 0.815161591412904, 0.737985204344963]",0.7864741042053823,0.026648735733143747,"[0.11370001352740093, 0.13209903557270206, 0.14339217681257652, 0.12323137450570344, 0.11815176650764127, 0.11427612813994405, 0.13103941122221466]",0.12512712946974042,0.01012597288885514
target_inno_subsidy,current_doc2vec_diff,7,"[0.7903662219984898, 0.7565504656430908, 0.7476717845456835, 0.717537125597785, 0.7416876415806696, 0.8130952159949505, 0.7713132963286119]",0.762603107384183,0.029578199632257465,"[0.14612527403591974, 0.10424184976487803, 0.13778731334440272, 0.07956984391816885, 0.08183016415205609, 0.13046468597151778, 0.09505137328621581]",0.11072435778187986,0.025265596329602534
