target,score,valid_folds,roc_aucs,mean_roc_auc,std_roc_auc,pr_aucs,mean_pr_auc,std_pr_auc
target_inno_subsidy_or_target_non_gov_investment_or_target_acquisition,founding_doc2vec_diff,10,"[0.628779094282341, 0.5461608196997807, 0.5862339770618992, 0.5248487308146399, 0.5800171824928317, 0.5811477483555406, 0.5920001264968798, 0.6125848583234947, 0.5720821386405802, 0.5780411306125927]",0.580189580678058,0.028068272237597086,"[0.04000744242096056, 0.027666019166737568, 0.038172073131933645, 0.03175657011240049, 0.034163156095402075, 0.03233410342804808, 0.032432852772679904, 0.03198995010775148, 0.03058043388774039, 0.033621411624841196]",0.03327240127484954,0.0033836178023369753
target_inno_subsidy_or_target_non_gov_investment_or_target_acquisition,founding_core_diff_w_red_pca+founding_pr_w_red_sdg_similarity,10,"[0.6514343349663356, 0.6018128946058526, 0.5349414476958948, 0.593436116423463, 0.6052251709412905, 0.5790390610673024, 0.5858568388834733, 0.6026592455163884, 0.5983669276647485, 0.6054801735794472]",0.5958252211344196,0.027306872034584973,"[0.054314059361672884, 0.036268241939603915, 0.02671586782479203, 0.0344369189510413, 0.041157576282621275, 0.03439579438139276, 0.03238090135800211, 0.041549017861214926, 0.038266659686292656, 0.03788565664031242]",0.037737069428694626,0.006897085940695331
target_inno_subsidy_or_target_non_gov_investment_or_target_acquisition,current_doc2vec_diff,10,"[0.5913316751065205, 0.5454614651638766, 0.5553240508306277, 0.5445521080876037, 0.5244418783679754, 0.5974021264964131, 0.5611590855842287, 0.5541748948466491, 0.5603000078097979, 0.5400809987615892]",0.5574228291055283,0.021172051511491968,"[0.032337734123262574, 0.03173893028250256, 0.027548986819798026, 0.02758449849480247, 0.024627724768602133, 0.04847463510308947, 0.02825051907702166, 0.033395028393874655, 0.034350213061174, 0.031105598364284073]",0.03194138684884116,0.006225337336972714
target_inno_subsidy_or_target_non_gov_investment_or_target_acquisition,current_core_diff_w_red_pca+current_pr_w_red_sdg_similarity,10,"[0.6041643500500389, 0.6034360057822752, 0.562935060602691, 0.5688841321027467, 0.5722089402868897, 0.5930376403869676, 0.6083727378506177, 0.5982169627850811, 0.5783840434398699, 0.5818334860000496]",0.5871473359287227,0.015526159854945468,"[0.033270512514338185, 0.0316536174449406, 0.03404488290519093, 0.030784444036321527, 0.030040004549377736, 0.03358653552307751, 0.03157735620840582, 0.03932108785448045, 0.045569573200666166, 0.05750669507260739]",0.036735470930940636,0.008234117430530919
target_inno_subsidy_or_target_non_gov_investment,founding_doc2vec_diff,10,"[0.6051092544987147, 0.5293637532133676, 0.5853213367609255, 0.5956619537275063, 0.5718027103987505, 0.5500826960499541, 0.5686853391490402, 0.6049287480675154, 0.5751486465466066, 0.6047280791977372]",0.5790832517610118,0.024096538112845598,"[0.027498837649090516, 0.022553874265402993, 0.0276139558820056, 0.026786538141387168, 0.02636140556008509, 0.023829592552817372, 0.033235813992659846, 0.03464335332341631, 0.025923282462239995, 0.033101832735115314]",0.02815484865642202,0.003914841279626133
target_inno_subsidy_or_target_non_gov_investment,founding_core_diff_w_red_pca+founding_pr_w_red_sdg_similarity,10,"[0.6025792749122674, 0.5675667146355626, 0.6410159307228155, 0.6592062410058319, 0.652067711883663, 0.5967677800499886, 0.6169318762781186, 0.6403645833333333, 0.5990637781186094, 0.6120989902862985]",0.618766288122649,0.02740303719045839,"[0.036004203926661565, 0.0241189542790231, 0.046996516757340755, 0.04550465537386503, 0.03504131436263624, 0.027571940667207775, 0.030868637188633363, 0.04086851157136562, 0.026875474407326263, 0.03207750257110543]",0.034592771110516514,0.007438048756597287
target_inno_subsidy_or_target_non_gov_investment,current_doc2vec_diff,10,"[0.5460613810741688, 0.5662630709961475, 0.5980510861471721, 0.5994237430800609, 0.5815597785619476, 0.601103952863479, 0.5471635968278332, 0.5391244563827066, 0.6166794576618061, 0.647365055001279]",0.58427955785966,0.03307686933379715,"[0.02360442082186899, 0.023505611167573937, 0.03944623950089624, 0.035016418609027586, 0.025420914714829837, 0.036091668356332526, 0.02712431247484828, 0.02575698311904195, 0.037862165092552386, 0.03525048674522407]",0.030907922060219577,0.006024646532673734
target_inno_subsidy_or_target_non_gov_investment,current_core_diff_w_red_pca+current_pr_w_red_sdg_similarity,10,"[0.689424910540564, 0.6014023457419684, 0.5501880418154003, 0.6239530214176441, 0.5925994390617032, 0.6575822284548699, 0.6094435237123916, 0.5871462264150943, 0.6396959459459459, 0.5552078021417644]",0.6106643485247346,0.04138051039129389,"[0.03923137342639417, 0.043890139089893615, 0.025912692744848923, 0.04126111354518339, 0.031157589341238735, 0.057114153917354527, 0.046404525667466195, 0.027336959789543605, 0.03170452295235838, 0.023373745663737983]",0.03673868161380195,0.010134618520327638
target_inno_subsidy,founding_doc2vec_diff,10,"[0.6429930357227983, 0.49224048641597584, 0.5391485986938189, 0.5619829338371998, 0.6164360408929183, 0.6285763000852516, 0.5854262574595055, 0.5969394714407502, 0.5465558397271952, 0.5543716676058781]",0.5764670631881291,0.04395161573479777,"[0.02392120970035517, 0.014410540848454556, 0.017429346453158343, 0.021718049167378246, 0.028571294226005378, 0.023897292698317064, 0.01931604176137095, 0.022170785601546165, 0.018838945970241876, 0.018754212511967485]",0.020902771893879523,0.0038047869560215632
target_inno_subsidy,founding_core_diff_w_red_pca+founding_pr_w_red_sdg_similarity,10,"[0.600912944947567, 0.5933172774508199, 0.6368844817357403, 0.658852445122468, 0.6868802440884821, 0.6345749639799982, 0.6199864682585856, 0.5556934586527729, 0.6369248471214884, 0.5599425978357833]",0.6183969729193705,0.03944522110824305,"[0.021700535370241397, 0.030423909520014475, 0.02497372147091172, 0.02799935055439813, 0.03476231553754811, 0.02560870658176343, 0.023835040130373523, 0.017225875618693244, 0.028398538690097272, 0.019827418022881814]",0.02547554114969231,0.004927614037973997
