target,score,coef_name,coef,std_err,pval,pseudo_r2,n_obs
target_inno_subsidy_or_target_non_gov_investment_or_target_acquisition,founding_doc2vec_diff,founding_doc2vec_diff,0.3154658555744981,0.039737326987247364,2.0418126116500803e-15,0.008823252260347192,39699
target_inno_subsidy_or_target_non_gov_investment_or_target_acquisition,founding_core_diff_w_red_pca+founding_pr_w_red_sdg_similarity,founding_core_diff_w_red_pca,0.20558020050537734,0.055655036917364564,0.00022090220709933582,0.01192149321377578,39926
target_inno_subsidy_or_target_non_gov_investment_or_target_acquisition,founding_core_diff_w_red_pca+founding_pr_w_red_sdg_similarity,founding_pr_w_red_sdg_similarity,0.2653939425883383,0.029902702987400637,6.97769638762977e-19,0.01192149321377578,39926

target_inno_subsidy_or_target_non_gov_investment,founding_doc2vec_diff,founding_doc2vec_diff,0.30858145949693794,0.04350345451037507,1.3098585398526755e-12,0.00872374761617245,39699
target_inno_subsidy_or_target_non_gov_investment,founding_core_diff_w_red_pca+founding_pr_w_red_sdg_similarity,founding_core_diff_w_red_pca,0.31971929025580165,0.0759196391017601,2.539213683849111e-05,0.01666565164524214,39926
target_inno_subsidy_or_target_non_gov_investment,founding_core_diff_w_red_pca+founding_pr_w_red_sdg_similarity,founding_pr_w_red_sdg_similarity,0.2897344847474851,0.032015287160051864,1.4312645076181811e-19,0.01666565164524214,39926

target_inno_subsidy,founding_doc2vec_diff,founding_doc2vec_diff,0.30882349551748617,0.05160698863662819,2.175348404508787e-09,0.008059768152462232,39699
target_inno_subsidy,founding_core_diff_w_red_pca+founding_pr_w_red_sdg_similarity,founding_core_diff_w_red_pca,0.3064970636338731,0.08885936862523616,0.0005621720838055359,0.0158557895383743,39926
target_inno_subsidy,founding_core_diff_w_red_pca+founding_pr_w_red_sdg_similarity,founding_pr_w_red_sdg_similarity,0.29961256127605534,0.03768639325523769,1.8628254999685086e-15,0.0158557895383743,39926

target_non_gov_investment,founding_doc2vec_diff,founding_doc2vec_diff,0.342351361442163,0.061647903824837966,2.802728305339987e-08,0.009789721022415931,39699
target_non_gov_investment,founding_core_diff_w_red_pca+founding_pr_w_red_sdg_similarity,founding_core_diff_w_red_pca,0.4260605285861603,0.11515451755021651,0.00021568200986792841,0.017963604176705728,39926
