model,target,feature,weight,gain,weight_rank,gain_rank
current_base,acquisition,prediction_3_score,333.0,87.61006164550781,1.0,54.0
current_base,acquisition,prediction_2_score,306.0,78.21348571777344,2.0,61.0
current_base,acquisition,prediction_1_score,283.0,74.52469635009766,3.0,65.0
current_base,acquisition,bps_mean_word_length,279.0,97.1021957397461,4.0,49.0
current_base,acquisition,firm_name_length,278.0,100.53736877441406,5.0,42.0
current_base,acquisition,latitude,271.0,66.2599105834961,6.0,74.0
current_base,acquisition,days_of_prior_observations,266.0,81.07490539550781,7.0,56.0
current_base,acquisition,population,256.0,68.74869537353516,8.0,70.0
current_base,acquisition,longitude,241.0,165.68453979492188,9.0,19.0
current_base,acquisition,bps_length,239.0,78.65979766845703,10.0,60.0
current_base,acquisition,n_firms_within_2.5km,233.0,61.762996673583984,11.0,80.0
current_base,acquisition,n_firms_within_10km,220.0,70.91722869873047,12.0,68.0
current_base,acquisition,bps_lix,211.0,67.06377410888672,13.0,73.0
current_base,acquisition,founding_bfs_code,183.0,119.7491226196289,14.0,28.0
current_base,acquisition,bps_freq_ratio_norm,165.0,79.568603515625,15.5,59.0
current_base,acquisition,n_firms_within_1km,165.0,75.62840270996094,15.5,62.0
current_base,acquisition,bps_min_word_freq_norm,150.0,97.70486450195312,17.0,48.0
current_base,acquisition,capital_chf,135.0,412.37255859375,18.0,5.0
current_base,acquisition,n_firms_within_10m,134.0,100.92523193359375,19.0,41.0
current_base,acquisition,group_1_label,119.0,112.6270523071289,20.0,31.0
current_base,acquisition,district_id,115.0,68.48062133789062,21.0,71.0
current_base,acquisition,n_founders,110.0,104.49125671386719,22.0,36.0
current_base,acquisition,class_2_label,100.0,135.30657958984375,23.5,24.0
current_base,acquisition,typology_25c,100.0,93.71678924560547,23.5,52.0
current_base,acquisition,group_2_label,98.0,99.40946197509766,25.0,45.0
current_base,acquisition,class_3_label,96.0,113.36913299560547,26.0,30.0
current_base,acquisition,class_1_label,94.0,85.45723724365234,27.0,55.0
current_base,acquisition,group_3_label,91.0,151.75860595703125,28.0,23.0
current_base,acquisition,n_inscribed_firms,90.0,564.9368286132812,29.0,4.0
current_base,acquisition,pct_foreign_founders,87.0,60.9184684753418,30.0,82.0
current_base,acquisition,bps_max_word_freq_norm,84.0,70.42750549316406,31.0,69.0
current_base,acquisition,pct_female_founders,83.0,99.85597229003906,32.5,44.0
current_base,acquisition,pct_founders_with_prior_founding,83.0,100.42556762695312,32.5,43.0
current_base,acquisition,division_3_label,76.0,107.17485809326172,34.0,34.0
current_base,acquisition,pct_founders_same_residence,73.0,95.30132293701172,35.0,50.0
current_base,acquisition,division_1_label,65.0,113.40157318115234,36.0,29.0
current_base,acquisition,n_existing_firms,60.0,151.922607421875,37.0,22.0
current_base,acquisition,division_2_label,54.0,98.44661712646484,38.0,47.0
current_base,acquisition,firm_name_founder_match,41.0,213.00115966796875,39.0,13.0
current_base,acquisition,bps_geographic_term,34.0,128.4496307373047,40.0,26.0
current_base,acquisition,founding_legal_form_3,31.0,2079.3330078125,41.0,1.0
current_base,acquisition,canton_id,29.0,80.24116516113281,42.0,58.0
current_base,acquisition,pct_dr_titles,28.0,65.60435485839844,43.0,75.0
current_base,acquisition,n_distinct_nationalities,27.0,71.26427459716797,44.0,67.0
current_base,acquisition,section_2_label_M,23.0,217.85546875,45.0,11.0
current_base,acquisition,firm_name_male_match,21.0,109.58212280273438,46.0,32.0
current_base,acquisition,section_1_label_M,20.0,75.51505279541016,47.5,63.0
current_base,acquisition,typology_9c_21.0,20.0,94.3111801147461,47.5,51.0
current_base,acquisition,section_1_label_J,19.0,47.9823112487793,49.0,87.0
current_base,acquisition,typology_9c_32.0,18.0,75.07469177246094,50.0,64.0
current_base,acquisition,section_3_label_M,17.0,179.0308380126953,53.0,18.0
current_base,acquisition,typology_9c_13.0,17.0,104.02233123779297,53.0,37.0
current_base,acquisition,typology_9c_11.0,17.0,61.33065414428711,53.0,81.0
current_base,acquisition,firm_name_holding_ref,17.0,222.32525634765625,53.0,8.0
current_base,acquisition,founding_legal_form_4,17.0,700.5701293945312,53.0,3.0
current_base,acquisition,section_1_label_K,16.0,43.92169952392578,57.5,89.0
current_base,acquisition,section_2_label_K,16.0,61.97426986694336,57.5,79.0
current_base,acquisition,firm_name_swiss_ref,16.0,49.362064361572266,57.5,85.0
current_base,acquisition,typology_9c_12.0,16.0,107.7738265991211,57.5,33.0
current_base,acquisition,section_3_label_J,10.0,102.28531646728516,61.0,40.0
current_base,acquisition,section_2_label_J,10.0,24.976980209350586,61.0,95.0
current_base,acquisition,section_2_label_N,10.0,65.50989532470703,61.0,76.0
current_base,acquisition,section_3_label_L,9.0,88.6441650390625,64.5,53.0
current_base,acquisition,urban_rural_2.0,9.0,37.09510040283203,64.5,90.0
current_base,acquisition,typology_9c_22.0,9.0,106.99915313720703,64.5,35.0
current_base,acquisition,section_1_label_G,9.0,43.979827880859375,64.5,88.0
current_base,acquisition,section_3_label_N,8.0,103.84025573730469,67.0,38.0
current_base,acquisition,section_2_label_F,7.0,48.35226058959961,69.5,86.0
current_base,acquisition,section_3_label_K,7.0,64.06965637207031,69.5,78.0
current_base,acquisition,section_1_label_L,7.0,216.2412567138672,69.5,12.0
current_base,acquisition,firm_name_geog_ref,7.0,103.23055267333984,69.5,39.0
current_base,acquisition,section_1_label_I,6.0,59.20903015136719,73.0,83.0
current_base,acquisition,section_1_label_Q,6.0,123.28899383544922,73.0,27.0
current_base,acquisition,section_1_label_N,6.0,159.85617065429688,73.0,20.0
current_base,acquisition,section_1_label_H,5.0,153.7754669189453,76.0,21.0
current_base,acquisition,section_1_label_F,5.0,183.9501495361328,76.0,16.0
current_base,acquisition,section_3_label_F,5.0,220.6336212158203,76.0,9.0
current_base,acquisition,section_2_label_G,4.0,187.70648193359375,79.0,15.0
current_base,acquisition,urban_rural_1.0,4.0,68.43971252441406,79.0,72.0
current_base,acquisition,section_2_label_L,4.0,35.73512268066406,79.0,92.0
current_base,acquisition,founding_legal_form_10,3.0,208.22589111328125,84.0,14.0
current_base,acquisition,firm_name_female_match,3.0,8.432637214660645,84.0,98.0
current_base,acquisition,urban_rural_3.0,3.0,65.27243041992188,84.0,77.0
current_base,acquisition,typology_9c_31.0,3.0,218.6610565185547,84.0,10.0
current_base,acquisition,section_2_label_C,3.0,857.0219116210938,84.0,2.0
current_base,acquisition,section_3_label_G,3.0,22.8206787109375,84.0,96.0
current_base,acquisition,section_3_label_C,3.0,310.1586608886719,84.0,6.0
current_base,acquisition,section_1_label_O,2.0,30.0615234375,91.5,93.0
current_base,acquisition,section_3_label_Q,2.0,14.212045669555664,91.5,97.0
current_base,acquisition,section_1_label_C,2.0,275.56591796875,91.5,7.0
current_base,acquisition,section_3_label_I,2.0,80.32840728759766,91.5,57.0
current_base,acquisition,section_2_label_P,2.0,72.03445434570312,91.5,66.0
current_base,acquisition,n_dissolved_firms,2.0,35.83549118041992,91.5,91.0
current_base,acquisition,section_2_label_I,2.0,98.66142272949219,91.5,46.0
current_base,acquisition,section_2_label_Q,2.0,180.41477966308594,91.5,17.0
current_base,acquisition,section_3_label_R,1.0,132.959716796875,97.0,25.0
current_base,acquisition,section_3_label_P,1.0,49.539710998535156,97.0,84.0
current_base,acquisition,section_2_label_R,1.0,26.573835372924805,97.0,94.0
current_base,acquisition,typology_9c_33.0,0.0,0.0,114.0,114.0
current_base,acquisition,founding_legal_form_16,0.0,0.0,114.0,114.0
current_base,acquisition,section_1_label_P,0.0,0.0,114.0,114.0
current_base,acquisition,section_1_label_E,0.0,0.0,114.0,114.0
current_base,acquisition,section_1_label_D,0.0,0.0,114.0,114.0
current_base,acquisition,section_1_label_B,0.0,0.0,114.0,114.0
current_base,acquisition,founding_legal_form_17,0.0,0.0,114.0,114.0
current_base,acquisition,founding_legal_form_15,0.0,0.0,114.0,114.0
current_base,acquisition,section_1_label_S,0.0,0.0,114.0,114.0
current_base,acquisition,founding_legal_form_13,0.0,0.0,114.0,114.0
current_base,acquisition,founding_legal_form_8,0.0,0.0,114.0,114.0
current_base,acquisition,founding_legal_form_6,0.0,0.0,114.0,114.0
current_base,acquisition,founding_legal_form_5,0.0,0.0,114.0,114.0
current_base,acquisition,bps_male_name,0.0,0.0,114.0,114.0
current_base,acquisition,section_1_label_R,0.0,0.0,114.0,114.0
current_base,acquisition,section_1_label_U,0.0,0.0,114.0,114.0
current_base,acquisition,section_1_label_T,0.0,0.0,114.0,114.0
current_base,acquisition,typology_9c_23.0,0.0,0.0,114.0,114.0
current_base,acquisition,section_2_label_B,0.0,0.0,114.0,114.0
current_base,acquisition,section_2_label_D,0.0,0.0,114.0,114.0
current_base,acquisition,section_2_label_E,0.0,0.0,114.0,114.0
current_base,acquisition,section_2_label_H,0.0,0.0,114.0,114.0
current_base,acquisition,section_2_label_O,0.0,0.0,114.0,114.0
current_base,acquisition,section_2_label_S,0.0,0.0,114.0,114.0
current_base,acquisition,section_3_label_B,0.0,0.0,114.0,114.0
current_base,acquisition,section_3_label_D,0.0,0.0,114.0,114.0
current_base,acquisition,section_3_label_E,0.0,0.0,114.0,114.0
current_base,acquisition,section_3_label_H,0.0,0.0,114.0,114.0
current_base,acquisition,section_3_label_O,0.0,0.0,114.0,114.0
current_base,acquisition,section_3_label_S,0.0,0.0,114.0,114.0
current_base,acquisition,bps_female_name,0.0,0.0,114.0,114.0
