model,target,feature,weight,gain,weight_rank,gain_rank
current_base,inno_subsidy,prediction_2_score,2163.0,36.21588897705078,1.0,77.0
current_base,inno_subsidy,prediction_1_score,1840.0,56.198429107666016,2.0,40.0
current_base,inno_subsidy,days_of_prior_observations,1831.0,32.586483001708984,3.0,94.0
current_base,inno_subsidy,firm_name_length,1619.0,42.80775833129883,4.0,63.0
current_base,inno_subsidy,n_firms_within_10km,1538.0,30.710004806518555,5.0,99.0
current_base,inno_subsidy,bps_mean_word_length,1510.0,31.49658203125,6.0,98.0
current_base,inno_subsidy,latitude,1476.0,33.48121643066406,7.0,91.0
current_base,inno_subsidy,prediction_3_score,1454.0,37.851295471191406,8.0,71.0
current_base,inno_subsidy,bps_length,1426.0,35.04820251464844,9.0,85.0
current_base,inno_subsidy,longitude,1400.0,38.07868957519531,10.0,70.0
current_base,inno_subsidy,bps_lix,1391.0,33.15306091308594,11.0,93.0
current_base,inno_subsidy,n_firms_within_2.5km,1278.0,33.6786003112793,12.0,89.0
current_base,inno_subsidy,n_firms_within_1km,1258.0,35.189456939697266,13.0,84.0
current_base,inno_subsidy,population,1219.0,35.5671501159668,14.0,83.0
current_base,inno_subsidy,bps_freq_ratio_norm,1202.0,35.88241958618164,15.0,79.0
current_base,inno_subsidy,bps_min_word_freq_norm,1089.0,36.14300537109375,16.0,78.0
current_base,inno_subsidy,founding_bfs_code,1032.0,35.599876403808594,17.0,80.0
current_base,inno_subsidy,class_3_label,718.0,73.43789672851562,18.0,28.0
current_base,inno_subsidy,group_3_label,697.0,72.08151245117188,19.5,29.0
current_base,inno_subsidy,n_firms_within_10m,697.0,37.52792739868164,19.5,72.0
current_base,inno_subsidy,district_id,679.0,35.58612060546875,21.0,81.0
current_base,inno_subsidy,class_2_label,656.0,57.74793243408203,22.0,39.0
current_base,inno_subsidy,division_3_label,644.0,97.21699523925781,23.0,16.0
current_base,inno_subsidy,group_1_label,639.0,85.24276733398438,24.0,22.0
current_base,inno_subsidy,group_2_label,615.0,61.598365783691406,25.0,34.0
current_base,inno_subsidy,division_2_label,598.0,93.65280151367188,26.0,19.0
current_base,inno_subsidy,pct_founders_same_residence,551.0,28.952529907226562,27.0,106.0
current_base,inno_subsidy,class_1_label,544.0,76.36253356933594,28.0,27.0
current_base,inno_subsidy,n_founders,531.0,142.4667205810547,29.0,11.0
current_base,inno_subsidy,typology_25c,524.0,37.17312240600586,30.0,75.0
current_base,inno_subsidy,capital_chf,510.0,109.73274993896484,31.5,12.0
current_base,inno_subsidy,division_1_label,510.0,79.70169830322266,31.5,26.0
current_base,inno_subsidy,pct_female_founders,416.0,51.76900863647461,33.0,47.0
current_base,inno_subsidy,pct_foreign_founders,407.0,22.68529510498047,34.0,112.0
current_base,inno_subsidy,bps_max_word_freq_norm,405.0,30.409608840942383,35.0,102.0
current_base,inno_subsidy,n_existing_firms,349.0,37.42185974121094,36.0,73.0
