model,target,feature,weight,gain,weight_rank,gain_rank
current_base,inv_exit,prediction_2_score,943.0,71.97179412841797,1.0,42.0
current_base,inv_exit,prediction_1_score,881.0,74.46832275390625,2.0,36.0
current_base,inv_exit,prediction_3_score,799.0,64.17532348632812,3.0,59.0
current_base,inv_exit,days_of_prior_observations,705.0,114.9712905883789,4.0,4.0
current_base,inv_exit,longitude,669.0,63.16379928588867,5.0,64.0
current_base,inv_exit,latitude,661.0,62.158939361572266,6.0,68.0
current_base,inv_exit,firm_name_length,656.0,59.349056243896484,7.0,76.0
current_base,inv_exit,bps_lix,636.0,63.97480010986328,8.0,60.0
current_base,inv_exit,population,635.0,70.29627227783203,9.0,46.0
current_base,inv_exit,bps_mean_word_length,618.0,65.2734375,10.0,51.0
current_base,inv_exit,n_firms_within_1km,611.0,72.06001281738281,11.0,41.0
current_base,inv_exit,bps_length,594.0,63.772891998291016,12.0,63.0
current_base,inv_exit,n_firms_within_10km,564.0,81.36917877197266,13.0,20.0
current_base,inv_exit,founding_bfs_code,560.0,62.912899017333984,14.0,67.0
current_base,inv_exit,bps_freq_ratio_norm,539.0,65.3819808959961,15.0,50.0
current_base,inv_exit,n_firms_within_2.5km,480.0,73.3525390625,16.0,38.0
current_base,inv_exit,bps_min_word_freq_norm,461.0,58.739376068115234,17.0,79.0
current_base,inv_exit,class_2_label,342.0,81.30326843261719,18.0,21.0
current_base,inv_exit,district_id,340.0,65.20500946044922,19.0,52.0
current_base,inv_exit,group_1_label,326.0,76.88140106201172,20.0,30.0
current_base,inv_exit,typology_25c,283.0,78.612548828125,21.0,26.0
current_base,inv_exit,group_3_label,280.0,75.40933227539062,22.0,34.0
current_base,inv_exit,n_firms_within_10m,271.0,87.6797866821289,23.0,13.0
current_base,inv_exit,class_1_label,244.0,82.7982406616211,24.0,18.0
current_base,inv_exit,class_3_label,239.0,69.29827880859375,25.0,48.0
current_base,inv_exit,capital_chf,237.0,89.54676818847656,26.0,11.0
current_base,inv_exit,group_2_label,231.0,83.47350311279297,27.0,17.0
current_base,inv_exit,pct_female_founders,227.0,76.66139221191406,28.0,32.0
current_base,inv_exit,pct_founders_same_residence,217.0,105.1312255859375,29.0,5.0
current_base,inv_exit,n_founders,214.0,75.0860366821289,30.0,35.0
current_base,inv_exit,division_2_label,199.0,85.86886596679688,31.5,15.0
current_base,inv_exit,division_3_label,199.0,73.91088104248047,31.5,37.0
current_base,inv_exit,division_1_label,183.0,79.22097778320312,33.0,24.0
current_base,inv_exit,founding_legal_form_4,156.0,195.06594848632812,34.0,3.0
current_base,inv_exit,bps_max_word_freq_norm,148.0,59.7187614440918,35.0,75.0
current_base,inv_exit,pct_founders_with_prior_founding,130.0,54.0751838684082,36.0,91.0
current_base,inv_exit,pct_foreign_founders,122.0,535.7763061523438,37.0,1.0
current_base,inv_exit,n_existing_firms,120.0,58.67119216918945,38.0,80.0
current_base,inv_exit,n_distinct_nationalities,100.0,91.30481719970703,39.0,10.0
current_base,inv_exit,firm_name_founder_match,99.0,444.1296081542969,40.0,2.0
current_base,inv_exit,firm_name_swiss_ref,92.0,88.88846588134766,41.0,12.0
current_base,inv_exit,founding_legal_form_3,67.0,103.07521057128906,42.0,6.0
