model,target,feature,weight,gain,weight_rank,gain_rank
current_base,non_gov_investment,prediction_1_score,103.0,361.6361999511719,1.0,22.0
current_base,non_gov_investment,firm_name_length,95.0,336.73980712890625,2.0,25.0
current_base,non_gov_investment,days_of_prior_observations,79.0,118.78868103027344,3.0,76.0
current_base,non_gov_investment,n_firms_within_2.5km,77.0,337.25592041015625,4.0,24.0
current_base,non_gov_investment,n_firms_within_1km,75.0,173.00328063964844,5.0,53.0
current_base,non_gov_investment,prediction_2_score,74.0,130.60147094726562,6.0,72.0
current_base,non_gov_investment,prediction_3_score,69.0,142.466552734375,7.0,67.0
current_base,non_gov_investment,group_1_label,64.0,313.68890380859375,8.0,28.0
current_base,non_gov_investment,bps_freq_ratio_norm,63.0,148.9862060546875,9.0,64.0
current_base,non_gov_investment,bps_mean_word_length,62.0,150.97218322753906,10.0,63.0
current_base,non_gov_investment,n_firms_within_10km,58.0,309.8026428222656,11.5,29.0
current_base,non_gov_investment,longitude,58.0,240.63609313964844,11.5,37.0
current_base,non_gov_investment,bps_length,57.0,140.35726928710938,13.0,69.0
current_base,non_gov_investment,capital_chf,56.0,572.8218994140625,14.5,10.0
current_base,non_gov_investment,founding_bfs_code,56.0,182.5808563232422,14.5,51.0
current_base,non_gov_investment,pct_female_founders,48.0,337.3655700683594,16.5,23.0
current_base,non_gov_investment,n_founders,48.0,563.4263305664062,16.5,12.0
current_base,non_gov_investment,firm_name_founder_match,44.0,1220.62939453125,18.0,3.0
current_base,non_gov_investment,typology_25c,41.0,523.0232543945312,19.0,16.0
current_base,non_gov_investment,population,40.0,211.888916015625,20.0,41.0
current_base,non_gov_investment,bps_lix,39.0,147.0294647216797,21.0,65.0
current_base,non_gov_investment,latitude,36.0,161.44155883789062,22.0,57.0
current_base,non_gov_investment,group_2_label,32.0,569.6517944335938,23.0,11.0
current_base,non_gov_investment,division_2_label,31.0,551.09423828125,24.5,14.0
current_base,non_gov_investment,class_1_label,31.0,396.6358642578125,24.5,20.0
current_base,non_gov_investment,group_3_label,30.0,315.0465087890625,26.0,27.0
current_base,non_gov_investment,division_1_label,29.0,371.09173583984375,27.5,21.0
current_base,non_gov_investment,division_3_label,29.0,268.9331359863281,27.5,34.0
current_base,non_gov_investment,class_3_label,28.0,277.9738464355469,29.5,33.0
current_base,non_gov_investment,district_id,28.0,188.0414276123047,29.5,48.0
current_base,non_gov_investment,bps_min_word_freq_norm,26.0,128.5342559814453,31.0,73.0
current_base,non_gov_investment,n_existing_firms,25.0,225.40931701660156,32.0,39.0
current_base,non_gov_investment,class_2_label,24.0,164.8444366455078,33.0,55.0
current_base,non_gov_investment,n_inscribed_firms,23.0,207.2976531982422,34.0,42.0
current_base,non_gov_investment,n_distinct_nationalities,22.0,951.2240600585938,35.0,5.0
current_base,non_gov_investment,pct_foreign_founders,20.0,188.85581970214844,36.0,47.0
current_base,non_gov_investment,section_2_label_J,19.0,1592.5784912109375,37.0,2.0
current_base,non_gov_investment,n_firms_within_10m,18.0,119.13883209228516,38.0,74.0
current_base,non_gov_investment,pct_founders_with_prior_founding,17.0,263.77716064453125,39.0,35.0
current_base,non_gov_investment,firm_name_swiss_ref,16.0,166.5657958984375,40.5,54.0
current_base,non_gov_investment,founding_legal_form_4,16.0,560.3352661132812,40.5,13.0
current_base,non_gov_investment,firm_name_geog_ref,15.0,153.60910034179688,42.0,61.0
current_base,non_gov_investment,founding_legal_form_3,14.0,924.4566040039062,43.0,6.0
current_base,non_gov_investment,section_3_label_J,13.0,608.1343383789062,44.5,9.0
current_base,non_gov_investment,bps_max_word_freq_norm,13.0,133.1931915283203,44.5,71.0
current_base,non_gov_investment,section_1_label_J,12.0,1055.2467041015625,47.0,4.0
current_base,non_gov_investment,pct_founders_same_residence,12.0,179.0269012451172,47.0,52.0
current_base,non_gov_investment,firm_name_holding_ref,12.0,204.980224609375,47.0,43.0
current_base,non_gov_investment,section_3_label_F,11.0,241.06314086914062,49.0,36.0
current_base,non_gov_investment,typology_9c_11.0,10.0,523.2814331054688,50.5,15.0
current_base,non_gov_investment,section_2_label_L,10.0,499.52899169921875,50.5,17.0
current_base,non_gov_investment,bps_geographic_term,9.0,160.59080505371094,53.5,59.0
current_base,non_gov_investment,section_2_label_F,9.0,160.86404418945312,53.5,58.0
current_base,non_gov_investment,section_1_label_F,9.0,329.0692138671875,53.5,26.0
current_base,non_gov_investment,section_3_label_M,9.0,831.5052490234375,53.5,7.0
current_base,non_gov_investment,section_2_label_M,8.0,3440.629638671875,56.0,1.0
current_base,non_gov_investment,section_3_label_I,6.0,184.658203125,58.0,50.0
current_base,non_gov_investment,pct_dr_titles,6.0,66.66287994384766,58.0,90.0
current_base,non_gov_investment,firm_name_male_match,6.0,118.95806884765625,58.0,75.0
current_base,non_gov_investment,section_1_label_N,4.0,116.13114929199219,63.5,78.0
current_base,non_gov_investment,section_3_label_K,4.0,105.49066162109375,63.5,81.0
current_base,non_gov_investment,canton_id,4.0,191.02288818359375,63.5,45.0
current_base,non_gov_investment,section_1_label_C,4.0,420.996337890625,63.5,18.0
current_base,non_gov_investment,section_1_label_I,4.0,80.47139739990234,63.5,87.0
current_base,non_gov_investment,section_3_label_N,4.0,145.59628295898438,63.5,66.0
current_base,non_gov_investment,section_1_label_M,4.0,190.70228576660156,63.5,46.0
current_base,non_gov_investment,section_1_label_L,4.0,415.4225769042969,63.5,19.0
current_base,non_gov_investment,section_3_label_C,3.0,215.92298889160156,69.0,40.0
current_base,non_gov_investment,urban_rural_2.0,3.0,186.33201599121094,69.0,49.0
current_base,non_gov_investment,typology_9c_12.0,3.0,195.37623596191406,69.0,44.0
current_base,non_gov_investment,firm_name_female_match,2.0,70.0341796875,75.0,88.0
current_base,non_gov_investment,typology_9c_22.0,2.0,279.8648681640625,75.0,32.0
current_base,non_gov_investment,typology_9c_32.0,2.0,226.0233612060547,75.0,38.0
current_base,non_gov_investment,section_3_label_R,2.0,92.4576416015625,75.0,84.0
current_base,non_gov_investment,section_2_label_K,2.0,137.82489013671875,75.0,70.0
current_base,non_gov_investment,section_2_label_R,2.0,99.20601654052734,75.0,82.0
current_base,non_gov_investment,section_2_label_I,2.0,107.8338394165039,75.0,80.0
current_base,non_gov_investment,section_1_label_H,2.0,69.0465087890625,75.0,89.0
current_base,non_gov_investment,section_1_label_G,2.0,113.81178283691406,75.0,79.0
current_base,non_gov_investment,section_3_label_H,1.0,54.4107551574707,86.5,91.0
current_base,non_gov_investment,section_2_label_P,1.0,163.20852661132812,86.5,56.0
current_base,non_gov_investment,section_2_label_Q,1.0,284.4111022949219,86.5,31.0
current_base,non_gov_investment,section_2_label_H,1.0,45.669898986816406,86.5,92.0
current_base,non_gov_investment,section_2_label_G,1.0,81.65486907958984,86.5,86.0
current_base,non_gov_investment,section_3_label_G,1.0,667.548828125,86.5,8.0
current_base,non_gov_investment,n_dissolved_firms,1.0,40.58772277832031,86.5,93.0
current_base,non_gov_investment,section_2_label_N,1.0,140.58200073242188,86.5,68.0
current_base,non_gov_investment,section_1_label_K,1.0,153.53271484375,86.5,62.0
current_base,non_gov_investment,section_1_label_P,1.0,91.51554870605469,86.5,85.0
current_base,non_gov_investment,urban_rural_3.0,1.0,118.0556640625,86.5,77.0
current_base,non_gov_investment,typology_9c_13.0,1.0,153.79293823242188,86.5,60.0
current_base,non_gov_investment,typology_9c_21.0,1.0,97.15968322753906,86.5,83.0
current_base,non_gov_investment,section_3_label_L,1.0,287.79058837890625,86.5,30.0
current_base,non_gov_investment,section_1_label_E,0.0,0.0,111.5,111.5
current_base,non_gov_investment,section_1_label_O,0.0,0.0,111.5,111.5
current_base,non_gov_investment,section_1_label_Q,0.0,0.0,111.5,111.5
current_base,non_gov_investment,typology_9c_23.0,0.0,0.0,111.5,111.5
current_base,non_gov_investment,section_1_label_D,0.0,0.0,111.5,111.5
current_base,non_gov_investment,section_1_label_R,0.0,0.0,111.5,111.5
current_base,non_gov_investment,founding_legal_form_17,0.0,0.0,111.5,111.5
current_base,non_gov_investment,founding_legal_form_16,0.0,0.0,111.5,111.5
current_base,non_gov_investment,founding_legal_form_15,0.0,0.0,111.5,111.5
current_base,non_gov_investment,founding_legal_form_13,0.0,0.0,111.5,111.5
current_base,non_gov_investment,founding_legal_form_10,0.0,0.0,111.5,111.5
current_base,non_gov_investment,founding_legal_form_8,0.0,0.0,111.5,111.5
current_base,non_gov_investment,founding_legal_form_6,0.0,0.0,111.5,111.5
current_base,non_gov_investment,founding_legal_form_5,0.0,0.0,111.5,111.5
current_base,non_gov_investment,bps_male_name,0.0,0.0,111.5,111.5
current_base,non_gov_investment,section_1_label_B,0.0,0.0,111.5,111.5
current_base,non_gov_investment,section_2_label_E,0.0,0.0,111.5,111.5
current_base,non_gov_investment,section_1_label_S,0.0,0.0,111.5,111.5
current_base,non_gov_investment,section_3_label_D,0.0,0.0,111.5,111.5
current_base,non_gov_investment,typology_9c_33.0,0.0,0.0,111.5,111.5
