model,target,feature,weight,gain,weight_rank,gain_rank
current_dim300_w,non_gov_investment,current_mean_text_len,542.0,78.06202697753906,1.0,36.0
current_dim300_w,non_gov_investment,prediction_1_score,488.0,59.46125411987305,2.5,44.0
current_dim300_w,non_gov_investment,current_pr_w_red_sdg_similarity,488.0,40.61488723754883,2.5,72.0
current_dim300_w,non_gov_investment,firm_name_length,486.0,41.0068244934082,4.0,70.0
current_dim300_w,non_gov_investment,days_of_prior_observations,477.0,35.536495208740234,5.0,82.0
current_dim300_w,non_gov_investment,current_vp_w_red,425.0,34.31198501586914,6.0,83.0
current_dim300_w,non_gov_investment,prediction_2_score,422.0,39.926597595214844,7.0,74.0
current_dim300_w,non_gov_investment,current_n_internal_links_mean,415.0,37.0280647277832,8.0,80.0
current_dim300_w,non_gov_investment,current_n_external_links_mean,408.0,36.85417556762695,9.0,81.0
current_dim300_w,non_gov_investment,bps_mean_word_length,398.0,40.817813873291016,10.0,71.0
current_dim300_w,non_gov_investment,latitude,397.0,32.66659927368164,11.0,86.0
current_dim300_w,non_gov_investment,current_lp_w_red,389.0,31.293827056884766,12.0,90.0
current_dim300_w,non_gov_investment,n_firms_within_1km,384.0,39.62457275390625,13.0,76.0
current_dim300_w,non_gov_investment,bps_length,372.0,45.0346565246582,14.0,65.0
current_dim300_w,non_gov_investment,prediction_3_score,361.0,30.63899040222168,15.0,93.0
current_dim300_w,non_gov_investment,longitude,357.0,50.079898834228516,16.0,54.0
current_dim300_w,non_gov_investment,n_firms_within_10km,353.0,51.692108154296875,17.0,51.0
current_dim300_w,non_gov_investment,n_firms_within_2.5km,325.0,72.65547180175781,18.0,40.0
current_dim300_w,non_gov_investment,bps_freq_ratio_norm,314.0,40.15932083129883,19.0,73.0
current_dim300_w,non_gov_investment,bps_lix,292.0,31.683958053588867,20.0,89.0
current_dim300_w,non_gov_investment,bps_min_word_freq_norm,256.0,37.66057586669922,21.0,79.0
current_dim300_w,non_gov_investment,population,227.0,47.685089111328125,22.0,58.0
current_dim300_w,non_gov_investment,founding_bfs_code,207.0,45.67910385131836,23.0,63.0
current_dim300_w,non_gov_investment,n_founders,197.0,98.69778442382812,24.0,25.0
current_dim300_w,non_gov_investment,capital_chf,182.0,85.97300720214844,25.0,31.0
current_dim300_w,non_gov_investment,n_firms_within_10m,176.0,50.107723236083984,26.0,53.0
current_dim300_w,non_gov_investment,group_1_label,151.0,53.209957122802734,27.0,48.0
current_dim300_w,non_gov_investment,pct_female_founders,144.0,84.6683120727539,28.5,32.0
current_dim300_w,non_gov_investment,district_id,144.0,32.20696258544922,28.5,88.0
current_dim300_w,non_gov_investment,group_3_label,141.0,46.182029724121094,30.0,62.0
current_dim300_w,non_gov_investment,class_2_label,137.0,56.07901382446289,31.0,46.0
current_dim300_w,non_gov_investment,division_1_label,136.0,60.558074951171875,32.5,43.0
current_dim300_w,non_gov_investment,class_3_label,136.0,45.05144500732422,32.5,64.0
current_dim300_w,non_gov_investment,division_2_label,126.0,80.77235412597656,34.0,34.0
current_dim300_w,non_gov_investment,group_2_label,123.0,98.87345123291016,35.0,24.0
current_dim300_w,non_gov_investment,typology_25c,122.0,66.19061279296875,36.0,42.0
current_dim300_w,non_gov_investment,pct_founders_same_residence,120.0,24.17966651916504,37.0,101.0
current_dim300_w,non_gov_investment,class_1_label,116.0,46.28849411010742,38.0,61.0
current_dim300_w,non_gov_investment,division_3_label,115.0,86.47986602783203,39.0,30.0
current_dim300_w,non_gov_investment,current_n_languages,112.0,48.828914642333984,40.0,56.0
current_dim300_w,non_gov_investment,pct_foreign_founders,111.0,31.104005813598633,41.0,91.0
current_dim300_w,non_gov_investment,pct_founders_with_prior_founding,109.0,39.21412658691406,42.0,77.0
current_dim300_w,non_gov_investment,bps_max_word_freq_norm,95.0,41.2347412109375,43.0,68.0
current_dim300_w,non_gov_investment,n_existing_firms,89.0,55.40449905395508,44.0,47.0
current_dim300_w,non_gov_investment,n_inscribed_firms,86.0,39.72524642944336,45.0,75.0
current_dim300_w,non_gov_investment,n_distinct_nationalities,84.0,137.66725158691406,46.0,16.0
current_dim300_w,non_gov_investment,firm_name_founder_match,79.0,265.6689147949219,47.0,7.0
current_dim300_w,non_gov_investment,current_dominant_language_en,73.0,2113.9677734375,48.0,1.0
current_dim300_w,non_gov_investment,founding_legal_form_3,58.0,190.34149169921875,49.0,11.0
current_dim300_w,non_gov_investment,firm_name_swiss_ref,51.0,50.19532775878906,50.0,52.0
current_dim300_w,non_gov_investment,section_2_label_J,43.0,619.0453491210938,51.0,3.0
current_dim300_w,non_gov_investment,section_1_label_J,34.0,279.3675537109375,52.0,6.0
current_dim300_w,non_gov_investment,founding_legal_form_4,33.0,108.63152313232422,53.0,18.0
current_dim300_w,non_gov_investment,bps_geographic_term,31.0,32.54124450683594,54.0,87.0
current_dim300_w,non_gov_investment,section_2_label_M,29.0,249.99188232421875,55.0,8.0
current_dim300_w,non_gov_investment,section_3_label_J,25.0,282.0145568847656,56.0,5.0
current_dim300_w,non_gov_investment,section_2_label_L,24.0,99.7076187133789,58.0,22.0
current_dim300_w,non_gov_investment,pct_dr_titles,24.0,30.656949996948242,58.0,92.0
current_dim300_w,non_gov_investment,section_3_label_M,24.0,87.72551727294922,58.0,28.0
current_dim300_w,non_gov_investment,firm_name_holding_ref,23.0,81.5694351196289,60.0,33.0
current_dim300_w,non_gov_investment,canton_id,22.0,20.975542068481445,61.0,104.0
current_dim300_w,non_gov_investment,section_1_label_M,19.0,205.8826141357422,63.5,10.0
current_dim300_w,non_gov_investment,current_dominant_language_fr,19.0,318.286865234375,63.5,4.0
current_dim300_w,non_gov_investment,typology_9c_11.0,19.0,72.3258285522461,63.5,41.0
current_dim300_w,non_gov_investment,current_dominant_language_de,19.0,1587.7379150390625,63.5,2.0
current_dim300_w,non_gov_investment,section_1_label_G,18.0,99.58824920654297,66.5,23.0
current_dim300_w,non_gov_investment,typology_9c_12.0,18.0,52.77897644042969,66.5,50.0
current_dim300_w,non_gov_investment,section_3_label_K,16.0,52.85079574584961,68.5,49.0
current_dim300_w,non_gov_investment,typology_9c_13.0,16.0,20.91387176513672,68.5,105.0
current_dim300_w,non_gov_investment,section_1_label_F,14.0,117.01446533203125,70.0,17.0
current_dim300_w,non_gov_investment,section_2_label_G,13.0,108.36626434326172,71.5,19.0
current_dim300_w,non_gov_investment,section_1_label_P,13.0,43.098575592041016,71.5,66.0
current_dim300_w,non_gov_investment,current_dominant_language_id,11.0,170.81642150878906,74.5,13.0
current_dim300_w,non_gov_investment,section_2_label_K,11.0,42.20266342163086,74.5,67.0
