model,target,feature,weight,gain,weight_rank,gain_rank
current_dim768,acquisition,current_mean_text_len,268.0,109.23866271972656,1.0,21.0
current_dim768,acquisition,latitude,257.0,59.59574890136719,2.0,62.0
current_dim768,acquisition,prediction_3_score,242.0,85.38970947265625,3.0,36.0
current_dim768,acquisition,bps_mean_word_length,241.0,91.35047912597656,4.0,29.0
current_dim768,acquisition,longitude,238.0,69.03211212158203,5.0,45.0
current_dim768,acquisition,current_n_internal_links_mean,232.0,86.0457992553711,6.0,35.0
current_dim768,acquisition,prediction_1_score,228.0,75.43041229248047,7.0,37.0
current_dim768,acquisition,current_lp,226.0,36.393253326416016,8.0,83.0
current_dim768,acquisition,prediction_2_score,223.0,73.389892578125,9.0,40.0
current_dim768,acquisition,bps_length,214.0,42.84115982055664,10.0,77.0
current_dim768,acquisition,days_of_prior_observations,213.0,68.19251251220703,11.0,48.0
current_dim768,acquisition,firm_name_length,206.0,72.91311645507812,12.0,41.0
current_dim768,acquisition,current_n_external_links_mean,205.0,48.558189392089844,13.0,72.0
current_dim768,acquisition,current_pr_sdg_similarity,201.0,37.04646301269531,14.0,82.0
current_dim768,acquisition,current_vp,200.0,86.95195007324219,15.0,32.0
current_dim768,acquisition,population,191.0,90.9018325805664,16.0,30.0
current_dim768,acquisition,n_firms_within_2.5km,174.0,61.14347457885742,17.0,59.0
current_dim768,acquisition,n_firms_within_1km,163.0,68.87899780273438,18.0,46.0
current_dim768,acquisition,bps_lix,155.0,42.03702926635742,19.0,78.0
current_dim768,acquisition,n_firms_within_10km,152.0,39.884830474853516,20.0,80.0
current_dim768,acquisition,founding_bfs_code,146.0,63.78457260131836,21.0,56.0
current_dim768,acquisition,capital_chf,133.0,315.2347412109375,22.0,5.0
current_dim768,acquisition,bps_min_word_freq_norm,127.0,68.35704040527344,23.0,47.0
current_dim768,acquisition,bps_freq_ratio_norm,112.0,64.42823791503906,24.0,54.0
current_dim768,acquisition,class_3_label,97.0,50.942466735839844,25.0,71.0
current_dim768,acquisition,class_2_label,94.0,96.28266143798828,26.0,25.0
