model,target,feature,weight,gain,weight_rank,gain_rank
current_dim768,inno_subsidy,current_mean_text_len,2083.0,73.7792739868164,1.0,37.0
current_dim768,inno_subsidy,prediction_1_score,1931.0,71.41114807128906,2.0,42.0
current_dim768,inno_subsidy,prediction_2_score,1926.0,47.47560119628906,3.0,71.0
current_dim768,inno_subsidy,firm_name_length,1875.0,49.82342529296875,4.0,66.0
current_dim768,inno_subsidy,days_of_prior_observations,1796.0,41.50214767456055,5.0,93.0
current_dim768,inno_subsidy,current_pr_sdg_similarity,1785.0,58.49394226074219,6.0,54.0
current_dim768,inno_subsidy,longitude,1690.0,44.888668060302734,7.0,79.0
current_dim768,inno_subsidy,latitude,1621.0,39.8404541015625,8.0,102.0
current_dim768,inno_subsidy,bps_mean_word_length,1618.0,40.84052276611328,9.0,95.0
current_dim768,inno_subsidy,current_n_internal_links_mean,1613.0,40.48316955566406,10.0,99.0
current_dim768,inno_subsidy,prediction_3_score,1558.0,40.26511764526367,11.0,100.0
current_dim768,inno_subsidy,current_vp,1500.0,40.91073989868164,12.0,94.0
current_dim768,inno_subsidy,current_lp,1448.0,43.17543411254883,13.0,86.0
current_dim768,inno_subsidy,n_firms_within_1km,1397.0,43.48040008544922,14.0,85.0
current_dim768,inno_subsidy,current_n_external_links_mean,1386.0,38.7648811340332,15.0,106.0
current_dim768,inno_subsidy,n_firms_within_2.5km,1369.0,47.09552001953125,16.5,72.0
current_dim768,inno_subsidy,n_firms_within_10km,1369.0,40.18703079223633,16.5,101.0
current_dim768,inno_subsidy,bps_lix,1351.0,37.9644889831543,18.0,109.0
current_dim768,inno_subsidy,bps_length,1319.0,41.74933624267578,19.0,91.0
current_dim768,inno_subsidy,bps_freq_ratio_norm,1190.0,45.33545684814453,20.0,75.0
current_dim768,inno_subsidy,population,1154.0,47.089900970458984,21.0,73.0
current_dim768,inno_subsidy,bps_min_word_freq_norm,952.0,43.751827239990234,22.0,81.0
current_dim768,inno_subsidy,founding_bfs_code,947.0,43.73151779174805,23.0,82.0
current_dim768,inno_subsidy,group_3_label,797.0,72.154296875,24.0,39.0
current_dim768,inno_subsidy,class_3_label,789.0,97.84716796875,25.0,21.0
current_dim768,inno_subsidy,group_2_label,757.0,91.49602508544922,26.0,26.0
current_dim768,inno_subsidy,district_id,753.0,40.77220153808594,27.0,96.0
current_dim768,inno_subsidy,n_firms_within_10m,743.0,45.21883010864258,28.0,76.0
current_dim768,inno_subsidy,class_2_label,718.0,63.030521392822266,29.0,49.0
current_dim768,inno_subsidy,group_1_label,685.0,78.79765319824219,30.0,35.0
current_dim768,inno_subsidy,capital_chf,672.0,128.52301025390625,31.0,15.0
current_dim768,inno_subsidy,division_1_label,657.0,93.53419494628906,32.0,24.0
current_dim768,inno_subsidy,division_3_label,626.0,97.47198486328125,33.0,22.0
current_dim768,inno_subsidy,n_founders,624.0,160.56761169433594,34.0,10.0
current_dim768,inno_subsidy,division_2_label,617.0,97.89082336425781,35.0,20.0
current_dim768,inno_subsidy,class_1_label,597.0,91.53826904296875,36.0,25.0
current_dim768,inno_subsidy,typology_25c,568.0,41.70838928222656,37.0,92.0
current_dim768,inno_subsidy,pct_founders_same_residence,547.0,32.95049285888672,38.0,118.0
current_dim768,inno_subsidy,pct_female_founders,484.0,56.7008171081543,39.0,55.0
