model,target,feature,weight,gain,weight_rank,gain_rank
current_dim768,inv_exit,days_of_prior_observations,179.0,217.0902862548828,1.0,4.0
current_dim768,inv_exit,current_n_internal_links_mean,167.0,170.83590698242188,2.0,11.0
current_dim768,inv_exit,current_pr_sdg_similarity,161.0,160.8134002685547,3.0,22.0
current_dim768,inv_exit,current_lp,143.0,175.21351623535156,4.0,9.0
current_dim768,inv_exit,prediction_1_score,129.0,143.84275817871094,5.0,34.0
current_dim768,inv_exit,prediction_2_score,122.0,127.1652603149414,6.0,50.0
current_dim768,inv_exit,current_mean_text_len,99.0,125.9906997680664,7.0,52.0
current_dim768,inv_exit,current_vp,93.0,130.4344482421875,8.0,47.0
current_dim768,inv_exit,bps_mean_word_length,88.0,110.6073226928711,9.0,75.0
current_dim768,inv_exit,longitude,87.0,113.62054443359375,10.0,68.0
current_dim768,inv_exit,pct_foreign_founders,86.0,533.85009765625,11.0,1.0
current_dim768,inv_exit,prediction_3_score,84.0,113.68094635009766,12.5,67.0
current_dim768,inv_exit,latitude,84.0,110.29263305664062,12.5,76.0
current_dim768,inv_exit,founding_legal_form_4,80.0,250.4645233154297,14.0,3.0
current_dim768,inv_exit,population,78.0,132.61561584472656,15.0,44.0
current_dim768,inv_exit,firm_name_length,77.0,100.45711517333984,16.0,91.0
current_dim768,inv_exit,n_firms_within_1km,71.0,125.094970703125,17.0,54.0
current_dim768,inv_exit,n_firms_within_2.5km,70.0,134.47970581054688,18.0,43.0
current_dim768,inv_exit,pct_founders_same_residence,67.0,167.13385009765625,19.0,16.0
current_dim768,inv_exit,bps_lix,66.0,108.32111358642578,20.5,82.0
current_dim768,inv_exit,n_firms_within_10km,66.0,167.73739624023438,20.5,15.0
current_dim768,inv_exit,n_firms_within_10m,62.0,161.3748779296875,22.0,20.0
current_dim768,inv_exit,current_n_external_links_mean,59.0,119.91189575195312,23.0,60.0
current_dim768,inv_exit,capital_chf,53.0,136.73159790039062,24.0,39.0
current_dim768,inv_exit,bps_length,52.0,109.46745300292969,25.0,78.0
current_dim768,inv_exit,founding_bfs_code,50.0,113.226318359375,26.0,70.0
current_dim768,inv_exit,bps_freq_ratio_norm,49.0,107.68138122558594,27.5,84.0
current_dim768,inv_exit,firm_name_founder_match,49.0,338.7101135253906,27.5,2.0
