model,target,feature,weight,gain,weight_rank,gain_rank
current_dim768,non_gov_investment,firm_name_length,532.0,45.5313606262207,1.0,70.0
current_dim768,non_gov_investment,days_of_prior_observations,518.0,31.65850067138672,2.0,98.0
current_dim768,non_gov_investment,current_mean_text_len,511.0,86.06846618652344,3.0,33.0
current_dim768,non_gov_investment,current_pr_sdg_similarity,498.0,44.77806854248047,4.0,73.0
current_dim768,non_gov_investment,prediction_1_score,475.0,62.4778938293457,5.0,47.0
current_dim768,non_gov_investment,prediction_2_score,451.0,33.99390411376953,6.0,95.0
current_dim768,non_gov_investment,bps_mean_word_length,439.0,40.427486419677734,7.0,82.0
current_dim768,non_gov_investment,current_vp,431.0,45.50468444824219,8.0,71.0
current_dim768,non_gov_investment,current_lp,429.0,34.395530700683594,9.0,93.0
current_dim768,non_gov_investment,current_n_internal_links_mean,411.0,33.55116653442383,10.0,96.0
current_dim768,non_gov_investment,n_firms_within_1km,389.0,32.894683837890625,11.0,97.0
current_dim768,non_gov_investment,n_firms_within_2.5km,371.0,48.44832229614258,12.0,67.0
current_dim768,non_gov_investment,latitude,370.0,38.081207275390625,13.0,84.0
current_dim768,non_gov_investment,current_n_external_links_mean,361.0,41.49799728393555,14.0,79.0
current_dim768,non_gov_investment,bps_length,359.0,40.84904861450195,15.0,80.0
current_dim768,non_gov_investment,n_firms_within_10km,351.0,59.018428802490234,16.0,51.0
current_dim768,non_gov_investment,longitude,349.0,41.76365661621094,17.0,77.0
current_dim768,non_gov_investment,prediction_3_score,337.0,34.15086364746094,18.0,94.0
current_dim768,non_gov_investment,bps_freq_ratio_norm,323.0,37.566184997558594,19.0,85.0
current_dim768,non_gov_investment,bps_lix,286.0,36.374393463134766,20.0,89.0
current_dim768,non_gov_investment,population,242.0,49.4085693359375,21.0,65.0
current_dim768,non_gov_investment,bps_min_word_freq_norm,229.0,36.93490982055664,22.0,88.0
current_dim768,non_gov_investment,founding_bfs_code,207.0,40.826602935791016,23.0,81.0
current_dim768,non_gov_investment,n_founders,203.0,98.4761962890625,24.0,28.0
current_dim768,non_gov_investment,n_firms_within_10m,199.0,54.588321685791016,25.0,56.0
current_dim768,non_gov_investment,capital_chf,174.0,93.2313232421875,26.0,31.0
current_dim768,non_gov_investment,group_1_label,163.0,50.365936279296875,27.0,63.0
current_dim768,non_gov_investment,class_2_label,153.0,53.8094482421875,28.0,58.0
current_dim768,non_gov_investment,class_3_label,141.0,46.15156555175781,29.0,68.0
current_dim768,non_gov_investment,division_2_label,134.0,94.07135009765625,30.0,30.0
current_dim768,non_gov_investment,pct_female_founders,133.0,101.87521362304688,31.0,27.0
current_dim768,non_gov_investment,district_id,131.0,35.90409851074219,32.0,90.0
current_dim768,non_gov_investment,typology_25c,129.0,71.6482925415039,33.0,42.0
current_dim768,non_gov_investment,class_1_label,124.0,41.66938018798828,34.0,78.0
current_dim768,non_gov_investment,group_3_label,120.0,42.482234954833984,35.0,76.0
current_dim768,non_gov_investment,division_3_label,119.0,62.8365478515625,36.0,46.0
current_dim768,non_gov_investment,group_2_label,108.0,154.4866485595703,37.0,14.0
current_dim768,non_gov_investment,pct_foreign_founders,101.0,25.30321502685547,38.0,106.0
current_dim768,non_gov_investment,division_1_label,100.0,49.75312805175781,39.0,64.0
current_dim768,non_gov_investment,pct_founders_same_residence,99.0,30.134984970092773,40.0,102.0
current_dim768,non_gov_investment,pct_founders_with_prior_founding,95.0,44.235233306884766,41.0,74.0
current_dim768,non_gov_investment,current_n_languages,90.0,58.16055679321289,42.0,52.0
current_dim768,non_gov_investment,bps_max_word_freq_norm,89.0,38.604148864746094,43.0,83.0
