model,target,feature,weight,gain,weight_rank,gain_rank
current_dim768_w,acquisition,current_lp_w,432.0,122.79247283935547,1.0,25.0
current_dim768_w,acquisition,prediction_3_score,422.0,106.5811767578125,2.0,29.0
current_dim768_w,acquisition,current_mean_text_len,403.0,131.95457458496094,3.0,21.0
current_dim768_w,acquisition,current_pr_w_sdg_similarity,365.0,65.64714050292969,4.5,71.0
current_dim768_w,acquisition,current_n_internal_links_mean,365.0,104.71551513671875,4.5,30.0
current_dim768_w,acquisition,latitude,360.0,85.6375732421875,6.0,50.0
current_dim768_w,acquisition,bps_mean_word_length,358.0,129.09107971191406,7.0,23.0
current_dim768_w,acquisition,prediction_2_score,337.0,74.38166809082031,8.0,64.0
current_dim768_w,acquisition,current_vp_w,314.0,87.49112701416016,9.0,43.0
current_dim768_w,acquisition,current_n_external_links_mean,313.0,87.1850814819336,10.0,45.0
current_dim768_w,acquisition,firm_name_length,308.0,79.93921661376953,11.5,57.0
current_dim768_w,acquisition,longitude,308.0,75.84432983398438,11.5,62.0
current_dim768_w,acquisition,prediction_1_score,292.0,115.30889892578125,13.0,27.0
current_dim768_w,acquisition,population,275.0,100.36424255371094,14.0,32.0
current_dim768_w,acquisition,days_of_prior_observations,269.0,82.50267791748047,15.0,53.0
current_dim768_w,acquisition,n_firms_within_10km,260.0,81.37555694580078,16.0,56.0
current_dim768_w,acquisition,bps_length,246.0,77.15909576416016,17.0,59.0
current_dim768_w,acquisition,n_firms_within_2.5km,242.0,81.86528778076172,18.0,55.0
current_dim768_w,acquisition,n_firms_within_1km,214.0,88.99996185302734,19.0,40.0
current_dim768_w,acquisition,bps_lix,200.0,50.51295471191406,20.0,81.0
current_dim768_w,acquisition,bps_min_word_freq_norm,197.0,63.6290168762207,21.0,74.0
current_dim768_w,acquisition,founding_bfs_code,177.0,91.40033721923828,22.0,38.0
current_dim768_w,acquisition,bps_freq_ratio_norm,175.0,87.05084991455078,23.0,47.0
current_dim768_w,acquisition,capital_chf,162.0,397.8317565917969,24.0,6.0
current_dim768_w,acquisition,n_firms_within_10m,142.0,138.22515869140625,26.0,19.0
current_dim768_w,acquisition,typology_25c,142.0,148.470947265625,26.0,17.0
current_dim768_w,acquisition,n_inscribed_firms,142.0,573.196533203125,26.0,2.0
current_dim768_w,acquisition,n_founders,137.0,87.68506622314453,28.0,41.0
current_dim768_w,acquisition,class_2_label,134.0,101.73002624511719,29.0,31.0
current_dim768_w,acquisition,pct_foreign_founders,125.0,86.87385559082031,30.0,48.0
current_dim768_w,acquisition,class_3_label,122.0,57.39705276489258,31.0,75.0
current_dim768_w,acquisition,group_3_label,119.0,74.3841781616211,32.0,63.0
current_dim768_w,acquisition,bps_max_word_freq_norm,118.0,92.11740112304688,33.0,37.0
current_dim768_w,acquisition,group_1_label,115.0,87.21993255615234,34.0,44.0
current_dim768_w,acquisition,pct_female_founders,107.0,86.22801971435547,35.0,49.0
current_dim768_w,acquisition,district_id,100.0,91.20128631591797,36.0,39.0
current_dim768_w,acquisition,group_2_label,94.0,82.80966186523438,37.0,52.0
current_dim768_w,acquisition,class_1_label,90.0,162.16690063476562,38.5,14.0
current_dim768_w,acquisition,pct_founders_with_prior_founding,90.0,142.2399139404297,38.5,18.0
current_dim768_w,acquisition,division_1_label,78.0,77.66641235351562,40.0,58.0
current_dim768_w,acquisition,pct_founders_same_residence,75.0,77.09979248046875,41.0,60.0
current_dim768_w,acquisition,division_3_label,71.0,93.73857879638672,42.0,36.0
current_dim768_w,acquisition,founding_legal_form_3,67.0,2602.1728515625,43.0,1.0
current_dim768_w,acquisition,division_2_label,62.0,55.38413619995117,44.0,78.0
current_dim768_w,acquisition,n_existing_firms,58.0,70.66755676269531,45.0,66.0
current_dim768_w,acquisition,current_n_languages,49.0,45.52607727050781,46.0,83.0
current_dim768_w,acquisition,firm_name_founder_match,46.0,352.08056640625,47.0,7.0
current_dim768_w,acquisition,pct_dr_titles,41.0,87.50260925292969,48.0,42.0
current_dim768_w,acquisition,bps_geographic_term,39.0,209.7047882080078,49.0,11.0
current_dim768_w,acquisition,section_2_label_M,37.0,153.5804901123047,50.0,16.0
current_dim768_w,acquisition,n_distinct_nationalities,31.0,74.34915924072266,51.0,65.0
current_dim768_w,acquisition,section_1_label_M,29.0,131.19552612304688,52.0,22.0
current_dim768_w,acquisition,typology_9c_21.0,25.0,133.56875610351562,53.0,20.0
current_dim768_w,acquisition,typology_9c_13.0,23.0,160.46380615234375,54.0,15.0
