model,target,feature,weight,gain,weight_rank,gain_rank
current_dim768_w,inno_subsidy,prediction_1_score,1209.0,53.88634490966797,1.0,50.0
current_dim768_w,inno_subsidy,days_of_prior_observations,1175.0,30.590469360351562,2.0,100.0
current_dim768_w,inno_subsidy,current_mean_text_len,1170.0,60.13115692138672,3.0,42.0
current_dim768_w,inno_subsidy,prediction_2_score,1151.0,36.87245178222656,4.0,72.0
current_dim768_w,inno_subsidy,current_pr_w_sdg_similarity,1135.0,36.37236022949219,5.0,75.0
current_dim768_w,inno_subsidy,current_n_internal_links_mean,1039.0,28.86157989501953,6.0,109.0
current_dim768_w,inno_subsidy,firm_name_length,1020.0,38.367271423339844,7.0,68.0
current_dim768_w,inno_subsidy,bps_mean_word_length,981.0,34.419612884521484,8.0,86.0
current_dim768_w,inno_subsidy,current_lp_w,977.0,33.49922561645508,9.0,89.0
current_dim768_w,inno_subsidy,latitude,922.0,28.39090919494629,10.0,113.0
current_dim768_w,inno_subsidy,current_vp_w,918.0,30.508747100830078,11.0,101.0
current_dim768_w,inno_subsidy,longitude,897.0,31.997241973876953,12.0,94.0
current_dim768_w,inno_subsidy,prediction_3_score,896.0,29.565326690673828,13.0,106.0
current_dim768_w,inno_subsidy,current_n_external_links_mean,878.0,28.4163761138916,14.0,112.0
current_dim768_w,inno_subsidy,n_firms_within_10km,863.0,27.60265350341797,15.0,116.0
current_dim768_w,inno_subsidy,n_firms_within_2.5km,835.0,35.374061584472656,16.0,80.0
current_dim768_w,inno_subsidy,n_firms_within_1km,809.0,31.08604621887207,17.0,99.0
current_dim768_w,inno_subsidy,bps_lix,770.0,28.726978302001953,18.0,111.0
current_dim768_w,inno_subsidy,bps_length,742.0,38.006935119628906,19.0,69.0
current_dim768_w,inno_subsidy,bps_freq_ratio_norm,715.0,31.33043670654297,20.0,98.0
current_dim768_w,inno_subsidy,population,607.0,41.30618667602539,21.0,66.0
current_dim768_w,inno_subsidy,founding_bfs_code,595.0,32.556488037109375,22.0,92.0
current_dim768_w,inno_subsidy,bps_min_word_freq_norm,558.0,31.577306747436523,23.0,96.0
current_dim768_w,inno_subsidy,n_firms_within_10m,417.0,35.08460998535156,24.0,83.0
current_dim768_w,inno_subsidy,class_3_label,402.0,64.2090835571289,25.0,38.0
current_dim768_w,inno_subsidy,group_3_label,388.0,45.99398422241211,26.0,58.0
current_dim768_w,inno_subsidy,group_2_label,373.0,72.51036834716797,27.0,35.0
current_dim768_w,inno_subsidy,district_id,369.0,32.95624542236328,28.0,90.0
current_dim768_w,inno_subsidy,class_2_label,366.0,58.59716033935547,29.0,45.0
current_dim768_w,inno_subsidy,n_founders,365.0,100.2595443725586,30.0,18.0
current_dim768_w,inno_subsidy,capital_chf,357.0,111.47005462646484,31.0,15.0
current_dim768_w,inno_subsidy,group_1_label,354.0,63.79036331176758,32.0,39.0
current_dim768_w,inno_subsidy,division_3_label,351.0,87.7918472290039,33.0,21.0
current_dim768_w,inno_subsidy,division_2_label,349.0,77.21665954589844,34.0,30.0
current_dim768_w,inno_subsidy,class_1_label,345.0,72.94088745117188,35.0,34.0
current_dim768_w,inno_subsidy,division_1_label,316.0,68.77925109863281,36.0,36.0
current_dim768_w,inno_subsidy,pct_founders_same_residence,307.0,23.598819732666016,37.0,120.0
current_dim768_w,inno_subsidy,typology_25c,290.0,35.137935638427734,38.0,82.0
current_dim768_w,inno_subsidy,pct_female_founders,263.0,43.36686706542969,39.0,62.0
current_dim768_w,inno_subsidy,pct_foreign_founders,231.0,28.108627319335938,40.0,114.0
current_dim768_w,inno_subsidy,bps_max_word_freq_norm,226.0,34.829444885253906,41.0,84.0
current_dim768_w,inno_subsidy,n_existing_firms,207.0,32.03511428833008,42.0,93.0
current_dim768_w,inno_subsidy,pct_founders_with_prior_founding,203.0,34.21609115600586,43.0,87.0
current_dim768_w,inno_subsidy,current_n_languages,169.0,38.946773529052734,44.0,67.0
current_dim768_w,inno_subsidy,n_distinct_nationalities,137.0,84.46512603759766,45.0,25.0
current_dim768_w,inno_subsidy,current_dominant_language_en,126.0,834.6414184570312,46.0,1.0
current_dim768_w,inno_subsidy,firm_name_founder_match,110.0,262.9241027832031,47.0,3.0
current_dim768_w,inno_subsidy,n_inscribed_firms,108.0,58.46583938598633,48.0,46.0
current_dim768_w,inno_subsidy,canton_id,70.0,33.66163635253906,49.0,88.0
current_dim768_w,inno_subsidy,section_1_label_J,69.0,259.0059814453125,50.0,4.0
current_dim768_w,inno_subsidy,pct_dr_titles,68.0,29.73969841003418,51.0,105.0
current_dim768_w,inno_subsidy,founding_legal_form_3,66.0,94.7725601196289,52.0,19.0
current_dim768_w,inno_subsidy,section_3_label_M,65.0,116.5567626953125,53.0,14.0
current_dim768_w,inno_subsidy,section_1_label_M,64.0,170.2744903564453,54.0,7.0
current_dim768_w,inno_subsidy,typology_9c_12.0,63.0,37.62599563598633,55.5,70.0
current_dim768_w,inno_subsidy,bps_geographic_term,63.0,28.744800567626953,55.5,110.0
current_dim768_w,inno_subsidy,current_dominant_language_fr,61.0,52.63337326049805,58.0,51.0
current_dim768_w,inno_subsidy,section_2_label_J,61.0,182.1733856201172,58.0,6.0
current_dim768_w,inno_subsidy,firm_name_swiss_ref,61.0,31.810182571411133,58.0,95.0
current_dim768_w,inno_subsidy,founding_legal_form_4,60.0,57.27900695800781,60.0,48.0
current_dim768_w,inno_subsidy,section_2_label_M,54.0,144.4449005126953,61.0,9.0
current_dim768_w,inno_subsidy,section_3_label_J,45.0,130.81805419921875,62.5,12.0
current_dim768_w,inno_subsidy,typology_9c_13.0,45.0,31.484670639038086,62.5,97.0
current_dim768_w,inno_subsidy,current_dominant_language_de,42.0,311.77166748046875,64.0,2.0
current_dim768_w,inno_subsidy,section_1_label_N,40.0,36.39757537841797,66.0,74.0
current_dim768_w,inno_subsidy,section_2_label_G,40.0,86.56500244140625,66.0,22.0
current_dim768_w,inno_subsidy,firm_name_holding_ref,40.0,73.96046447753906,66.0,33.0
current_dim768_w,inno_subsidy,section_3_label_L,35.0,160.84036254882812,68.0,8.0
current_dim768_w,inno_subsidy,typology_9c_22.0,34.0,36.00334167480469,69.0,78.0
current_dim768_w,inno_subsidy,section_2_label_I,32.0,61.5406494140625,70.0,41.0
current_dim768_w,inno_subsidy,typology_9c_11.0,31.0,28.08309555053711,71.0,115.0
current_dim768_w,inno_subsidy,firm_name_male_match,29.0,27.19502830505371,72.5,117.0
current_dim768_w,inno_subsidy,section_2_label_F,29.0,81.38007354736328,72.5,29.0
current_dim768_w,inno_subsidy,typology_9c_21.0,27.0,29.444297790527344,74.0,107.0
current_dim768_w,inno_subsidy,section_1_label_G,26.0,50.13986587524414,75.0,54.0
current_dim768_w,inno_subsidy,typology_9c_23.0,25.0,85.40973663330078,76.0,24.0
current_dim768_w,inno_subsidy,section_1_label_F,24.0,63.21237564086914,77.5,40.0
current_dim768_w,inno_subsidy,section_3_label_C,24.0,44.32038879394531,77.5,60.0
current_dim768_w,inno_subsidy,urban_rural_1.0,23.0,41.767845153808594,79.0,64.0
current_dim768_w,inno_subsidy,section_1_label_K,22.0,110.69164276123047,80.5,16.0
current_dim768_w,inno_subsidy,section_3_label_G,22.0,35.691471099853516,80.5,79.0
current_dim768_w,inno_subsidy,typology_9c_32.0,20.0,29.91790199279785,82.0,103.0
current_dim768_w,inno_subsidy,section_2_label_N,19.0,46.19596481323242,84.0,57.0
current_dim768_w,inno_subsidy,urban_rural_2.0,19.0,26.650001525878906,84.0,118.0
current_dim768_w,inno_subsidy,section_2_label_C,19.0,29.220861434936523,84.0,108.0
current_dim768_w,inno_subsidy,section_2_label_L,18.0,128.40907287597656,86.0,13.0
current_dim768_w,inno_subsidy,section_3_label_N,17.0,32.68964385986328,88.5,91.0
current_dim768_w,inno_subsidy,section_1_label_C,17.0,29.8071231842041,88.5,104.0
current_dim768_w,inno_subsidy,typology_9c_31.0,17.0,35.167572021484375,88.5,81.0
current_dim768_w,inno_subsidy,section_1_label_L,17.0,199.35752868652344,88.5,5.0
current_dim768_w,inno_subsidy,urban_rural_3.0,16.0,36.31789779663086,91.0,76.0
current_dim768_w,inno_subsidy,section_1_label_I,14.0,83.03022003173828,92.0,27.0
current_dim768_w,inno_subsidy,section_1_label_D,13.0,45.66445541381836,93.0,59.0
current_dim768_w,inno_subsidy,section_2_label_K,12.0,67.71778106689453,95.0,37.0
current_dim768_w,inno_subsidy,section_3_label_I,12.0,83.92583465576172,95.0,26.0
current_dim768_w,inno_subsidy,typology_9c_33.0,12.0,26.40995216369629,95.0,119.0
current_dim768_w,inno_subsidy,current_dominant_language_la,9.0,58.85999298095703,97.5,44.0
current_dim768_w,inno_subsidy,section_3_label_F,9.0,54.24797058105469,97.5,49.0
current_dim768_w,inno_subsidy,section_3_label_K,8.0,74.48404693603516,99.0,32.0
current_dim768_w,inno_subsidy,current_dominant_language_it,7.0,36.154911041259766,101.0,77.0
current_dim768_w,inno_subsidy,firm_name_geog_ref,7.0,41.994441986083984,101.0,63.0
current_dim768_w,inno_subsidy,section_2_label_P,7.0,50.59286117553711,101.0,53.0
current_dim768_w,inno_subsidy,section_1_label_Q,6.0,51.2181396484375,103.5,52.0
current_dim768_w,inno_subsidy,section_1_label_B,6.0,48.969268798828125,103.5,55.0
current_dim768_w,inno_subsidy,section_1_label_H,5.0,23.23118019104004,105.5,122.0
current_dim768_w,inno_subsidy,current_dominant_language_cs,5.0,57.846160888671875,105.5,47.0
current_dim768_w,inno_subsidy,section_2_label_D,4.0,46.91453170776367,108.5,56.0
current_dim768_w,inno_subsidy,section_3_label_H,4.0,94.62339782714844,108.5,20.0
current_dim768_w,inno_subsidy,firm_name_female_match,4.0,34.73020553588867,108.5,85.0
current_dim768_w,inno_subsidy,section_1_label_P,4.0,82.6683349609375,108.5,28.0
current_dim768_w,inno_subsidy,n_dissolved_firms,3.0,30.43363380432129,114.0,102.0
current_dim768_w,inno_subsidy,section_3_label_P,3.0,74.76445007324219,114.0,31.0
current_dim768_w,inno_subsidy,section_2_label_E,3.0,23.59287452697754,114.0,121.0
current_dim768_w,inno_subsidy,section_2_label_Q,3.0,37.0190315246582,114.0,71.0
current_dim768_w,inno_subsidy,section_2_label_O,3.0,105.033447265625,114.0,17.0
current_dim768_w,inno_subsidy,section_1_label_O,3.0,133.0321502685547,114.0,11.0
current_dim768_w,inno_subsidy,section_3_label_Q,3.0,41.33049392700195,114.0,65.0
current_dim768_w,inno_subsidy,section_3_label_B,2.0,44.24451446533203,119.0,61.0
current_dim768_w,inno_subsidy,section_3_label_D,2.0,59.42170333862305,119.0,43.0
current_dim768_w,inno_subsidy,section_1_label_R,2.0,13.032979965209961,119.0,125.0
current_dim768_w,inno_subsidy,section_2_label_R,1.0,11.51891040802002,123.5,126.0
current_dim768_w,inno_subsidy,section_2_label_S,1.0,19.02790069580078,123.5,123.0
current_dim768_w,inno_subsidy,current_dominant_language_vi,1.0,36.429115295410156,123.5,73.0
current_dim768_w,inno_subsidy,section_3_label_R,1.0,86.01153564453125,123.5,23.0
current_dim768_w,inno_subsidy,section_2_label_H,1.0,141.02215576171875,123.5,10.0
current_dim768_w,inno_subsidy,section_1_label_S,1.0,15.35643482208252,123.5,124.0
current_dim768_w,inno_subsidy,bps_male_name,0.0,0.0,151.0,151.0
current_dim768_w,inno_subsidy,current_dominant_language_fa,0.0,0.0,151.0,151.0
current_dim768_w,inno_subsidy,current_dominant_language_zh,0.0,0.0,151.0,151.0
current_dim768_w,inno_subsidy,section_1_label_U,0.0,0.0,151.0,151.0
current_dim768_w,inno_subsidy,current_dominant_language_el,0.0,0.0,151.0,151.0
current_dim768_w,inno_subsidy,current_dominant_language_da,0.0,0.0,151.0,151.0
current_dim768_w,inno_subsidy,current_dominant_language_ceb,0.0,0.0,151.0,151.0
current_dim768_w,inno_subsidy,current_dominant_language_arz,0.0,0.0,151.0,151.0
current_dim768_w,inno_subsidy,current_dominant_language_ar,0.0,0.0,151.0,151.0
current_dim768_w,inno_subsidy,section_3_label_S,0.0,0.0,151.0,151.0
current_dim768_w,inno_subsidy,section_3_label_O,0.0,0.0,151.0,151.0
current_dim768_w,inno_subsidy,section_3_label_E,0.0,0.0,151.0,151.0
current_dim768_w,inno_subsidy,section_2_label_B,0.0,0.0,151.0,151.0
current_dim768_w,inno_subsidy,section_1_label_T,0.0,0.0,151.0,151.0
current_dim768_w,inno_subsidy,current_dominant_language_fi,0.0,0.0,151.0,151.0
