model,target,feature,weight,gain,weight_rank,gain_rank
current_dim768_w,inv_exit,days_of_prior_observations,252.0,179.16567993164062,1.0,6.0
current_dim768_w,inv_exit,current_n_internal_links_mean,247.0,145.1659393310547,2.0,19.0
current_dim768_w,inv_exit,current_lp_w,194.0,223.2480010986328,3.0,4.0
current_dim768_w,inv_exit,prediction_1_score,191.0,124.62110137939453,4.0,35.0
current_dim768_w,inv_exit,prediction_2_score,182.0,114.19754791259766,5.0,56.0
current_dim768_w,inv_exit,current_pr_w_sdg_similarity,144.0,98.67123413085938,6.0,83.0
current_dim768_w,inv_exit,prediction_3_score,131.0,105.29425048828125,7.5,71.0
current_dim768_w,inv_exit,bps_mean_word_length,131.0,98.18425750732422,7.5,84.0
current_dim768_w,inv_exit,n_firms_within_10km,130.0,134.2426300048828,9.5,27.0
current_dim768_w,inv_exit,n_firms_within_1km,130.0,122.5594482421875,9.5,39.0
current_dim768_w,inv_exit,longitude,128.0,100.62589263916016,11.0,80.0
current_dim768_w,inv_exit,current_vp_w,122.0,135.72105407714844,12.0,26.0
current_dim768_w,inv_exit,current_mean_text_len,121.0,92.01788330078125,13.0,92.0
current_dim768_w,inv_exit,n_firms_within_2.5km,116.0,124.71910095214844,14.0,34.0
current_dim768_w,inv_exit,latitude,115.0,106.77804565429688,15.0,68.0
current_dim768_w,inv_exit,pct_foreign_founders,108.0,425.99432373046875,16.0,1.0
current_dim768_w,inv_exit,population,102.0,126.2320556640625,17.0,32.0
current_dim768_w,inv_exit,bps_length,101.0,92.02054595947266,18.0,91.0
current_dim768_w,inv_exit,current_n_external_links_mean,100.0,94.13626098632812,19.0,89.0
current_dim768_w,inv_exit,firm_name_length,99.0,96.82905578613281,20.0,86.0
current_dim768_w,inv_exit,bps_lix,98.0,101.98763275146484,21.0,77.0
current_dim768_w,inv_exit,founding_legal_form_4,90.0,217.90609741210938,22.0,5.0
current_dim768_w,inv_exit,bps_freq_ratio_norm,80.0,106.22560119628906,23.0,69.0
current_dim768_w,inv_exit,capital_chf,75.0,122.16666412353516,24.0,41.0
current_dim768_w,inv_exit,pct_founders_same_residence,73.0,161.99652099609375,25.5,12.0
current_dim768_w,inv_exit,founding_bfs_code,73.0,109.76627349853516,25.5,62.0
current_dim768_w,inv_exit,bps_min_word_freq_norm,71.0,111.39524841308594,27.0,58.0
current_dim768_w,inv_exit,n_firms_within_10m,68.0,151.53260803222656,29.0,17.0
current_dim768_w,inv_exit,firm_name_founder_match,68.0,259.55560302734375,29.0,2.0
current_dim768_w,inv_exit,n_founders,68.0,111.47393798828125,29.0,57.0
current_dim768_w,inv_exit,class_2_label,62.0,152.17904663085938,31.0,16.0
current_dim768_w,inv_exit,class_3_label,59.0,118.19984436035156,32.0,48.0
current_dim768_w,inv_exit,group_3_label,52.0,110.53413391113281,33.0,59.0
current_dim768_w,inv_exit,pct_female_founders,48.0,114.98058319091797,34.0,55.0
current_dim768_w,inv_exit,division_2_label,46.0,122.8847885131836,35.0,38.0
current_dim768_w,inv_exit,typology_25c,45.0,108.35205078125,36.0,64.0
current_dim768_w,inv_exit,group_2_label,43.0,140.45230102539062,37.0,21.0
current_dim768_w,inv_exit,current_n_languages,41.0,119.3092269897461,38.0,45.0
current_dim768_w,inv_exit,district_id,40.0,107.35810852050781,39.0,65.0
current_dim768_w,inv_exit,current_dominant_language_en,39.0,164.0591278076172,40.0,10.0
current_dim768_w,inv_exit,group_1_label,37.0,132.13381958007812,41.0,28.0
current_dim768_w,inv_exit,division_1_label,34.0,144.11578369140625,42.0,20.0
current_dim768_w,inv_exit,class_1_label,32.0,105.2039566040039,43.0,72.0
