model,target,feature,weight,gain,weight_rank,gain_rank
current_doc2vec,acquisition,current_doc2vec_diff,344.0,105.29803466796875,1.0,27.0
current_doc2vec,acquisition,current_mean_text_len,334.0,137.6246795654297,2.0,18.0
current_doc2vec,acquisition,prediction_3_score,317.0,78.4903793334961,3.0,46.0
current_doc2vec,acquisition,current_n_external_links_mean,286.0,58.56615447998047,4.0,73.0
current_doc2vec,acquisition,current_n_internal_links_mean,284.0,64.33116149902344,5.0,68.0
current_doc2vec,acquisition,latitude,281.0,70.40379333496094,6.0,57.0
current_doc2vec,acquisition,prediction_2_score,267.0,65.8458251953125,7.0,64.0
current_doc2vec,acquisition,bps_mean_word_length,266.0,108.23812103271484,8.0,26.0
current_doc2vec,acquisition,prediction_1_score,255.0,66.77180480957031,9.0,63.0
current_doc2vec,acquisition,longitude,240.0,91.28633117675781,10.0,39.0
current_doc2vec,acquisition,days_of_prior_observations,239.0,101.55436706542969,11.0,29.0
current_doc2vec,acquisition,firm_name_length,232.0,71.29247283935547,12.0,55.0
current_doc2vec,acquisition,population,224.0,61.24796676635742,13.0,72.0
current_doc2vec,acquisition,n_firms_within_2.5km,202.0,61.59684753417969,14.0,71.0
current_doc2vec,acquisition,bps_length,200.0,56.89834976196289,15.0,76.0
current_doc2vec,acquisition,n_firms_within_10km,190.0,55.238624572753906,16.0,79.0
current_doc2vec,acquisition,n_firms_within_1km,166.0,72.0207290649414,17.5,53.0
current_doc2vec,acquisition,bps_lix,166.0,51.22431945800781,17.5,81.0
current_doc2vec,acquisition,founding_bfs_code,148.0,81.99542999267578,19.0,43.0
current_doc2vec,acquisition,bps_freq_ratio_norm,131.0,80.43094635009766,20.0,45.0
current_doc2vec,acquisition,bps_min_word_freq_norm,122.0,100.00773620605469,21.0,33.0
current_doc2vec,acquisition,n_inscribed_firms,112.0,571.0460815429688,22.0,4.0
current_doc2vec,acquisition,capital_chf,109.0,296.86676025390625,23.0,8.0
current_doc2vec,acquisition,group_1_label,102.0,57.87208938598633,24.0,74.0
current_doc2vec,acquisition,group_3_label,98.0,70.24006652832031,25.0,58.0
current_doc2vec,acquisition,class_3_label,95.0,43.95501708984375,26.5,87.0
current_doc2vec,acquisition,pct_foreign_founders,95.0,105.292236328125,26.5,28.0
current_doc2vec,acquisition,pct_female_founders,88.0,114.29354858398438,28.5,24.0
current_doc2vec,acquisition,n_founders,88.0,77.29798126220703,28.5,49.0
current_doc2vec,acquisition,n_firms_within_10m,87.0,80.97840881347656,30.0,44.0
current_doc2vec,acquisition,class_2_label,86.0,92.3862533569336,31.0,38.0
current_doc2vec,acquisition,typology_25c,78.0,171.59811401367188,32.0,13.0
current_doc2vec,acquisition,class_1_label,77.0,95.39080810546875,33.0,36.0
current_doc2vec,acquisition,bps_max_word_freq_norm,73.0,74.7066879272461,34.0,51.0
