model,target,feature,weight,gain,weight_rank,gain_rank
current_doc2vec,inno_subsidy,current_mean_text_len,1156.0,49.595272064208984,1.0,49.0
current_doc2vec,inno_subsidy,current_doc2vec_diff,1136.0,31.135318756103516,2.0,85.0
current_doc2vec,inno_subsidy,prediction_1_score,1085.0,52.3974723815918,3.0,45.0
current_doc2vec,inno_subsidy,days_of_prior_observations,1068.0,32.67997360229492,4.0,78.0
current_doc2vec,inno_subsidy,current_n_internal_links_mean,1028.0,28.072202682495117,5.0,100.0
current_doc2vec,inno_subsidy,prediction_2_score,981.0,32.489540100097656,6.0,79.0
current_doc2vec,inno_subsidy,bps_mean_word_length,903.0,30.68111801147461,7.0,90.0
current_doc2vec,inno_subsidy,n_firms_within_10km,901.0,28.83013153076172,8.0,96.0
current_doc2vec,inno_subsidy,firm_name_length,898.0,36.04738998413086,9.0,67.0
current_doc2vec,inno_subsidy,latitude,891.0,30.532238006591797,10.0,91.0
current_doc2vec,inno_subsidy,prediction_3_score,866.0,25.861196517944336,11.0,109.0
current_doc2vec,inno_subsidy,current_n_external_links_mean,846.0,25.176382064819336,12.0,111.0
current_doc2vec,inno_subsidy,bps_lix,783.0,29.685476303100586,13.0,94.0
current_doc2vec,inno_subsidy,bps_length,760.0,28.757055282592773,14.0,98.0
current_doc2vec,inno_subsidy,longitude,732.0,28.019927978515625,15.0,102.0
current_doc2vec,inno_subsidy,n_firms_within_1km,717.0,30.8216495513916,16.0,88.0
current_doc2vec,inno_subsidy,n_firms_within_2.5km,674.0,31.808626174926758,17.0,83.0
current_doc2vec,inno_subsidy,bps_freq_ratio_norm,638.0,27.71165657043457,18.0,103.0
current_doc2vec,inno_subsidy,population,597.0,33.3590202331543,19.0,74.0
current_doc2vec,inno_subsidy,bps_min_word_freq_norm,580.0,30.79254150390625,20.0,89.0
current_doc2vec,inno_subsidy,founding_bfs_code,497.0,30.000890731811523,21.0,92.0
current_doc2vec,inno_subsidy,n_firms_within_10m,375.0,40.24546432495117,22.0,62.0
current_doc2vec,inno_subsidy,class_3_label,361.0,53.22164535522461,23.0,43.0
current_doc2vec,inno_subsidy,class_2_label,346.0,53.975135803222656,24.0,42.0
current_doc2vec,inno_subsidy,group_2_label,341.0,52.37481689453125,25.0,46.0
current_doc2vec,inno_subsidy,group_3_label,338.0,49.225341796875,26.0,50.0
current_doc2vec,inno_subsidy,district_id,336.0,31.84769630432129,27.0,82.0
current_doc2vec,inno_subsidy,pct_founders_same_residence,325.0,28.62627410888672,28.0,99.0
current_doc2vec,inno_subsidy,division_3_label,319.0,64.99673461914062,29.0,31.0
current_doc2vec,inno_subsidy,n_founders,292.0,98.75820922851562,30.0,17.0
current_doc2vec,inno_subsidy,group_1_label,289.0,52.658424377441406,31.0,44.0
current_doc2vec,inno_subsidy,division_2_label,282.0,58.313602447509766,32.0,39.0
current_doc2vec,inno_subsidy,pct_foreign_founders,281.0,20.184988021850586,33.0,118.0
current_doc2vec,inno_subsidy,capital_chf,280.0,74.82164001464844,34.0,27.0
current_doc2vec,inno_subsidy,class_1_label,268.0,57.66811752319336,35.0,40.0
current_doc2vec,inno_subsidy,division_1_label,257.0,59.991188049316406,36.0,38.0
current_doc2vec,inno_subsidy,typology_25c,249.0,32.21650314331055,37.0,80.0
current_doc2vec,inno_subsidy,bps_max_word_freq_norm,223.0,35.51625061035156,38.0,68.0
current_doc2vec,inno_subsidy,pct_female_founders,212.0,42.83171463012695,39.0,58.0
current_doc2vec,inno_subsidy,pct_founders_with_prior_founding,198.0,30.969852447509766,40.0,87.0
current_doc2vec,inno_subsidy,n_existing_firms,178.0,34.18762969970703,41.0,72.0
current_doc2vec,inno_subsidy,current_n_languages,147.0,26.73166275024414,42.0,106.0
current_doc2vec,inno_subsidy,n_distinct_nationalities,121.0,63.96688461303711,43.0,35.0
current_doc2vec,inno_subsidy,current_dominant_language_en,106.0,627.0518798828125,44.0,1.0
