model,target,feature,weight,gain,weight_rank,gain_rank
current_doc2vec,inv_exit,current_doc2vec_diff,2367.0,49.57917022705078,1.0,32.0
current_doc2vec,inv_exit,prediction_1_score,2156.0,45.37656784057617,2.0,52.0
current_doc2vec,inv_exit,current_mean_text_len,2086.0,41.239437103271484,3.0,82.0
current_doc2vec,inv_exit,days_of_prior_observations,2084.0,54.785179138183594,4.0,18.0
current_doc2vec,inv_exit,current_n_internal_links_mean,2005.0,51.300148010253906,5.0,27.0
current_doc2vec,inv_exit,prediction_2_score,1891.0,43.00006866455078,6.0,62.0
current_doc2vec,inv_exit,latitude,1791.0,41.69419860839844,7.0,76.0
current_doc2vec,inv_exit,prediction_3_score,1747.0,37.73408508300781,8.0,102.0
current_doc2vec,inv_exit,bps_length,1673.0,39.686153411865234,9.0,90.0
current_doc2vec,inv_exit,current_n_external_links_mean,1663.0,41.88434982299805,10.0,74.0
current_doc2vec,inv_exit,bps_mean_word_length,1660.0,41.780765533447266,11.0,75.0
current_doc2vec,inv_exit,n_firms_within_10km,1629.0,44.99333190917969,12.0,54.0
current_doc2vec,inv_exit,bps_lix,1608.0,39.02155303955078,13.0,96.0
current_doc2vec,inv_exit,longitude,1496.0,38.791316986083984,14.0,98.0
current_doc2vec,inv_exit,firm_name_length,1452.0,38.14598846435547,15.0,101.0
current_doc2vec,inv_exit,n_firms_within_1km,1393.0,41.634037017822266,16.0,77.0
current_doc2vec,inv_exit,n_firms_within_2.5km,1323.0,42.11258316040039,17.0,73.0
current_doc2vec,inv_exit,population,1253.0,43.3835563659668,18.0,60.0
current_doc2vec,inv_exit,bps_min_word_freq_norm,1204.0,40.285587310791016,19.0,86.0
current_doc2vec,inv_exit,bps_freq_ratio_norm,1182.0,41.05222702026367,20.0,83.0
current_doc2vec,inv_exit,founding_bfs_code,1133.0,40.545345306396484,21.0,84.0
current_doc2vec,inv_exit,class_2_label,731.0,48.05254364013672,22.0,36.0
current_doc2vec,inv_exit,class_3_label,661.0,43.423641204833984,23.0,59.0
current_doc2vec,inv_exit,group_2_label,655.0,46.95539855957031,24.0,40.0
current_doc2vec,inv_exit,group_3_label,652.0,43.1798095703125,25.0,61.0
current_doc2vec,inv_exit,typology_25c,618.0,44.965484619140625,26.0,56.0
current_doc2vec,inv_exit,district_id,604.0,37.13737487792969,27.0,105.0
current_doc2vec,inv_exit,n_firms_within_10m,591.0,46.38790512084961,28.0,45.0
current_doc2vec,inv_exit,group_1_label,557.0,46.467281341552734,29.0,44.0
current_doc2vec,inv_exit,pct_founders_same_residence,530.0,52.168609619140625,30.0,25.0
current_doc2vec,inv_exit,pct_female_founders,468.0,42.498355865478516,31.0,67.0
current_doc2vec,inv_exit,division_1_label,463.0,46.98585891723633,32.0,38.0
current_doc2vec,inv_exit,n_founders,453.0,42.938926696777344,33.0,63.0
current_doc2vec,inv_exit,capital_chf,425.0,53.015625,34.0,21.0
current_doc2vec,inv_exit,division_3_label,420.0,43.55939483642578,35.0,58.0
current_doc2vec,inv_exit,bps_max_word_freq_norm,418.0,39.46808624267578,36.0,92.0
current_doc2vec,inv_exit,division_2_label,406.0,44.19463348388672,37.0,57.0
current_doc2vec,inv_exit,pct_foreign_founders,387.0,201.63241577148438,38.0,1.0
current_doc2vec,inv_exit,class_1_label,369.0,46.98461151123047,39.0,39.0
current_doc2vec,inv_exit,current_n_languages,329.0,42.6739616394043,40.0,65.0
current_doc2vec,inv_exit,n_existing_firms,239.0,41.35806655883789,41.0,81.0
current_doc2vec,inv_exit,pct_founders_with_prior_founding,231.0,41.45775604248047,42.0,80.0
current_doc2vec,inv_exit,founding_legal_form_4,211.0,112.59662628173828,43.0,3.0
current_doc2vec,inv_exit,current_dominant_language_en,209.0,70.11651611328125,44.0,5.0
current_doc2vec,inv_exit,current_dominant_language_de,194.0,57.79489517211914,45.0,16.0
current_doc2vec,inv_exit,firm_name_founder_match,180.0,149.26425170898438,46.0,2.0
current_doc2vec,inv_exit,canton_id,146.0,36.10297775268555,47.0,108.0
current_doc2vec,inv_exit,firm_name_swiss_ref,141.0,52.880470275878906,48.0,22.0
current_doc2vec,inv_exit,founding_legal_form_3,116.0,58.67157745361328,49.0,12.0
current_doc2vec,inv_exit,bps_geographic_term,111.0,37.35621643066406,50.0,103.0
current_doc2vec,inv_exit,current_dominant_language_fr,110.0,41.463714599609375,51.0,79.0
current_doc2vec,inv_exit,n_distinct_nationalities,109.0,51.49480056762695,52.0,26.0
current_doc2vec,inv_exit,n_inscribed_firms,104.0,35.34756851196289,53.0,110.0
current_doc2vec,inv_exit,typology_9c_12.0,103.0,39.67797088623047,54.0,91.0
current_doc2vec,inv_exit,section_1_label_I,98.0,57.97169876098633,55.0,13.0
current_doc2vec,inv_exit,section_2_label_M,95.0,60.638851165771484,56.0,9.0
current_doc2vec,inv_exit,section_1_label_M,89.0,42.58974075317383,57.0,66.0
current_doc2vec,inv_exit,section_2_label_F,83.0,49.778289794921875,58.0,31.0
current_doc2vec,inv_exit,typology_9c_11.0,82.0,34.47097396850586,59.0,113.0
current_doc2vec,inv_exit,n_dissolved_firms,77.0,48.62432098388672,60.0,35.0
current_doc2vec,inv_exit,typology_9c_13.0,76.0,38.965267181396484,61.0,97.0
current_doc2vec,inv_exit,section_1_label_G,73.0,41.62165069580078,62.0,78.0
current_doc2vec,inv_exit,firm_name_male_match,70.0,39.43489074707031,63.0,93.0
current_doc2vec,inv_exit,typology_9c_22.0,69.0,40.39807891845703,64.0,85.0
current_doc2vec,inv_exit,section_3_label_I,67.0,59.151485443115234,65.0,11.0
current_doc2vec,inv_exit,section_3_label_M,66.0,42.93257522583008,66.0,64.0
current_doc2vec,inv_exit,section_3_label_N,64.0,46.12299346923828,67.0,47.0
current_doc2vec,inv_exit,section_2_label_N,63.0,46.72133255004883,68.0,42.0
current_doc2vec,inv_exit,urban_rural_2.0,62.0,40.19944381713867,69.0,87.0
current_doc2vec,inv_exit,typology_9c_23.0,60.0,45.57561111450195,70.5,50.0
current_doc2vec,inv_exit,section_3_label_G,60.0,42.44029235839844,70.5,68.0
current_doc2vec,inv_exit,typology_9c_21.0,58.0,42.28600311279297,72.0,70.0
current_doc2vec,inv_exit,section_1_label_J,54.0,39.357112884521484,73.5,95.0
current_doc2vec,inv_exit,section_1_label_N,54.0,55.64284133911133,73.5,17.0
current_doc2vec,inv_exit,pct_dr_titles,53.0,42.33981704711914,75.5,69.0
current_doc2vec,inv_exit,section_3_label_F,53.0,57.8826789855957,75.5,14.0
current_doc2vec,inv_exit,section_2_label_J,52.0,46.852256774902344,77.0,41.0
current_doc2vec,inv_exit,section_2_label_L,51.0,57.79816436767578,78.0,15.0
current_doc2vec,inv_exit,section_1_label_K,49.0,45.643917083740234,79.0,49.0
current_doc2vec,inv_exit,section_3_label_J,48.0,35.46263122558594,80.0,109.0
current_doc2vec,inv_exit,section_2_label_G,47.0,39.7308235168457,81.0,89.0
current_doc2vec,inv_exit,current_dominant_language_it,45.0,45.90702438354492,82.0,48.0
current_doc2vec,inv_exit,section_1_label_F,43.0,47.88230895996094,83.0,37.0
current_doc2vec,inv_exit,firm_name_holding_ref,39.0,53.7404670715332,84.0,19.0
current_doc2vec,inv_exit,section_3_label_Q,38.0,72.94261932373047,85.5,4.0
current_doc2vec,inv_exit,section_3_label_P,38.0,68.9539794921875,85.5,6.0
current_doc2vec,inv_exit,section_2_label_I,35.0,52.68423843383789,87.0,24.0
current_doc2vec,inv_exit,section_2_label_K,34.0,45.44275665283203,88.5,51.0
current_doc2vec,inv_exit,section_3_label_L,34.0,45.01514434814453,88.5,53.0
current_doc2vec,inv_exit,section_1_label_L,33.0,36.68061828613281,90.0,106.0
current_doc2vec,inv_exit,section_2_label_Q,30.0,44.970279693603516,91.0,55.0
current_doc2vec,inv_exit,urban_rural_1.0,28.0,36.584041595458984,92.5,107.0
current_doc2vec,inv_exit,section_2_label_P,28.0,52.84880447387695,92.5,23.0
current_doc2vec,inv_exit,section_1_label_P,26.0,42.28420639038086,94.0,71.0
current_doc2vec,inv_exit,typology_9c_31.0,24.0,46.249664306640625,95.5,46.0
current_doc2vec,inv_exit,section_1_label_H,24.0,53.143768310546875,95.5,20.0
current_doc2vec,inv_exit,urban_rural_3.0,23.0,35.32416534423828,97.0,111.0
current_doc2vec,inv_exit,firm_name_female_match,22.0,38.182308197021484,98.5,100.0
current_doc2vec,inv_exit,firm_name_geog_ref,22.0,40.16323471069336,98.5,88.0
current_doc2vec,inv_exit,section_3_label_C,19.0,46.494388580322266,100.0,43.0
current_doc2vec,inv_exit,section_1_label_Q,18.0,61.76243209838867,102.0,8.0
current_doc2vec,inv_exit,section_1_label_R,18.0,50.17367172241211,102.0,30.0
current_doc2vec,inv_exit,typology_9c_32.0,18.0,37.26502990722656,102.0,104.0
current_doc2vec,inv_exit,typology_9c_33.0,17.0,48.72955322265625,104.0,34.0
current_doc2vec,inv_exit,section_3_label_K,14.0,50.2280158996582,105.5,29.0
current_doc2vec,inv_exit,section_2_label_H,14.0,49.281707763671875,105.5,33.0
current_doc2vec,inv_exit,section_2_label_C,13.0,59.25932312011719,107.0,10.0
current_doc2vec,inv_exit,section_1_label_C,12.0,50.263248443603516,108.0,28.0
current_doc2vec,inv_exit,section_3_label_R,11.0,24.046781539916992,109.5,115.0
current_doc2vec,inv_exit,section_2_label_R,11.0,38.54361343383789,109.5,99.0
current_doc2vec,inv_exit,section_3_label_H,9.0,42.17280960083008,111.0,72.0
current_doc2vec,inv_exit,section_1_label_S,7.0,34.75853729248047,112.0,112.0
current_doc2vec,inv_exit,section_2_label_S,6.0,27.316686630249023,113.0,114.0
current_doc2vec,inv_exit,section_3_label_S,4.0,39.36426544189453,114.0,94.0
current_doc2vec,inv_exit,current_dominant_language_el,1.0,67.34051513671875,115.0,7.0
current_doc2vec,inv_exit,bps_male_name,0.0,0.0,144.5,144.5
current_doc2vec,inv_exit,current_dominant_language_es,0.0,0.0,144.5,144.5
current_doc2vec,inv_exit,current_dominant_language_zh,0.0,0.0,144.5,144.5
current_doc2vec,inv_exit,current_dominant_language_vi,0.0,0.0,144.5,144.5
current_doc2vec,inv_exit,current_dominant_language_ceb,0.0,0.0,144.5,144.5
current_doc2vec,inv_exit,current_dominant_language_arz,0.0,0.0,144.5,144.5
current_doc2vec,inv_exit,current_dominant_language_ar,0.0,0.0,144.5,144.5
current_doc2vec,inv_exit,section_3_label_O,0.0,0.0,144.5,144.5
current_doc2vec,inv_exit,section_3_label_E,0.0,0.0,144.5,144.5
current_doc2vec,inv_exit,section_3_label_D,0.0,0.0,144.5,144.5
current_doc2vec,inv_exit,section_3_label_B,0.0,0.0,144.5,144.5
current_doc2vec,inv_exit,section_2_label_O,0.0,0.0,144.5,144.5
current_doc2vec,inv_exit,section_2_label_E,0.0,0.0,144.5,144.5
current_doc2vec,inv_exit,section_2_label_D,0.0,0.0,144.5,144.5
current_doc2vec,inv_exit,section_2_label_B,0.0,0.0,144.5,144.5
current_doc2vec,inv_exit,section_1_label_U,0.0,0.0,144.5,144.5
current_doc2vec,inv_exit,section_1_label_T,0.0,0.0,144.5,144.5
current_doc2vec,inv_exit,section_1_label_O,0.0,0.0,144.5,144.5
current_doc2vec,inv_exit,section_1_label_E,0.0,0.0,144.5,144.5
current_doc2vec,inv_exit,section_1_label_D,0.0,0.0,144.5,144.5
current_doc2vec,inv_exit,section_1_label_B,0.0,0.0,144.5,144.5
current_doc2vec,inv_exit,founding_legal_form_17,0.0,0.0,144.5,144.5
current_doc2vec,inv_exit,founding_legal_form_16,0.0,0.0,144.5,144.5
current_doc2vec,inv_exit,founding_legal_form_15,0.0,0.0,144.5,144.5
current_doc2vec,inv_exit,founding_legal_form_13,0.0,0.0,144.5,144.5
current_doc2vec,inv_exit,founding_legal_form_10,0.0,0.0,144.5,144.5
current_doc2vec,inv_exit,founding_legal_form_8,0.0,0.0,144.5,144.5
current_doc2vec,inv_exit,founding_legal_form_6,0.0,0.0,144.5,144.5
current_doc2vec,inv_exit,founding_legal_form_5,0.0,0.0,144.5,144.5
current_doc2vec,inv_exit,current_dominant_language_cs,0.0,0.0,144.5,144.5
current_doc2vec,inv_exit,current_dominant_language_da,0.0,0.0,144.5,144.5
current_doc2vec,inv_exit,current_dominant_language_fa,0.0,0.0,144.5,144.5
current_doc2vec,inv_exit,current_dominant_language_pl,0.0,0.0,144.5,144.5
current_doc2vec,inv_exit,current_dominant_language_uk,0.0,0.0,144.5,144.5
current_doc2vec,inv_exit,current_dominant_language_tr,0.0,0.0,144.5,144.5
current_doc2vec,inv_exit,current_dominant_language_th,0.0,0.0,144.5,144.5
current_doc2vec,inv_exit,current_dominant_language_sv,0.0,0.0,144.5,144.5
current_doc2vec,inv_exit,current_dominant_language_sr,0.0,0.0,144.5,144.5
current_doc2vec,inv_exit,current_dominant_language_sl,0.0,0.0,144.5,144.5
current_doc2vec,inv_exit,current_dominant_language_sk,0.0,0.0,144.5,144.5
current_doc2vec,inv_exit,current_dominant_language_sh,0.0,0.0,144.5,144.5
current_doc2vec,inv_exit,current_dominant_language_ru,0.0,0.0,144.5,144.5
current_doc2vec,inv_exit,current_dominant_language_ro,0.0,0.0,144.5,144.5
current_doc2vec,inv_exit,current_dominant_language_pt,0.0,0.0,144.5,144.5
current_doc2vec,inv_exit,current_dominant_language_no,0.0,0.0,144.5,144.5
current_doc2vec,inv_exit,current_dominant_language_fi,0.0,0.0,144.5,144.5
