model,target,feature,weight,gain,weight_rank,gain_rank
current_doc2vec,non_gov_investment,current_mean_text_len,853.0,95.14778137207031,1.0,25.0
current_doc2vec,non_gov_investment,firm_name_length,695.0,67.49747467041016,2.0,57.0
current_doc2vec,non_gov_investment,current_doc2vec_diff,693.0,61.93220138549805,3.0,65.0
current_doc2vec,non_gov_investment,prediction_1_score,688.0,92.57682800292969,4.0,27.0
current_doc2vec,non_gov_investment,current_n_internal_links_mean,673.0,43.801513671875,5.0,104.0
current_doc2vec,non_gov_investment,days_of_prior_observations,643.0,48.418304443359375,6.0,99.0
current_doc2vec,non_gov_investment,bps_mean_word_length,608.0,56.172298431396484,7.0,83.0
current_doc2vec,non_gov_investment,prediction_2_score,607.0,55.13074493408203,8.0,87.0
current_doc2vec,non_gov_investment,n_firms_within_10km,597.0,80.63705444335938,9.0,41.0
current_doc2vec,non_gov_investment,latitude,594.0,55.56568145751953,10.0,84.0
current_doc2vec,non_gov_investment,longitude,586.0,55.37649154663086,11.0,85.0
current_doc2vec,non_gov_investment,current_n_external_links_mean,583.0,53.02683639526367,12.0,94.0
current_doc2vec,non_gov_investment,prediction_3_score,578.0,41.2204475402832,13.0,106.0
current_doc2vec,non_gov_investment,bps_length,542.0,57.51033401489258,14.0,79.0
current_doc2vec,non_gov_investment,n_firms_within_1km,520.0,57.29599380493164,15.0,81.0
current_doc2vec,non_gov_investment,bps_lix,473.0,54.42209243774414,16.0,90.0
current_doc2vec,non_gov_investment,n_firms_within_2.5km,465.0,61.684757232666016,17.0,67.0
current_doc2vec,non_gov_investment,bps_freq_ratio_norm,441.0,56.22428512573242,18.0,82.0
current_doc2vec,non_gov_investment,bps_min_word_freq_norm,406.0,54.9434928894043,19.0,88.0
current_doc2vec,non_gov_investment,population,402.0,69.21199798583984,20.0,53.0
current_doc2vec,non_gov_investment,founding_bfs_code,331.0,58.32000732421875,21.0,77.0
current_doc2vec,non_gov_investment,n_founders,293.0,127.15507507324219,22.0,16.0
current_doc2vec,non_gov_investment,typology_25c,244.0,91.29171752929688,23.5,31.0
current_doc2vec,non_gov_investment,capital_chf,244.0,91.99851989746094,23.5,29.0
current_doc2vec,non_gov_investment,group_1_label,243.0,59.018531799316406,25.0,72.0
current_doc2vec,non_gov_investment,group_2_label,241.0,108.86656188964844,26.0,22.0
current_doc2vec,non_gov_investment,n_firms_within_10m,237.0,58.99925994873047,27.0,73.0
current_doc2vec,non_gov_investment,class_2_label,235.0,90.41865539550781,28.0,33.0
current_doc2vec,non_gov_investment,group_3_label,223.0,64.38642883300781,29.0,60.0
current_doc2vec,non_gov_investment,pct_female_founders,221.0,87.88394927978516,30.0,35.0
current_doc2vec,non_gov_investment,class_3_label,218.0,57.36821746826172,31.0,80.0
current_doc2vec,non_gov_investment,division_2_label,208.0,108.65868377685547,32.5,23.0
current_doc2vec,non_gov_investment,division_3_label,208.0,74.09255981445312,32.5,46.0
current_doc2vec,non_gov_investment,division_1_label,203.0,69.96845245361328,34.0,52.0
current_doc2vec,non_gov_investment,class_1_label,202.0,68.62083435058594,35.0,54.0
current_doc2vec,non_gov_investment,district_id,196.0,43.90637969970703,36.0,103.0
current_doc2vec,non_gov_investment,pct_foreign_founders,172.0,41.12184143066406,37.5,107.0
current_doc2vec,non_gov_investment,pct_founders_with_prior_founding,172.0,62.02111053466797,37.5,64.0
current_doc2vec,non_gov_investment,pct_founders_same_residence,168.0,44.67593765258789,39.0,101.0
current_doc2vec,non_gov_investment,bps_max_word_freq_norm,156.0,53.0715217590332,40.0,93.0
current_doc2vec,non_gov_investment,current_n_languages,153.0,58.493289947509766,41.0,76.0
current_doc2vec,non_gov_investment,n_existing_firms,151.0,71.21485900878906,42.0,51.0
current_doc2vec,non_gov_investment,firm_name_founder_match,146.0,305.5384521484375,43.0,6.0
current_doc2vec,non_gov_investment,n_inscribed_firms,128.0,51.18355178833008,44.0,96.0
current_doc2vec,non_gov_investment,n_distinct_nationalities,116.0,113.77552032470703,45.0,21.0
current_doc2vec,non_gov_investment,current_dominant_language_en,115.0,2129.437744140625,46.0,1.0
current_doc2vec,non_gov_investment,founding_legal_form_3,107.0,191.52188110351562,47.0,11.0
current_doc2vec,non_gov_investment,firm_name_swiss_ref,73.0,64.16983032226562,48.0,61.0
current_doc2vec,non_gov_investment,section_1_label_J,68.0,230.31283569335938,49.5,10.0
current_doc2vec,non_gov_investment,section_2_label_J,68.0,686.3673706054688,49.5,3.0
current_doc2vec,non_gov_investment,section_3_label_J,67.0,377.9737548828125,51.0,5.0
current_doc2vec,non_gov_investment,founding_legal_form_4,61.0,180.20513916015625,52.0,12.0
current_doc2vec,non_gov_investment,canton_id,58.0,71.6808090209961,53.0,50.0
current_doc2vec,non_gov_investment,current_dominant_language_fr,53.0,461.3041687011719,54.0,4.0
