model,target,feature,weight,gain,weight_rank,gain_rank
founding_base,acquisition,days_of_prior_observations,1117.0,56.62556838989258,1.0,66.0
founding_base,acquisition,prediction_2_score,1026.0,60.13739013671875,2.0,61.0
founding_base,acquisition,bps_mean_word_length,983.0,84.82518768310547,3.0,28.0
founding_base,acquisition,prediction_1_score,951.0,52.67609405517578,4.0,74.0
founding_base,acquisition,latitude,891.0,62.28203201293945,5.0,56.0
founding_base,acquisition,prediction_3_score,888.0,62.74391555786133,6.0,54.0
founding_base,acquisition,n_firms_within_10km,832.0,46.58672332763672,7.0,86.0
founding_base,acquisition,firm_name_length,821.0,56.80982208251953,8.0,65.0
founding_base,acquisition,bps_lix,788.0,49.29471969604492,9.0,78.0
founding_base,acquisition,bps_length,765.0,51.31825637817383,10.0,76.0
founding_base,acquisition,longitude,716.0,62.935340881347656,11.0,53.0
founding_base,acquisition,n_firms_within_1km,670.0,57.746482849121094,12.0,63.0
founding_base,acquisition,n_firms_within_2.5km,652.0,45.86174392700195,13.0,87.0
founding_base,acquisition,population,602.0,68.10147857666016,14.0,43.0
founding_base,acquisition,bps_freq_ratio_norm,601.0,48.77213668823242,15.0,80.0
founding_base,acquisition,founding_bfs_code,529.0,63.96833801269531,16.0,49.0
founding_base,acquisition,bps_min_word_freq_norm,506.0,53.110939025878906,17.0,73.0
founding_base,acquisition,capital_chf,359.0,450.6500244140625,18.0,3.0
founding_base,acquisition,n_founders,340.0,55.79513931274414,19.0,67.0
founding_base,acquisition,district_id,315.0,63.30165100097656,20.0,52.0
founding_base,acquisition,class_2_label,314.0,104.73648071289062,21.0,12.0
founding_base,acquisition,class_3_label,299.0,63.509891510009766,22.0,50.0
founding_base,acquisition,group_3_label,284.0,71.59892272949219,23.0,39.0
founding_base,acquisition,n_firms_within_10m,281.0,65.28260803222656,24.0,47.0
founding_base,acquisition,group_1_label,280.0,81.7546615600586,25.0,29.0
founding_base,acquisition,pct_foreign_founders,269.0,91.10501861572266,26.0,21.0
founding_base,acquisition,pct_founders_same_residence,255.0,75.08671569824219,27.0,32.0
founding_base,acquisition,pct_founders_with_prior_founding,247.0,59.86385726928711,28.0,62.0
founding_base,acquisition,typology_25c,241.0,65.13113403320312,29.0,48.0
founding_base,acquisition,bps_max_word_freq_norm,240.0,51.96910095214844,30.0,75.0
founding_base,acquisition,class_1_label,239.0,50.26028823852539,31.0,77.0
founding_base,acquisition,pct_female_founders,231.0,57.410728454589844,32.0,64.0
founding_base,acquisition,group_2_label,200.0,54.904380798339844,33.0,69.0
founding_base,acquisition,division_3_label,199.0,74.55928039550781,34.0,33.0
founding_base,acquisition,n_inscribed_firms,197.0,483.6689453125,35.0,2.0
founding_base,acquisition,division_2_label,193.0,62.45097351074219,36.0,55.0
founding_base,acquisition,division_1_label,189.0,54.41875457763672,37.0,70.0
founding_base,acquisition,n_existing_firms,186.0,63.37674331665039,38.0,51.0
founding_base,acquisition,pct_dr_titles,109.0,75.17586517333984,39.0,31.0
founding_base,acquisition,bps_geographic_term,88.0,87.51724243164062,40.0,24.0
founding_base,acquisition,firm_name_founder_match,71.0,179.4053955078125,41.0,6.0
founding_base,acquisition,firm_name_swiss_ref,66.0,42.74651336669922,42.0,92.0
founding_base,acquisition,n_distinct_nationalities,58.0,61.313011169433594,43.0,58.0
founding_base,acquisition,firm_name_geog_ref,57.0,72.99207305908203,44.0,35.0
founding_base,acquisition,typology_9c_21.0,55.0,85.865234375,45.0,26.0
founding_base,acquisition,section_2_label_M,54.0,60.753238677978516,46.0,59.0
founding_base,acquisition,founding_legal_form_3,53.0,1352.591552734375,47.0,1.0
founding_base,acquisition,typology_9c_13.0,50.0,95.11408233642578,48.0,18.0
founding_base,acquisition,firm_name_holding_ref,48.0,149.3053436279297,49.0,8.0
founding_base,acquisition,section_3_label_M,47.0,90.50709533691406,50.0,22.0
founding_base,acquisition,section_2_label_F,46.0,60.510414123535156,51.0,60.0
founding_base,acquisition,section_1_label_M,45.0,43.9404411315918,52.0,91.0
founding_base,acquisition,typology_9c_12.0,44.0,46.60759353637695,53.0,85.0
founding_base,acquisition,canton_id,42.0,53.1312141418457,55.0,72.0
founding_base,acquisition,founding_legal_form_4,42.0,318.6573791503906,55.0,4.0
founding_base,acquisition,typology_9c_32.0,42.0,104.12100982666016,55.0,15.0
founding_base,acquisition,section_1_label_L,40.0,67.59799194335938,57.0,44.0
founding_base,acquisition,firm_name_male_match,39.0,85.90959930419922,59.0,25.0
founding_base,acquisition,section_2_label_K,39.0,96.91381072998047,59.0,17.0
founding_base,acquisition,section_3_label_K,39.0,78.20095825195312,59.0,30.0
founding_base,acquisition,section_1_label_K,38.0,71.0428237915039,61.0,40.0
founding_base,acquisition,section_1_label_J,36.0,117.22140502929688,62.0,10.0
founding_base,acquisition,section_1_label_G,31.0,55.29563903808594,63.0,68.0
founding_base,acquisition,section_1_label_I,30.0,53.41417694091797,64.0,71.0
founding_base,acquisition,typology_9c_11.0,27.0,35.55296325683594,65.5,96.0
founding_base,acquisition,section_2_label_N,27.0,31.13957405090332,65.5,98.0
founding_base,acquisition,typology_9c_22.0,25.0,24.983278274536133,67.0,102.0
founding_base,acquisition,section_2_label_L,24.0,48.949520111083984,68.0,79.0
founding_base,acquisition,urban_rural_2.0,23.0,71.82132720947266,69.0,38.0
founding_base,acquisition,section_3_label_F,22.0,30.34992027282715,71.0,99.0
founding_base,acquisition,section_3_label_N,22.0,40.40298080444336,71.0,94.0
founding_base,acquisition,section_3_label_J,22.0,44.944637298583984,71.0,90.0
founding_base,acquisition,urban_rural_1.0,19.0,73.9296646118164,73.0,34.0
founding_base,acquisition,section_2_label_J,18.0,69.87309265136719,74.5,42.0
founding_base,acquisition,section_3_label_G,18.0,47.59811019897461,74.5,82.0
founding_base,acquisition,firm_name_female_match,17.0,85.15776824951172,77.0,27.0
founding_base,acquisition,section_3_label_L,17.0,93.96825408935547,77.0,19.0
founding_base,acquisition,section_1_label_N,17.0,45.05752944946289,77.0,89.0
founding_base,acquisition,section_2_label_G,16.0,92.38053131103516,79.0,20.0
founding_base,acquisition,typology_9c_31.0,14.0,48.002838134765625,80.0,81.0
founding_base,acquisition,section_1_label_Q,13.0,47.39670944213867,81.5,84.0
founding_base,acquisition,section_2_label_I,13.0,104.66029357910156,81.5,14.0
founding_base,acquisition,section_1_label_F,12.0,132.45396423339844,83.0,9.0
founding_base,acquisition,section_3_label_I,11.0,38.31595993041992,85.0,95.0
founding_base,acquisition,section_3_label_Q,11.0,72.84980010986328,85.0,36.0
founding_base,acquisition,section_3_label_B,11.0,104.662841796875,85.0,13.0
founding_base,acquisition,section_1_label_H,10.0,72.59150695800781,87.0,37.0
founding_base,acquisition,section_1_label_O,9.0,42.32707214355469,88.5,93.0
founding_base,acquisition,section_2_label_R,9.0,47.56810760498047,88.5,83.0
founding_base,acquisition,section_1_label_C,8.0,88.49607849121094,90.5,23.0
founding_base,acquisition,section_2_label_C,8.0,174.9672088623047,90.5,7.0
founding_base,acquisition,section_2_label_H,7.0,26.652759552001953,92.5,101.0
founding_base,acquisition,section_1_label_P,7.0,31.646623611450195,92.5,97.0
founding_base,acquisition,section_3_label_C,6.0,18.921857833862305,95.5,103.0
founding_base,acquisition,section_3_label_P,6.0,193.4673309326172,95.5,5.0
founding_base,acquisition,section_3_label_O,6.0,45.615421295166016,95.5,88.0
founding_base,acquisition,section_3_label_H,6.0,99.31189727783203,95.5,16.0
founding_base,acquisition,urban_rural_3.0,5.0,70.98102569580078,98.5,41.0
founding_base,acquisition,typology_9c_23.0,5.0,15.741216659545898,98.5,107.0
founding_base,acquisition,section_2_label_Q,4.0,67.480224609375,100.5,45.0
founding_base,acquisition,n_dissolved_firms,4.0,16.457408905029297,100.5,105.0
founding_base,acquisition,section_3_label_R,3.0,7.463254451751709,104.5,109.0
founding_base,acquisition,section_1_label_R,3.0,17.420045852661133,104.5,104.0
founding_base,acquisition,section_3_label_E,3.0,16.394472122192383,104.5,106.0
founding_base,acquisition,section_3_label_D,3.0,65.8682632446289,104.5,46.0
founding_base,acquisition,section_2_label_P,3.0,28.09874725341797,104.5,100.0
founding_base,acquisition,section_1_label_E,3.0,61.929325103759766,104.5,57.0
founding_base,acquisition,founding_legal_form_10,2.0,105.3473892211914,108.0,11.0
founding_base,acquisition,section_3_label_S,1.0,11.756704330444336,109.0,108.0
founding_base,acquisition,section_1_label_B,0.0,0.0,119.5,119.5
founding_base,acquisition,bps_male_name,0.0,0.0,119.5,119.5
founding_base,acquisition,founding_legal_form_5,0.0,0.0,119.5,119.5
founding_base,acquisition,founding_legal_form_6,0.0,0.0,119.5,119.5
founding_base,acquisition,founding_legal_form_8,0.0,0.0,119.5,119.5
founding_base,acquisition,founding_legal_form_13,0.0,0.0,119.5,119.5
founding_base,acquisition,founding_legal_form_15,0.0,0.0,119.5,119.5
founding_base,acquisition,founding_legal_form_16,0.0,0.0,119.5,119.5
founding_base,acquisition,founding_legal_form_17,0.0,0.0,119.5,119.5
founding_base,acquisition,typology_9c_33.0,0.0,0.0,119.5,119.5
founding_base,acquisition,section_1_label_D,0.0,0.0,119.5,119.5
founding_base,acquisition,section_1_label_S,0.0,0.0,119.5,119.5
founding_base,acquisition,section_1_label_T,0.0,0.0,119.5,119.5
founding_base,acquisition,section_1_label_U,0.0,0.0,119.5,119.5
founding_base,acquisition,section_2_label_B,0.0,0.0,119.5,119.5
founding_base,acquisition,section_2_label_D,0.0,0.0,119.5,119.5
founding_base,acquisition,section_2_label_E,0.0,0.0,119.5,119.5
founding_base,acquisition,section_2_label_O,0.0,0.0,119.5,119.5
founding_base,acquisition,section_2_label_S,0.0,0.0,119.5,119.5
founding_base,acquisition,bps_female_name,0.0,0.0,119.5,119.5
