model,target,feature,weight,gain,weight_rank,gain_rank
founding_base,inno_subsidy,prediction_2_score,2143.0,30.538066864013672,1.0,77.0
founding_base,inno_subsidy,days_of_prior_observations,2021.0,31.41908073425293,2.0,71.0
founding_base,inno_subsidy,prediction_1_score,1971.0,58.615257263183594,3.0,31.0
founding_base,inno_subsidy,firm_name_length,1866.0,37.18843078613281,4.0,57.0
founding_base,inno_subsidy,prediction_3_score,1842.0,30.397743225097656,5.0,79.0
founding_base,inno_subsidy,bps_mean_word_length,1786.0,26.982454299926758,6.0,89.0
founding_base,inno_subsidy,n_firms_within_10km,1624.0,26.057401657104492,7.0,90.0
founding_base,inno_subsidy,latitude,1608.0,30.529356002807617,8.0,78.0
founding_base,inno_subsidy,n_firms_within_2.5km,1559.0,34.197364807128906,9.0,64.0
founding_base,inno_subsidy,longitude,1515.0,32.933109283447266,10.0,68.0
founding_base,inno_subsidy,bps_length,1491.0,28.911476135253906,11.0,84.0
founding_base,inno_subsidy,n_firms_within_1km,1391.0,31.1132755279541,12.0,73.0
founding_base,inno_subsidy,bps_lix,1327.0,28.34107208251953,13.0,86.0
founding_base,inno_subsidy,population,1316.0,36.79836654663086,14.0,59.0
founding_base,inno_subsidy,bps_freq_ratio_norm,1300.0,30.802936553955078,15.0,75.0
founding_base,inno_subsidy,bps_min_word_freq_norm,1185.0,30.722890853881836,16.0,76.0
founding_base,inno_subsidy,founding_bfs_code,927.0,31.0683536529541,17.0,74.0
founding_base,inno_subsidy,n_firms_within_10m,812.0,36.580596923828125,18.0,60.0
founding_base,inno_subsidy,n_founders,681.0,87.06587982177734,19.0,16.0
founding_base,inno_subsidy,pct_founders_same_residence,623.0,30.15180206298828,20.0,82.0
founding_base,inno_subsidy,district_id,598.0,30.228992462158203,21.5,81.0
founding_base,inno_subsidy,capital_chf,598.0,101.2974853515625,21.5,13.0
founding_base,inno_subsidy,group_3_label,559.0,61.85456848144531,23.0,27.0
founding_base,inno_subsidy,class_2_label,557.0,46.50983810424805,24.0,41.0
founding_base,inno_subsidy,group_1_label,556.0,76.02616882324219,25.0,20.0
founding_base,inno_subsidy,division_3_label,550.0,69.6999282836914,26.0,24.0
founding_base,inno_subsidy,pct_female_founders,538.0,56.732566833496094,27.0,35.0
founding_base,inno_subsidy,division_2_label,534.0,82.78572845458984,28.0,18.0
founding_base,inno_subsidy,division_1_label,510.0,91.0919189453125,29.0,14.0
founding_base,inno_subsidy,typology_25c,507.0,31.81566619873047,30.0,70.0
founding_base,inno_subsidy,group_2_label,499.0,62.95698165893555,31.0,26.0
founding_base,inno_subsidy,class_3_label,496.0,46.00202941894531,32.0,42.0
founding_base,inno_subsidy,class_1_label,425.0,79.1069564819336,33.0,19.0
founding_base,inno_subsidy,pct_foreign_founders,416.0,23.700090408325195,34.0,96.0
founding_base,inno_subsidy,bps_max_word_freq_norm,410.0,28.96807289123535,35.0,83.0
founding_base,inno_subsidy,n_existing_firms,391.0,33.17796325683594,36.0,67.0
founding_base,inno_subsidy,pct_founders_with_prior_founding,372.0,25.50969696044922,37.0,92.0
founding_base,inno_subsidy,n_distinct_nationalities,274.0,28.498380661010742,38.0,85.0
founding_base,inno_subsidy,pct_dr_titles,226.0,25.184539794921875,39.0,93.0
founding_base,inno_subsidy,n_inscribed_firms,207.0,58.42081069946289,40.0,32.0
founding_base,inno_subsidy,firm_name_founder_match,159.0,256.9270935058594,41.0,7.0
founding_base,inno_subsidy,firm_name_swiss_ref,137.0,43.405235290527344,42.0,46.0
founding_base,inno_subsidy,bps_geographic_term,120.0,42.16795349121094,43.0,48.0
founding_base,inno_subsidy,founding_legal_form_4,118.0,59.146846771240234,44.0,30.0
founding_base,inno_subsidy,section_3_label_M,110.0,313.1536560058594,45.0,5.0
founding_base,inno_subsidy,typology_9c_13.0,100.0,25.131183624267578,46.0,94.0
founding_base,inno_subsidy,typology_9c_12.0,98.0,32.654720306396484,47.0,69.0
founding_base,inno_subsidy,founding_legal_form_3,97.0,60.364479064941406,48.0,29.0
founding_base,inno_subsidy,section_2_label_J,96.0,337.1286315917969,49.0,3.0
founding_base,inno_subsidy,section_1_label_J,93.0,385.150634765625,50.0,2.0
