model,target,feature,weight,gain,weight_rank,gain_rank
founding_base,inv_exit,days_of_prior_observations,240.0,122.38455963134766,1.0,16.0
founding_base,inv_exit,latitude,129.0,73.37168884277344,2.0,58.0
founding_base,inv_exit,capital_chf,103.0,121.60921478271484,3.0,17.0
founding_base,inv_exit,prediction_1_score,101.0,83.41926574707031,4.0,48.0
founding_base,inv_exit,pct_foreign_founders,98.0,528.121826171875,5.5,1.0
founding_base,inv_exit,prediction_3_score,98.0,74.96780395507812,5.5,56.0
founding_base,inv_exit,longitude,95.0,77.88138580322266,7.0,54.0
founding_base,inv_exit,founding_legal_form_4,86.0,164.87844848632812,8.0,8.0
founding_base,inv_exit,population,84.0,87.98697662353516,9.5,41.0
founding_base,inv_exit,bps_length,84.0,71.92656707763672,9.5,62.0
founding_base,inv_exit,n_firms_within_10m,76.0,121.36434936523438,11.5,18.0
founding_base,inv_exit,firm_name_founder_match,76.0,350.4571228027344,11.5,2.0
founding_base,inv_exit,n_firms_within_10km,75.0,93.23441314697266,13.0,34.0
founding_base,inv_exit,prediction_2_score,74.0,68.2405014038086,14.0,71.0
founding_base,inv_exit,bps_lix,69.0,62.654659271240234,15.0,79.0
founding_base,inv_exit,firm_name_length,68.0,68.60591125488281,16.0,70.0
founding_base,inv_exit,n_firms_within_1km,63.0,100.24678802490234,17.0,27.0
founding_base,inv_exit,bps_freq_ratio_norm,60.0,66.41431427001953,18.0,74.0
founding_base,inv_exit,typology_25c,59.0,99.37500762939453,19.0,29.0
founding_base,inv_exit,pct_founders_same_residence,58.0,103.06112670898438,20.0,24.0
founding_base,inv_exit,founding_bfs_code,57.0,67.89309692382812,21.5,72.0
founding_base,inv_exit,bps_mean_word_length,57.0,79.1695785522461,21.5,53.0
founding_base,inv_exit,group_3_label,49.0,180.0229949951172,23.0,5.0
founding_base,inv_exit,group_1_label,45.0,175.20184326171875,24.0,6.0
founding_base,inv_exit,n_firms_within_2.5km,44.0,81.36997985839844,25.5,50.0
founding_base,inv_exit,section_2_label_F,44.0,122.67681121826172,25.5,15.0
founding_base,inv_exit,n_founders,43.0,86.97509765625,27.0,44.0
founding_base,inv_exit,pct_female_founders,41.0,87.56468200683594,28.0,43.0
founding_base,inv_exit,bps_min_word_freq_norm,40.0,72.05119323730469,29.0,61.0
founding_base,inv_exit,division_2_label,39.0,99.82780456542969,30.0,28.0
founding_base,inv_exit,class_1_label,34.0,86.24726104736328,31.0,45.0
founding_base,inv_exit,division_3_label,33.0,126.0057144165039,32.5,13.0
founding_base,inv_exit,division_1_label,33.0,127.88162994384766,32.5,12.0
founding_base,inv_exit,group_2_label,31.0,81.366943359375,34.0,51.0
founding_base,inv_exit,class_3_label,30.0,141.46978759765625,35.0,9.0
founding_base,inv_exit,n_distinct_nationalities,27.0,135.50216674804688,36.5,10.0
founding_base,inv_exit,section_2_label_L,27.0,167.74765014648438,36.5,7.0
founding_base,inv_exit,class_2_label,26.0,94.33382415771484,39.0,33.0
founding_base,inv_exit,firm_name_swiss_ref,26.0,101.43844604492188,39.0,25.0
founding_base,inv_exit,section_3_label_Q,26.0,93.11604309082031,39.0,36.0
founding_base,inv_exit,bps_max_word_freq_norm,25.0,55.825496673583984,41.5,88.0
founding_base,inv_exit,n_existing_firms,25.0,88.76610565185547,41.5,40.0
founding_base,inv_exit,founding_legal_form_3,22.0,134.9695281982422,43.0,11.0
founding_base,inv_exit,section_1_label_I,20.0,114.7890625,44.5,20.0
founding_base,inv_exit,section_1_label_Q,20.0,87.8753890991211,44.5,42.0
founding_base,inv_exit,district_id,18.0,65.99028778076172,46.0,75.0
founding_base,inv_exit,section_3_label_L,17.0,119.25110626220703,47.0,19.0
founding_base,inv_exit,section_3_label_F,15.0,123.53665924072266,48.0,14.0
founding_base,inv_exit,typology_9c_13.0,12.0,62.00929260253906,49.0,80.0
founding_base,inv_exit,section_2_label_N,11.0,89.21749877929688,50.0,38.0
founding_base,inv_exit,section_1_label_N,10.0,79.85588073730469,51.5,52.0
founding_base,inv_exit,section_2_label_M,10.0,88.93389892578125,51.5,39.0
founding_base,inv_exit,n_dissolved_firms,9.0,93.16083526611328,54.0,35.0
founding_base,inv_exit,typology_9c_23.0,9.0,68.81883239746094,54.0,68.0
founding_base,inv_exit,pct_founders_with_prior_founding,9.0,66.56391906738281,54.0,73.0
founding_base,inv_exit,section_3_label_I,8.0,99.35836791992188,56.5,30.0
founding_base,inv_exit,pct_dr_titles,8.0,72.47268676757812,56.5,59.0
founding_base,inv_exit,section_2_label_Q,7.0,100.61915588378906,59.0,26.0
founding_base,inv_exit,section_1_label_K,7.0,69.85340118408203,59.0,65.0
founding_base,inv_exit,section_1_label_F,7.0,83.31502532958984,59.0,49.0
founding_base,inv_exit,firm_name_male_match,6.0,60.19572067260742,61.0,82.0
founding_base,inv_exit,typology_9c_11.0,5.0,64.89961242675781,63.0,77.0
founding_base,inv_exit,typology_9c_22.0,5.0,49.155025482177734,63.0,91.0
founding_base,inv_exit,urban_rural_2.0,5.0,89.43846130371094,63.0,37.0
founding_base,inv_exit,section_1_label_G,4.0,65.56108093261719,67.5,76.0
founding_base,inv_exit,canton_id,4.0,64.36566925048828,67.5,78.0
founding_base,inv_exit,section_2_label_C,4.0,103.15397644042969,67.5,23.0
founding_base,inv_exit,section_2_label_P,4.0,69.12173461914062,67.5,67.0
founding_base,inv_exit,typology_9c_33.0,4.0,69.94012451171875,67.5,64.0
founding_base,inv_exit,firm_name_geog_ref,4.0,105.5400390625,67.5,22.0
founding_base,inv_exit,section_3_label_J,3.0,37.59351348876953,72.5,98.0
founding_base,inv_exit,section_3_label_K,3.0,48.4116096496582,72.5,92.0
founding_base,inv_exit,bps_geographic_term,3.0,62.00545120239258,72.5,81.0
founding_base,inv_exit,firm_name_female_match,3.0,53.43545913696289,72.5,89.0
founding_base,inv_exit,typology_9c_12.0,2.0,74.69525146484375,80.5,57.0
founding_base,inv_exit,founding_legal_form_10,2.0,32.44709014892578,80.5,100.0
founding_base,inv_exit,section_3_label_H,2.0,59.71430206298828,80.5,84.0
founding_base,inv_exit,section_3_label_M,2.0,110.69868469238281,80.5,21.0
