model,target,feature,weight,gain,weight_rank,gain_rank
founding_dim300_w,inno_subsidy,founding_mean_text_len,965.0,33.324546813964844,1.0,96.0
founding_dim300_w,inno_subsidy,founding_pr_w_red_sdg_similarity,893.0,44.70642852783203,2.0,56.0
founding_dim300_w,inno_subsidy,prediction_3_score,871.0,33.63298416137695,3.0,93.0
founding_dim300_w,inno_subsidy,prediction_2_score,833.0,30.303951263427734,4.0,109.0
founding_dim300_w,inno_subsidy,founding_vp_w_red,821.0,38.87273025512695,5.0,63.0
founding_dim300_w,inno_subsidy,days_of_prior_observations,819.0,30.22551155090332,6.0,110.0
founding_dim300_w,inno_subsidy,prediction_1_score,800.0,52.685245513916016,7.0,47.0
founding_dim300_w,inno_subsidy,n_firms_within_2.5km,746.0,31.574100494384766,8.0,104.0
founding_dim300_w,inno_subsidy,founding_lp_w_red,743.0,33.126800537109375,9.0,97.0
founding_dim300_w,inno_subsidy,bps_length,713.0,27.133913040161133,10.0,116.0
founding_dim300_w,inno_subsidy,n_firms_within_10km,703.0,30.50057601928711,11.0,108.0
founding_dim300_w,inno_subsidy,firm_name_length,682.0,34.06605529785156,12.0,92.0
founding_dim300_w,inno_subsidy,longitude,681.0,34.7605094909668,13.0,86.0
founding_dim300_w,inno_subsidy,n_firms_within_1km,676.0,34.878814697265625,14.0,83.0
founding_dim300_w,inno_subsidy,bps_mean_word_length,675.0,28.57901382446289,15.0,113.0
founding_dim300_w,inno_subsidy,founding_n_internal_links_mean,669.0,35.928436279296875,16.0,77.0
founding_dim300_w,inno_subsidy,latitude,650.0,34.1413688659668,17.0,91.0
founding_dim300_w,inno_subsidy,bps_freq_ratio_norm,593.0,33.403465270996094,18.0,95.0
founding_dim300_w,inno_subsidy,bps_lix,560.0,34.573604583740234,19.0,89.0
founding_dim300_w,inno_subsidy,bps_min_word_freq_norm,528.0,36.97903823852539,20.0,69.0
founding_dim300_w,inno_subsidy,founding_n_external_links_mean,513.0,40.49595642089844,21.0,61.0
founding_dim300_w,inno_subsidy,population,507.0,35.98610305786133,22.0,74.0
founding_dim300_w,inno_subsidy,founding_bfs_code,480.0,35.001060485839844,23.0,82.0
founding_dim300_w,inno_subsidy,group_3_label,337.0,57.41838073730469,24.0,42.0
founding_dim300_w,inno_subsidy,group_1_label,312.0,56.92842483520508,25.5,44.0
founding_dim300_w,inno_subsidy,district_id,312.0,30.947837829589844,25.5,107.0
founding_dim300_w,inno_subsidy,class_3_label,290.0,77.83323669433594,27.0,28.0
founding_dim300_w,inno_subsidy,n_firms_within_10m,286.0,37.45486068725586,28.0,67.0
founding_dim300_w,inno_subsidy,group_2_label,281.0,71.48619079589844,29.0,31.0
founding_dim300_w,inno_subsidy,pct_founders_same_residence,272.0,32.52719497680664,30.0,98.0
founding_dim300_w,inno_subsidy,n_founders,268.0,93.90409088134766,31.0,19.0
founding_dim300_w,inno_subsidy,division_1_label,265.0,66.29340362548828,32.0,35.0
founding_dim300_w,inno_subsidy,class_2_label,264.0,54.269676208496094,33.0,46.0
founding_dim300_w,inno_subsidy,division_2_label,252.0,36.47527313232422,34.0,71.0
