model,target,feature,weight,gain,weight_rank,gain_rank
founding_dim300_w,non_gov_investment,founding_mean_text_len,710.0,44.74711608886719,1.0,76.0
founding_dim300_w,non_gov_investment,founding_vp_w_red,671.0,48.048614501953125,2.0,70.0
founding_dim300_w,non_gov_investment,founding_pr_w_red_sdg_similarity,638.0,38.8272590637207,3.0,91.0
founding_dim300_w,non_gov_investment,firm_name_length,633.0,49.51249313354492,4.0,67.0
founding_dim300_w,non_gov_investment,days_of_prior_observations,625.0,33.06119155883789,5.0,99.0
founding_dim300_w,non_gov_investment,bps_mean_word_length,605.0,39.392086029052734,6.0,89.0
founding_dim300_w,non_gov_investment,prediction_3_score,601.0,43.714332580566406,7.0,79.0
founding_dim300_w,non_gov_investment,n_firms_within_10km,599.0,59.36468505859375,8.0,47.0
founding_dim300_w,non_gov_investment,founding_n_internal_links_mean,588.0,48.324161529541016,9.0,68.0
founding_dim300_w,non_gov_investment,prediction_2_score,566.0,37.20415496826172,10.0,95.0
founding_dim300_w,non_gov_investment,prediction_1_score,559.0,75.90510559082031,11.0,34.0
founding_dim300_w,non_gov_investment,founding_lp_w_red,547.0,42.806575775146484,12.0,81.0
founding_dim300_w,non_gov_investment,bps_freq_ratio_norm,530.0,39.25186538696289,13.0,90.0
founding_dim300_w,non_gov_investment,latitude,526.0,50.37257385253906,14.0,63.0
founding_dim300_w,non_gov_investment,bps_lix,515.0,44.668212890625,15.0,78.0
founding_dim300_w,non_gov_investment,n_firms_within_2.5km,488.0,61.865455627441406,16.0,44.0
founding_dim300_w,non_gov_investment,bps_length,458.0,41.28277587890625,17.0,85.0
founding_dim300_w,non_gov_investment,longitude,450.0,47.16783142089844,18.0,71.0
founding_dim300_w,non_gov_investment,n_firms_within_1km,446.0,51.654109954833984,19.0,59.0
founding_dim300_w,non_gov_investment,founding_n_external_links_mean,397.0,50.79050064086914,20.0,61.0
founding_dim300_w,non_gov_investment,bps_min_word_freq_norm,396.0,42.41713333129883,21.0,83.0
founding_dim300_w,non_gov_investment,population,347.0,58.84648132324219,22.0,48.0
founding_dim300_w,non_gov_investment,founding_bfs_code,314.0,45.542877197265625,23.0,74.0
founding_dim300_w,non_gov_investment,n_founders,259.0,121.77010345458984,24.0,15.0
founding_dim300_w,non_gov_investment,class_3_label,241.0,81.7761001586914,25.0,30.0
founding_dim300_w,non_gov_investment,capital_chf,230.0,117.57096099853516,26.0,16.0
founding_dim300_w,non_gov_investment,group_2_label,228.0,90.87992858886719,27.0,24.0
founding_dim300_w,non_gov_investment,pct_founders_same_residence,221.0,32.65535354614258,28.0,100.0
founding_dim300_w,non_gov_investment,class_2_label,218.0,58.61726760864258,29.0,50.0
founding_dim300_w,non_gov_investment,n_firms_within_10m,203.0,27.97273063659668,30.0,106.0
founding_dim300_w,non_gov_investment,group_3_label,202.0,40.06650924682617,31.0,87.0
founding_dim300_w,non_gov_investment,group_1_label,199.0,46.363746643066406,32.0,72.0
founding_dim300_w,non_gov_investment,division_2_label,198.0,91.15694427490234,33.0,23.0
founding_dim300_w,non_gov_investment,district_id,192.0,29.247671127319336,34.0,103.0
founding_dim300_w,non_gov_investment,division_1_label,179.0,67.02066802978516,35.0,40.0
founding_dim300_w,non_gov_investment,class_1_label,177.0,56.17318344116211,36.0,52.0
founding_dim300_w,non_gov_investment,pct_foreign_founders,171.0,31.890073776245117,37.5,101.0
founding_dim300_w,non_gov_investment,typology_25c,171.0,58.725929260253906,37.5,49.0
founding_dim300_w,non_gov_investment,pct_female_founders,167.0,82.89043426513672,39.0,29.0
founding_dim300_w,non_gov_investment,division_3_label,158.0,50.25443649291992,40.0,64.0
founding_dim300_w,non_gov_investment,pct_founders_with_prior_founding,128.0,42.58494186401367,41.0,82.0
founding_dim300_w,non_gov_investment,n_existing_firms,117.0,54.62207794189453,42.0,54.0
founding_dim300_w,non_gov_investment,bps_max_word_freq_norm,106.0,38.198909759521484,43.0,93.0
founding_dim300_w,non_gov_investment,n_distinct_nationalities,88.0,61.475704193115234,44.0,45.0
founding_dim300_w,non_gov_investment,firm_name_founder_match,78.0,257.06634521484375,45.0,9.0
founding_dim300_w,non_gov_investment,founding_dominant_language_en,76.0,2420.619384765625,46.0,1.0
founding_dim300_w,non_gov_investment,n_inscribed_firms,72.0,44.72792053222656,47.0,77.0
founding_dim300_w,non_gov_investment,founding_legal_form_3,69.0,153.57496643066406,48.0,10.0
founding_dim300_w,non_gov_investment,founding_dominant_language_de,66.0,651.4391479492188,49.0,2.0
founding_dim300_w,non_gov_investment,section_2_label_J,64.0,617.203857421875,50.0,3.0
founding_dim300_w,non_gov_investment,firm_name_swiss_ref,60.0,86.75858306884766,51.0,27.0
founding_dim300_w,non_gov_investment,founding_legal_form_4,55.0,99.88199615478516,52.0,20.0
founding_dim300_w,non_gov_investment,section_3_label_J,52.0,369.9322814941406,53.0,6.0
founding_dim300_w,non_gov_investment,section_1_label_J,50.0,502.7985534667969,54.0,4.0
founding_dim300_w,non_gov_investment,canton_id,44.0,42.971614837646484,55.0,80.0
founding_dim300_w,non_gov_investment,section_3_label_M,42.0,332.70172119140625,56.0,8.0
founding_dim300_w,non_gov_investment,founding_dominant_language_fr,38.0,450.3743896484375,57.0,5.0
founding_dim300_w,non_gov_investment,section_2_label_M,37.0,129.85064697265625,58.0,13.0
founding_dim300_w,non_gov_investment,section_1_label_M,36.0,54.25865173339844,59.0,56.0
founding_dim300_w,non_gov_investment,firm_name_holding_ref,35.0,67.073974609375,60.0,39.0
founding_dim300_w,non_gov_investment,bps_geographic_term,32.0,36.37382507324219,61.0,96.0
founding_dim300_w,non_gov_investment,pct_dr_titles,29.0,33.95024871826172,62.0,97.0
founding_dim300_w,non_gov_investment,section_2_label_L,25.0,80.69385528564453,63.5,32.0
founding_dim300_w,non_gov_investment,typology_9c_13.0,25.0,33.10425567626953,63.5,98.0
founding_dim300_w,non_gov_investment,section_3_label_K,21.0,49.90771484375,65.0,66.0
founding_dim300_w,non_gov_investment,typology_9c_12.0,20.0,39.52647018432617,66.0,88.0
founding_dim300_w,non_gov_investment,typology_9c_21.0,19.0,70.14839172363281,67.0,37.0
founding_dim300_w,non_gov_investment,section_1_label_C,18.0,102.763671875,68.5,19.0
founding_dim300_w,non_gov_investment,typology_9c_11.0,18.0,40.86955261230469,68.5,86.0
founding_dim300_w,non_gov_investment,section_1_label_L,17.0,103.53529357910156,70.0,18.0
founding_dim300_w,non_gov_investment,section_1_label_G,16.0,62.65296173095703,71.0,43.0
founding_dim300_w,non_gov_investment,section_2_label_G,15.0,117.05268859863281,72.0,17.0
founding_dim300_w,non_gov_investment,section_3_label_N,14.0,78.5251235961914,74.5,33.0
founding_dim300_w,non_gov_investment,section_2_label_K,14.0,50.04716873168945,74.5,65.0
