model,target,feature,weight,gain,weight_rank,gain_rank
founding_dim768,acquisition,days_of_prior_observations,567.0,64.36817169189453,1.0,75.0
founding_dim768,acquisition,founding_mean_text_len,549.0,68.30754089355469,2.0,69.0
founding_dim768,acquisition,bps_mean_word_length,540.0,112.88944244384766,3.0,26.0
founding_dim768,acquisition,founding_pr_sdg_similarity,525.0,53.60760498046875,4.0,88.0
founding_dim768,acquisition,founding_n_internal_links_mean,516.0,108.42106628417969,5.0,27.0
founding_dim768,acquisition,prediction_1_score,506.0,66.19631958007812,6.0,74.0
founding_dim768,acquisition,founding_vp,504.0,73.9203109741211,7.0,59.0
founding_dim768,acquisition,latitude,503.0,68.7359848022461,8.0,68.0
founding_dim768,acquisition,prediction_3_score,492.0,84.71681213378906,9.0,42.0
founding_dim768,acquisition,firm_name_length,489.0,68.22331237792969,10.0,70.0
founding_dim768,acquisition,prediction_2_score,481.0,81.0565414428711,11.0,48.0
founding_dim768,acquisition,founding_lp,468.0,52.964054107666016,12.0,90.0
founding_dim768,acquisition,n_firms_within_10km,435.0,59.88707733154297,13.0,81.0
founding_dim768,acquisition,longitude,426.0,78.7431869506836,14.0,50.0
founding_dim768,acquisition,bps_lix,413.0,61.86614227294922,15.0,80.0
founding_dim768,acquisition,bps_length,397.0,52.996158599853516,16.0,89.0
founding_dim768,acquisition,population,393.0,85.70368957519531,17.0,40.0
founding_dim768,acquisition,founding_n_external_links_mean,371.0,63.44941329956055,18.0,77.0
founding_dim768,acquisition,founding_bfs_code,317.0,73.81485748291016,19.0,60.0
founding_dim768,acquisition,bps_freq_ratio_norm,303.0,59.490570068359375,20.0,82.0
founding_dim768,acquisition,n_firms_within_2.5km,299.0,67.26069641113281,21.0,72.0
founding_dim768,acquisition,n_firms_within_1km,298.0,75.57312774658203,22.0,55.0
founding_dim768,acquisition,bps_min_word_freq_norm,288.0,63.81343078613281,23.0,76.0
founding_dim768,acquisition,capital_chf,260.0,484.75128173828125,24.0,2.0
founding_dim768,acquisition,class_2_label,183.0,106.80361938476562,25.0,28.0
founding_dim768,acquisition,n_inscribed_firms,170.0,406.32025146484375,26.0,4.0
founding_dim768,acquisition,n_founders,165.0,69.07563781738281,27.0,67.0
founding_dim768,acquisition,class_3_label,157.0,75.97654724121094,28.0,54.0
founding_dim768,acquisition,pct_foreign_founders,155.0,148.66819763183594,29.0,13.0
founding_dim768,acquisition,group_1_label,152.0,72.01411437988281,30.0,64.0
founding_dim768,acquisition,pct_founders_with_prior_founding,151.0,62.086143493652344,31.0,79.0
founding_dim768,acquisition,district_id,149.0,88.67878723144531,32.5,36.0
founding_dim768,acquisition,pct_founders_same_residence,149.0,87.00582885742188,32.5,38.0
founding_dim768,acquisition,typology_25c,144.0,59.34059143066406,34.0,83.0
founding_dim768,acquisition,n_firms_within_10m,141.0,79.40055084228516,35.5,49.0
founding_dim768,acquisition,bps_max_word_freq_norm,141.0,66.72669982910156,35.5,73.0
founding_dim768,acquisition,group_3_label,138.0,83.2063217163086,37.0,44.0
founding_dim768,acquisition,pct_female_founders,131.0,89.72184753417969,38.0,35.0
founding_dim768,acquisition,class_1_label,114.0,77.37808227539062,39.0,52.0
founding_dim768,acquisition,division_1_label,109.0,67.31834411621094,40.0,71.0
founding_dim768,acquisition,group_2_label,97.0,72.80078125,41.0,62.0
founding_dim768,acquisition,division_2_label,95.0,41.448333740234375,42.0,98.0
founding_dim768,acquisition,division_3_label,92.0,99.97058868408203,43.0,30.0
founding_dim768,acquisition,n_existing_firms,90.0,97.8955307006836,44.0,32.0
founding_dim768,acquisition,founding_legal_form_3,57.0,818.0550537109375,45.0,1.0
founding_dim768,acquisition,firm_name_founder_match,49.0,221.72511291503906,46.0,6.0
founding_dim768,acquisition,typology_9c_13.0,40.0,73.1598892211914,47.0,61.0
founding_dim768,acquisition,section_2_label_M,33.0,83.0990219116211,49.0,45.0
founding_dim768,acquisition,founding_dominant_language_de,33.0,120.61004638671875,49.0,22.0
founding_dim768,acquisition,bps_geographic_term,33.0,191.15283203125,49.0,8.0
founding_dim768,acquisition,pct_dr_titles,32.0,72.11943817138672,51.0,63.0
founding_dim768,acquisition,n_distinct_nationalities,31.0,49.837894439697266,52.0,93.0
founding_dim768,acquisition,typology_9c_12.0,28.0,41.3057861328125,53.5,99.0
founding_dim768,acquisition,section_1_label_M,28.0,90.66920471191406,53.5,34.0
founding_dim768,acquisition,section_1_label_K,27.0,91.01102447509766,55.0,33.0
founding_dim768,acquisition,firm_name_male_match,26.0,99.56891632080078,56.0,31.0
founding_dim768,acquisition,founding_legal_form_4,25.0,74.79188537597656,57.5,58.0
founding_dim768,acquisition,section_3_label_M,25.0,129.3180694580078,57.5,17.0
founding_dim768,acquisition,firm_name_swiss_ref,24.0,49.16701126098633,59.0,94.0
founding_dim768,acquisition,section_3_label_F,22.0,102.90697479248047,61.0,29.0
founding_dim768,acquisition,typology_9c_21.0,22.0,172.49757385253906,61.0,9.0
founding_dim768,acquisition,typology_9c_32.0,22.0,130.70770263671875,61.0,16.0
founding_dim768,acquisition,section_3_label_J,20.0,38.3491096496582,63.5,101.0
founding_dim768,acquisition,section_1_label_G,20.0,36.692848205566406,63.5,103.0
founding_dim768,acquisition,section_2_label_F,19.0,76.2701644897461,66.5,53.0
founding_dim768,acquisition,founding_dominant_language_en,19.0,26.3011417388916,66.5,110.0
founding_dim768,acquisition,firm_name_holding_ref,19.0,167.48345947265625,66.5,10.0
founding_dim768,acquisition,section_3_label_K,19.0,86.69573974609375,66.5,39.0
founding_dim768,acquisition,section_1_label_F,18.0,151.69515991210938,69.0,12.0
founding_dim768,acquisition,section_2_label_K,16.0,75.5098648071289,71.5,56.0
founding_dim768,acquisition,firm_name_geog_ref,16.0,115.01297760009766,71.5,24.0
founding_dim768,acquisition,section_1_label_N,16.0,27.72980499267578,71.5,108.0
founding_dim768,acquisition,section_3_label_L,16.0,37.47255325317383,71.5,102.0
founding_dim768,acquisition,founding_n_languages,15.0,123.78645324707031,75.0,21.0
founding_dim768,acquisition,typology_9c_31.0,15.0,81.51436614990234,75.0,47.0
founding_dim768,acquisition,section_2_label_N,15.0,54.69318389892578,75.0,87.0
founding_dim768,acquisition,section_1_label_I,14.0,113.3478775024414,78.0,25.0
founding_dim768,acquisition,section_1_label_J,14.0,74.87006378173828,78.0,57.0
founding_dim768,acquisition,section_3_label_N,14.0,84.19304656982422,78.0,43.0
founding_dim768,acquisition,typology_9c_22.0,13.0,57.9930419921875,81.5,84.0
founding_dim768,acquisition,section_2_label_L,13.0,55.55670166015625,81.5,86.0
founding_dim768,acquisition,section_2_label_G,13.0,70.81236267089844,81.5,65.0
founding_dim768,acquisition,section_3_label_G,13.0,50.4859619140625,81.5,92.0
founding_dim768,acquisition,typology_9c_11.0,12.0,155.65475463867188,84.5,11.0
founding_dim768,acquisition,section_2_label_J,12.0,57.5351448059082,84.5,85.0
founding_dim768,acquisition,canton_id,11.0,32.54444122314453,87.0,105.0
founding_dim768,acquisition,urban_rural_2.0,11.0,44.08623504638672,87.0,97.0
founding_dim768,acquisition,section_1_label_L,11.0,40.57163619995117,87.0,100.0
founding_dim768,acquisition,founding_dominant_language_fr,10.0,124.9920883178711,89.0,20.0
founding_dim768,acquisition,firm_name_female_match,8.0,87.06928253173828,90.0,37.0
founding_dim768,acquisition,section_1_label_Q,7.0,132.26641845703125,92.0,15.0
founding_dim768,acquisition,section_2_label_H,7.0,31.734752655029297,92.0,106.0
founding_dim768,acquisition,urban_rural_1.0,7.0,78.0030517578125,92.0,51.0
founding_dim768,acquisition,section_1_label_H,6.0,32.64125061035156,94.5,104.0
founding_dim768,acquisition,section_2_label_I,6.0,48.4764289855957,94.5,95.0
founding_dim768,acquisition,section_1_label_O,5.0,26.379135131835938,96.5,109.0
founding_dim768,acquisition,section_3_label_P,5.0,118.69730377197266,96.5,23.0
founding_dim768,acquisition,section_3_label_B,4.0,128.92210388183594,99.5,18.0
founding_dim768,acquisition,section_1_label_C,4.0,439.5504150390625,99.5,3.0
founding_dim768,acquisition,section_3_label_C,4.0,15.345380783081055,99.5,114.0
founding_dim768,acquisition,founding_legal_form_10,4.0,263.5632629394531,99.5,5.0
founding_dim768,acquisition,n_dissolved_firms,3.0,62.1103515625,103.0,78.0
founding_dim768,acquisition,section_1_label_P,3.0,45.86832809448242,103.0,96.0
founding_dim768,acquisition,section_2_label_C,3.0,200.6306610107422,103.0,7.0
founding_dim768,acquisition,section_1_label_E,2.0,85.14337158203125,108.0,41.0
founding_dim768,acquisition,founding_dominant_language_it,2.0,19.138364791870117,108.0,112.0
founding_dim768,acquisition,urban_rural_3.0,2.0,17.900741577148438,108.0,113.0
founding_dim768,acquisition,section_3_label_Q,2.0,24.33352279663086,108.0,111.0
founding_dim768,acquisition,section_3_label_O,2.0,29.802032470703125,108.0,107.0
founding_dim768,acquisition,section_3_label_E,2.0,50.94689178466797,108.0,91.0
founding_dim768,acquisition,section_2_label_Q,2.0,83.03375244140625,108.0,46.0
founding_dim768,acquisition,section_3_label_R,1.0,134.10400390625,113.0,14.0
founding_dim768,acquisition,section_3_label_I,1.0,70.74853515625,113.0,66.0
founding_dim768,acquisition,section_3_label_H,1.0,125.54747009277344,113.0,19.0
founding_dim768,acquisition,bps_male_name,0.0,0.0,142.5,142.5
founding_dim768,acquisition,founding_dominant_language_es,0.0,0.0,142.5,142.5
founding_dim768,acquisition,founding_dominant_language_zh,0.0,0.0,142.5,142.5
founding_dim768,acquisition,section_1_label_U,0.0,0.0,142.5,142.5
founding_dim768,acquisition,typology_9c_33.0,0.0,0.0,142.5,142.5
founding_dim768,acquisition,typology_9c_23.0,0.0,0.0,142.5,142.5
founding_dim768,acquisition,section_3_label_S,0.0,0.0,142.5,142.5
founding_dim768,acquisition,section_3_label_D,0.0,0.0,142.5,142.5
founding_dim768,acquisition,section_2_label_S,0.0,0.0,142.5,142.5
founding_dim768,acquisition,section_2_label_R,0.0,0.0,142.5,142.5
founding_dim768,acquisition,section_2_label_P,0.0,0.0,142.5,142.5
founding_dim768,acquisition,section_2_label_O,0.0,0.0,142.5,142.5
founding_dim768,acquisition,section_2_label_E,0.0,0.0,142.5,142.5
founding_dim768,acquisition,section_2_label_D,0.0,0.0,142.5,142.5
founding_dim768,acquisition,section_2_label_B,0.0,0.0,142.5,142.5
founding_dim768,acquisition,section_1_label_T,0.0,0.0,142.5,142.5
founding_dim768,acquisition,founding_dominant_language_tt,0.0,0.0,142.5,142.5
founding_dim768,acquisition,section_1_label_S,0.0,0.0,142.5,142.5
founding_dim768,acquisition,section_1_label_R,0.0,0.0,142.5,142.5
founding_dim768,acquisition,section_1_label_D,0.0,0.0,142.5,142.5
founding_dim768,acquisition,section_1_label_B,0.0,0.0,142.5,142.5
founding_dim768,acquisition,founding_legal_form_17,0.0,0.0,142.5,142.5
founding_dim768,acquisition,founding_legal_form_16,0.0,0.0,142.5,142.5
founding_dim768,acquisition,founding_legal_form_15,0.0,0.0,142.5,142.5
founding_dim768,acquisition,founding_legal_form_13,0.0,0.0,142.5,142.5
founding_dim768,acquisition,founding_legal_form_8,0.0,0.0,142.5,142.5
founding_dim768,acquisition,founding_legal_form_6,0.0,0.0,142.5,142.5
founding_dim768,acquisition,founding_legal_form_5,0.0,0.0,142.5,142.5
founding_dim768,acquisition,founding_dominant_language_ar,0.0,0.0,142.5,142.5
founding_dim768,acquisition,founding_dominant_language_ceb,0.0,0.0,142.5,142.5
founding_dim768,acquisition,founding_dominant_language_cs,0.0,0.0,142.5,142.5
founding_dim768,acquisition,founding_dominant_language_da,0.0,0.0,142.5,142.5
founding_dim768,acquisition,founding_dominant_language_tr,0.0,0.0,142.5,142.5
founding_dim768,acquisition,founding_dominant_language_th,0.0,0.0,142.5,142.5
founding_dim768,acquisition,founding_dominant_language_ta,0.0,0.0,142.5,142.5
founding_dim768,acquisition,founding_dominant_language_sv,0.0,0.0,142.5,142.5
founding_dim768,acquisition,founding_dominant_language_sq,0.0,0.0,142.5,142.5
founding_dim768,acquisition,founding_dominant_language_sl,0.0,0.0,142.5,142.5
founding_dim768,acquisition,founding_dominant_language_sk,0.0,0.0,142.5,142.5
founding_dim768,acquisition,founding_dominant_language_ru,0.0,0.0,142.5,142.5
founding_dim768,acquisition,founding_dominant_language_ro,0.0,0.0,142.5,142.5
founding_dim768,acquisition,founding_dominant_language_pt,0.0,0.0,142.5,142.5
founding_dim768,acquisition,founding_dominant_language_pl,0.0,0.0,142.5,142.5
founding_dim768,acquisition,founding_dominant_language_no,0.0,0.0,142.5,142.5
founding_dim768,acquisition,founding_dominant_language_nl,0.0,0.0,142.5,142.5
founding_dim768,acquisition,founding_dominant_language_la,0.0,0.0,142.5,142.5
founding_dim768,acquisition,founding_dominant_language_ko,0.0,0.0,142.5,142.5
founding_dim768,acquisition,founding_dominant_language_kn,0.0,0.0,142.5,142.5
founding_dim768,acquisition,founding_dominant_language_ja,0.0,0.0,142.5,142.5
founding_dim768,acquisition,founding_dominant_language_hu,0.0,0.0,142.5,142.5
founding_dim768,acquisition,founding_dominant_language_hr,0.0,0.0,142.5,142.5
founding_dim768,acquisition,founding_dominant_language_he,0.0,0.0,142.5,142.5
founding_dim768,acquisition,founding_dominant_language_fi,0.0,0.0,142.5,142.5
founding_dim768,acquisition,founding_dominant_language_fa,0.0,0.0,142.5,142.5
founding_dim768,acquisition,founding_dominant_language_el,0.0,0.0,142.5,142.5
founding_dim768,acquisition,bps_female_name,0.0,0.0,142.5,142.5
