model,target,feature,weight,gain,weight_rank,gain_rank
founding_dim768,inno_subsidy,founding_mean_text_len,860.0,50.039180755615234,1.0,74.0
founding_dim768,inno_subsidy,founding_pr_sdg_similarity,820.0,55.332679748535156,2.0,60.0
founding_dim768,inno_subsidy,founding_vp,788.0,49.936126708984375,3.0,76.0
founding_dim768,inno_subsidy,founding_lp,786.0,45.03704071044922,4.5,94.0
founding_dim768,inno_subsidy,prediction_1_score,786.0,69.29473114013672,4.5,45.0
founding_dim768,inno_subsidy,days_of_prior_observations,785.0,40.77186965942383,6.0,106.0
founding_dim768,inno_subsidy,prediction_3_score,758.0,48.25053024291992,7.0,81.0
founding_dim768,inno_subsidy,prediction_2_score,730.0,41.84661102294922,8.0,101.0
founding_dim768,inno_subsidy,n_firms_within_10km,721.0,37.98575973510742,9.0,112.0
founding_dim768,inno_subsidy,n_firms_within_2.5km,710.0,45.097816467285156,10.0,93.0
founding_dim768,inno_subsidy,bps_mean_word_length,706.0,38.79377746582031,11.0,110.0
founding_dim768,inno_subsidy,firm_name_length,684.0,48.52159118652344,12.0,78.0
founding_dim768,inno_subsidy,latitude,645.0,45.42094039916992,13.0,92.0
founding_dim768,inno_subsidy,founding_n_internal_links_mean,638.0,46.334983825683594,14.0,89.0
founding_dim768,inno_subsidy,bps_length,629.0,40.652366638183594,15.0,107.0
founding_dim768,inno_subsidy,n_firms_within_1km,618.0,48.35466003417969,16.0,79.0
founding_dim768,inno_subsidy,longitude,604.0,47.508853912353516,17.0,83.0
founding_dim768,inno_subsidy,bps_freq_ratio_norm,594.0,46.913360595703125,18.0,87.0
founding_dim768,inno_subsidy,population,581.0,49.962890625,19.0,75.0
founding_dim768,inno_subsidy,bps_lix,578.0,43.236328125,20.0,99.0
founding_dim768,inno_subsidy,founding_n_external_links_mean,530.0,50.65269088745117,21.0,71.0
founding_dim768,inno_subsidy,bps_min_word_freq_norm,467.0,46.62754821777344,22.0,88.0
founding_dim768,inno_subsidy,founding_bfs_code,449.0,47.4515380859375,23.0,84.0
founding_dim768,inno_subsidy,group_1_label,335.0,69.33788299560547,24.0,44.0
founding_dim768,inno_subsidy,group_3_label,319.0,87.22795104980469,25.0,24.0
founding_dim768,inno_subsidy,class_2_label,306.0,77.02542877197266,26.0,32.0
founding_dim768,inno_subsidy,division_2_label,303.0,61.55338668823242,27.0,53.0
founding_dim768,inno_subsidy,class_3_label,291.0,75.36479949951172,28.0,36.0
founding_dim768,inno_subsidy,group_2_label,284.0,78.28325653076172,29.0,30.0
founding_dim768,inno_subsidy,district_id,280.0,39.42800521850586,30.0,108.0
founding_dim768,inno_subsidy,division_1_label,276.0,100.87444305419922,31.0,22.0
founding_dim768,inno_subsidy,division_3_label,271.0,72.04917907714844,32.0,42.0
founding_dim768,inno_subsidy,n_founders,266.0,122.06871795654297,33.0,13.0
founding_dim768,inno_subsidy,n_firms_within_10m,260.0,48.17617416381836,34.0,82.0
founding_dim768,inno_subsidy,pct_founders_same_residence,236.0,41.59494400024414,35.5,103.0
founding_dim768,inno_subsidy,typology_25c,236.0,44.204994201660156,35.5,95.0
founding_dim768,inno_subsidy,class_1_label,227.0,73.80294799804688,37.0,38.0
founding_dim768,inno_subsidy,capital_chf,218.0,128.42066955566406,38.0,11.0
founding_dim768,inno_subsidy,pct_foreign_founders,196.0,41.02741622924805,39.0,105.0
founding_dim768,inno_subsidy,pct_female_founders,191.0,85.55746459960938,40.0,25.0
founding_dim768,inno_subsidy,bps_max_word_freq_norm,161.0,48.344200134277344,41.0,80.0
founding_dim768,inno_subsidy,pct_founders_with_prior_founding,157.0,43.81914138793945,42.0,97.0
founding_dim768,inno_subsidy,n_existing_firms,140.0,60.117862701416016,43.0,56.0
founding_dim768,inno_subsidy,pct_dr_titles,96.0,43.8647575378418,44.0,96.0
founding_dim768,inno_subsidy,founding_dominant_language_en,95.0,744.2249755859375,45.0,1.0
founding_dim768,inno_subsidy,n_inscribed_firms,89.0,64.1419448852539,46.0,51.0
founding_dim768,inno_subsidy,firm_name_founder_match,84.0,214.8372802734375,47.0,7.0
founding_dim768,inno_subsidy,n_distinct_nationalities,76.0,75.44551849365234,48.0,35.0
founding_dim768,inno_subsidy,section_3_label_M,60.0,214.92752075195312,49.0,6.0
founding_dim768,inno_subsidy,canton_id,58.0,37.4446907043457,50.0,113.0
founding_dim768,inno_subsidy,section_2_label_J,53.0,266.47735595703125,51.0,5.0
founding_dim768,inno_subsidy,founding_dominant_language_de,52.0,109.40298461914062,52.0,17.0
founding_dim768,inno_subsidy,section_2_label_M,51.0,181.45411682128906,53.5,8.0
founding_dim768,inno_subsidy,bps_geographic_term,51.0,42.57246017456055,53.5,100.0
founding_dim768,inno_subsidy,founding_legal_form_4,50.0,106.16759490966797,55.0,20.0
founding_dim768,inno_subsidy,section_1_label_M,47.0,311.1957702636719,56.0,3.0
founding_dim768,inno_subsidy,firm_name_swiss_ref,46.0,51.322086334228516,57.5,70.0
founding_dim768,inno_subsidy,section_3_label_J,46.0,321.3970642089844,57.5,2.0
founding_dim768,inno_subsidy,typology_9c_13.0,43.0,39.20777130126953,59.0,109.0
founding_dim768,inno_subsidy,typology_9c_12.0,40.0,43.29530715942383,60.0,98.0
founding_dim768,inno_subsidy,section_1_label_J,39.0,307.2716979980469,61.0,4.0
founding_dim768,inno_subsidy,founding_dominant_language_fr,38.0,107.52677154541016,63.0,18.0
founding_dim768,inno_subsidy,founding_legal_form_3,38.0,145.68569946289062,63.0,9.0
founding_dim768,inno_subsidy,section_1_label_F,38.0,106.49986267089844,63.0,19.0
founding_dim768,inno_subsidy,typology_9c_11.0,37.0,35.09019470214844,65.0,116.0
founding_dim768,inno_subsidy,section_1_label_N,32.0,74.17682647705078,66.5,37.0
founding_dim768,inno_subsidy,section_3_label_L,32.0,116.57279205322266,66.5,15.0
founding_dim768,inno_subsidy,founding_n_languages,30.0,53.61115646362305,68.5,63.0
founding_dim768,inno_subsidy,section_1_label_K,30.0,65.3300552368164,68.5,49.0
founding_dim768,inno_subsidy,typology_9c_21.0,26.0,60.42607116699219,71.5,55.0
founding_dim768,inno_subsidy,section_3_label_G,26.0,72.59748840332031,71.5,39.0
founding_dim768,inno_subsidy,section_2_label_L,26.0,101.30337524414062,71.5,21.0
