model,target,feature,weight,gain,weight_rank,gain_rank
founding_dim768,inv_exit,days_of_prior_observations,273.0,96.32496643066406,1.0,10.0
founding_dim768,inv_exit,founding_n_internal_links_mean,185.0,77.20409393310547,2.0,28.0
founding_dim768,inv_exit,latitude,179.0,60.3128662109375,3.0,64.0
founding_dim768,inv_exit,founding_mean_text_len,160.0,55.980499267578125,4.0,80.0
founding_dim768,inv_exit,prediction_1_score,154.0,63.99562454223633,5.0,59.0
founding_dim768,inv_exit,founding_vp,150.0,55.3781623840332,6.0,82.0
founding_dim768,inv_exit,founding_pr_sdg_similarity,145.0,57.555267333984375,7.5,72.0
founding_dim768,inv_exit,prediction_3_score,145.0,59.91497802734375,7.5,65.0
founding_dim768,inv_exit,prediction_2_score,140.0,58.15713119506836,9.0,68.0
founding_dim768,inv_exit,n_firms_within_10km,138.0,68.67005920410156,10.0,44.0
founding_dim768,inv_exit,founding_lp,132.0,54.838863372802734,11.0,84.0
founding_dim768,inv_exit,capital_chf,126.0,89.6166000366211,12.0,18.0
founding_dim768,inv_exit,longitude,120.0,64.02444458007812,13.0,58.0
founding_dim768,inv_exit,bps_length,114.0,60.381954193115234,14.0,63.0
founding_dim768,inv_exit,n_firms_within_1km,110.0,69.96610260009766,15.0,41.0
founding_dim768,inv_exit,pct_foreign_founders,106.0,397.68707275390625,16.0,1.0
founding_dim768,inv_exit,population,104.0,70.69951629638672,17.0,38.0
founding_dim768,inv_exit,bps_mean_word_length,103.0,64.332763671875,18.0,56.0
founding_dim768,inv_exit,firm_name_length,100.0,56.575904846191406,19.0,76.0
founding_dim768,inv_exit,bps_lix,96.0,62.176666259765625,20.0,61.0
founding_dim768,inv_exit,founding_n_external_links_mean,91.0,58.36834716796875,21.0,67.0
founding_dim768,inv_exit,bps_freq_ratio_norm,90.0,57.66265106201172,22.0,71.0
founding_dim768,inv_exit,firm_name_founder_match,78.0,218.09754943847656,23.0,2.0
founding_dim768,inv_exit,n_firms_within_2.5km,77.0,69.08633422851562,24.5,42.0
founding_dim768,inv_exit,typology_25c,77.0,84.4100341796875,24.5,21.0
founding_dim768,inv_exit,pct_founders_same_residence,76.0,78.81038665771484,26.0,25.0
founding_dim768,inv_exit,n_firms_within_10m,74.0,90.44083404541016,27.5,15.0
founding_dim768,inv_exit,bps_min_word_freq_norm,74.0,55.365360260009766,27.5,83.0
founding_dim768,inv_exit,founding_legal_form_4,73.0,144.98890686035156,29.0,4.0
founding_dim768,inv_exit,n_founders,64.0,68.53973388671875,30.0,46.0
founding_dim768,inv_exit,group_1_label,62.0,92.88379669189453,31.0,13.0
founding_dim768,inv_exit,district_id,59.0,56.998619079589844,32.0,74.0
founding_dim768,inv_exit,class_3_label,56.0,112.33600616455078,33.5,6.0
founding_dim768,inv_exit,group_3_label,56.0,110.23956298828125,33.5,7.0
founding_dim768,inv_exit,founding_bfs_code,50.0,56.96437072753906,35.5,75.0
founding_dim768,inv_exit,pct_female_founders,50.0,78.05968475341797,35.5,27.0
founding_dim768,inv_exit,class_2_label,49.0,68.4349365234375,37.0,47.0
founding_dim768,inv_exit,group_2_label,44.0,70.71725463867188,38.0,37.0
founding_dim768,inv_exit,division_2_label,41.0,65.12477111816406,39.5,52.0
founding_dim768,inv_exit,section_2_label_F,41.0,95.04956817626953,39.5,11.0
founding_dim768,inv_exit,division_1_label,38.0,104.77788543701172,41.0,8.0
founding_dim768,inv_exit,section_1_label_I,34.0,88.13841247558594,42.5,20.0
founding_dim768,inv_exit,division_3_label,34.0,76.49746704101562,42.5,31.0
founding_dim768,inv_exit,class_1_label,33.0,79.46536254882812,45.0,24.0
founding_dim768,inv_exit,n_existing_firms,33.0,65.24569702148438,45.0,51.0
founding_dim768,inv_exit,section_3_label_Q,33.0,88.90028381347656,45.0,19.0
founding_dim768,inv_exit,section_2_label_L,29.0,131.24295043945312,47.0,5.0
founding_dim768,inv_exit,bps_max_word_freq_norm,28.0,46.8298454284668,48.0,97.0
founding_dim768,inv_exit,section_1_label_K,24.0,60.44095230102539,49.0,62.0
founding_dim768,inv_exit,firm_name_swiss_ref,23.0,76.49932861328125,50.0,30.0
founding_dim768,inv_exit,typology_9c_23.0,22.0,56.05215835571289,51.0,78.0
founding_dim768,inv_exit,n_dissolved_firms,20.0,58.04119110107422,52.0,69.0
founding_dim768,inv_exit,founding_dominant_language_de,19.0,75.29399108886719,53.0,32.0
