model,target,feature,weight,gain,weight_rank,gain_rank
founding_dim768,non_gov_investment,founding_mean_text_len,986.0,40.53127670288086,1.0,84.0
founding_dim768,non_gov_investment,founding_pr_sdg_similarity,883.0,39.474945068359375,2.0,85.0
founding_dim768,non_gov_investment,prediction_3_score,856.0,41.324432373046875,3.0,80.0
founding_dim768,non_gov_investment,firm_name_length,837.0,46.62177658081055,4.0,66.0
founding_dim768,non_gov_investment,days_of_prior_observations,810.0,31.875272750854492,5.0,102.0
founding_dim768,non_gov_investment,founding_lp,789.0,42.77498245239258,6.0,78.0
founding_dim768,non_gov_investment,n_firms_within_10km,788.0,58.86089324951172,7.0,49.0
founding_dim768,non_gov_investment,founding_n_internal_links_mean,784.0,46.26943588256836,8.0,68.0
founding_dim768,non_gov_investment,founding_vp,773.0,46.294715881347656,9.0,67.0
founding_dim768,non_gov_investment,prediction_1_score,770.0,73.99923706054688,10.0,33.0
founding_dim768,non_gov_investment,latitude,768.0,42.76105880737305,11.0,79.0
founding_dim768,non_gov_investment,bps_mean_word_length,764.0,37.87306213378906,12.0,89.0
founding_dim768,non_gov_investment,n_firms_within_1km,762.0,44.220401763916016,13.0,75.0
founding_dim768,non_gov_investment,prediction_2_score,761.0,36.4194221496582,14.0,91.0
founding_dim768,non_gov_investment,bps_freq_ratio_norm,716.0,36.1886100769043,15.0,92.0
founding_dim768,non_gov_investment,n_firms_within_2.5km,707.0,54.49736022949219,16.0,55.0
founding_dim768,non_gov_investment,bps_length,617.0,38.945743560791016,17.0,87.0
founding_dim768,non_gov_investment,bps_lix,616.0,46.09785461425781,18.0,69.0
founding_dim768,non_gov_investment,longitude,613.0,40.56623840332031,19.0,83.0
founding_dim768,non_gov_investment,founding_n_external_links_mean,570.0,43.87549591064453,20.0,77.0
founding_dim768,non_gov_investment,bps_min_word_freq_norm,549.0,40.59303665161133,21.0,82.0
founding_dim768,non_gov_investment,population,491.0,49.908077239990234,22.0,61.0
founding_dim768,non_gov_investment,founding_bfs_code,423.0,43.93938064575195,23.0,76.0
founding_dim768,non_gov_investment,n_founders,359.0,111.41023254394531,24.0,15.0
founding_dim768,non_gov_investment,capital_chf,310.0,91.99473571777344,25.0,23.0
founding_dim768,non_gov_investment,class_3_label,301.0,65.17620086669922,26.0,40.0
founding_dim768,non_gov_investment,group_3_label,289.0,47.31003189086914,27.0,65.0
founding_dim768,non_gov_investment,class_2_label,280.0,64.0286865234375,28.0,45.0
founding_dim768,non_gov_investment,group_1_label,279.0,49.98015594482422,29.0,60.0
founding_dim768,non_gov_investment,n_firms_within_10m,275.0,25.394176483154297,30.0,110.0
founding_dim768,non_gov_investment,pct_founders_same_residence,271.0,36.10409927368164,31.0,93.0
founding_dim768,non_gov_investment,division_2_label,264.0,108.8973617553711,32.0,16.0
founding_dim768,non_gov_investment,group_2_label,254.0,94.07040405273438,33.0,22.0
founding_dim768,non_gov_investment,pct_foreign_founders,240.0,31.089969635009766,34.0,104.0
founding_dim768,non_gov_investment,division_1_label,238.0,59.363521575927734,35.0,48.0
founding_dim768,non_gov_investment,pct_female_founders,220.0,78.01378631591797,36.5,29.0
founding_dim768,non_gov_investment,typology_25c,220.0,61.78699493408203,36.5,46.0
founding_dim768,non_gov_investment,division_3_label,219.0,38.097068786621094,38.0,88.0
founding_dim768,non_gov_investment,district_id,211.0,33.47494125366211,39.0,99.0
founding_dim768,non_gov_investment,class_1_label,209.0,49.25422286987305,40.0,62.0
founding_dim768,non_gov_investment,n_existing_firms,172.0,48.64850616455078,41.0,63.0
