model,target,feature,weight,gain,weight_rank,gain_rank
founding_dim768_w,acquisition,founding_mean_text_len,583.0,36.623069763183594,1.0,81.0
founding_dim768_w,acquisition,prediction_2_score,544.0,45.8354377746582,2.0,62.0
founding_dim768_w,acquisition,days_of_prior_observations,543.0,36.611534118652344,3.5,82.0
founding_dim768_w,acquisition,founding_pr_w_sdg_similarity,543.0,42.00957107543945,3.5,72.0
founding_dim768_w,acquisition,bps_mean_word_length,519.0,75.53146362304688,5.0,32.0
founding_dim768_w,acquisition,prediction_3_score,513.0,58.235748291015625,6.0,43.0
founding_dim768_w,acquisition,prediction_1_score,511.0,40.702484130859375,7.0,75.0
founding_dim768_w,acquisition,latitude,486.0,49.749427795410156,8.0,56.0
founding_dim768_w,acquisition,founding_vp_w,463.0,39.12352752685547,9.0,76.0
founding_dim768_w,acquisition,founding_lp_w,460.0,34.40180206298828,10.0,86.0
founding_dim768_w,acquisition,bps_lix,425.0,56.04706954956055,11.0,48.0
founding_dim768_w,acquisition,n_firms_within_10km,416.0,57.22334289550781,12.0,45.0
founding_dim768_w,acquisition,firm_name_length,415.0,44.511985778808594,13.0,66.0
founding_dim768_w,acquisition,founding_n_internal_links_mean,410.0,82.2407455444336,14.0,27.0
founding_dim768_w,acquisition,longitude,382.0,56.2144660949707,15.0,47.0
founding_dim768_w,acquisition,bps_length,367.0,31.754655838012695,16.0,91.0
founding_dim768_w,acquisition,founding_n_external_links_mean,359.0,43.742889404296875,17.0,67.0
founding_dim768_w,acquisition,n_firms_within_1km,349.0,54.2987174987793,18.0,49.0
founding_dim768_w,acquisition,population,321.0,43.02777099609375,19.0,70.0
founding_dim768_w,acquisition,n_firms_within_2.5km,290.0,41.00666809082031,20.0,74.0
founding_dim768_w,acquisition,founding_bfs_code,288.0,45.24966812133789,21.0,64.0
founding_dim768_w,acquisition,bps_min_word_freq_norm,259.0,46.284950256347656,22.0,60.0
founding_dim768_w,acquisition,bps_freq_ratio_norm,258.0,38.36781311035156,23.0,78.0
founding_dim768_w,acquisition,group_1_label,214.0,47.44284439086914,24.0,58.0
founding_dim768_w,acquisition,group_3_label,177.0,65.12008666992188,25.0,39.0
founding_dim768_w,acquisition,class_2_label,172.0,83.44414520263672,26.0,26.0
founding_dim768_w,acquisition,pct_foreign_founders,171.0,88.95317077636719,27.0,21.0
founding_dim768_w,acquisition,pct_founders_with_prior_founding,165.0,37.874637603759766,28.0,79.0
founding_dim768_w,acquisition,district_id,164.0,57.78575897216797,29.0,44.0
founding_dim768_w,acquisition,n_founders,161.0,42.54996109008789,30.0,71.0
founding_dim768_w,acquisition,class_3_label,156.0,67.1003189086914,31.0,37.0
founding_dim768_w,acquisition,n_firms_within_10m,152.0,50.33160400390625,32.0,55.0
founding_dim768_w,acquisition,typology_25c,150.0,59.008907318115234,33.0,42.0
founding_dim768_w,acquisition,capital_chf,146.0,534.6717529296875,34.0,2.0
founding_dim768_w,acquisition,bps_max_word_freq_norm,137.0,56.44271469116211,35.0,46.0
founding_dim768_w,acquisition,group_2_label,133.0,27.3433837890625,36.0,98.0
founding_dim768_w,acquisition,pct_founders_same_residence,131.0,64.29876708984375,37.0,40.0
founding_dim768_w,acquisition,class_1_label,128.0,44.547821044921875,38.0,65.0
founding_dim768_w,acquisition,n_inscribed_firms,122.0,426.8353576660156,39.0,3.0
founding_dim768_w,acquisition,division_1_label,112.0,71.75778198242188,40.0,33.0
founding_dim768_w,acquisition,pct_female_founders,111.0,50.854042053222656,41.0,54.0
founding_dim768_w,acquisition,division_2_label,100.0,54.279476165771484,42.0,50.0
founding_dim768_w,acquisition,n_existing_firms,80.0,37.026641845703125,43.0,80.0
founding_dim768_w,acquisition,division_3_label,79.0,66.2194595336914,44.0,38.0
founding_dim768_w,acquisition,founding_dominant_language_de,47.0,52.54425048828125,45.0,52.0
founding_dim768_w,acquisition,firm_name_founder_match,37.0,181.65481567382812,46.0,9.0
founding_dim768_w,acquisition,founding_legal_form_3,34.0,2343.20751953125,47.0,1.0
founding_dim768_w,acquisition,canton_id,31.0,31.029369354248047,48.0,93.0
founding_dim768_w,acquisition,section_3_label_M,30.0,114.46147155761719,49.5,17.0
founding_dim768_w,acquisition,typology_9c_32.0,30.0,111.8962173461914,49.5,18.0
founding_dim768_w,acquisition,firm_name_swiss_ref,29.0,31.288253784179688,51.0,92.0
founding_dim768_w,acquisition,bps_geographic_term,28.0,135.1907958984375,52.5,12.0
founding_dim768_w,acquisition,section_1_label_J,28.0,47.01204299926758,52.5,59.0
founding_dim768_w,acquisition,typology_9c_12.0,26.0,32.123470306396484,54.5,87.0
founding_dim768_w,acquisition,typology_9c_13.0,26.0,71.65544128417969,54.5,34.0
