model,target,feature,weight,gain,weight_rank,gain_rank
founding_dim768_w,inv_exit,days_of_prior_observations,619.0,78.693359375,1.0,19.0
founding_dim768_w,inv_exit,prediction_3_score,441.0,51.91421127319336,2.5,73.0
founding_dim768_w,inv_exit,founding_mean_text_len,441.0,47.25132369995117,2.5,94.0
founding_dim768_w,inv_exit,latitude,417.0,56.05136489868164,4.0,60.0
founding_dim768_w,inv_exit,founding_n_internal_links_mean,415.0,62.76397705078125,5.0,44.0
founding_dim768_w,inv_exit,prediction_1_score,399.0,56.576759338378906,6.0,58.0
founding_dim768_w,inv_exit,bps_length,391.0,51.14672088623047,7.0,77.0
founding_dim768_w,inv_exit,founding_lp_w,381.0,52.33856201171875,8.0,70.0
founding_dim768_w,inv_exit,longitude,359.0,53.68158721923828,9.0,65.0
founding_dim768_w,inv_exit,founding_pr_w_sdg_similarity,350.0,52.082462310791016,10.0,71.0
founding_dim768_w,inv_exit,n_firms_within_10km,349.0,58.99837875366211,11.0,55.0
founding_dim768_w,inv_exit,prediction_2_score,337.0,51.57936096191406,12.0,75.0
founding_dim768_w,inv_exit,founding_vp_w,333.0,50.050724029541016,13.0,78.0
founding_dim768_w,inv_exit,bps_lix,324.0,47.99183654785156,14.0,89.0
founding_dim768_w,inv_exit,n_firms_within_1km,312.0,57.925811767578125,15.0,56.0
founding_dim768_w,inv_exit,bps_mean_word_length,310.0,53.45330810546875,16.0,66.0
founding_dim768_w,inv_exit,population,308.0,55.42762756347656,17.0,61.0
founding_dim768_w,inv_exit,bps_freq_ratio_norm,276.0,51.281410217285156,18.0,76.0
founding_dim768_w,inv_exit,firm_name_length,271.0,47.65331268310547,19.0,93.0
founding_dim768_w,inv_exit,n_firms_within_2.5km,269.0,52.01415252685547,20.0,72.0
founding_dim768_w,inv_exit,founding_n_external_links_mean,248.0,52.98816680908203,21.0,67.0
founding_dim768_w,inv_exit,bps_min_word_freq_norm,245.0,49.58779525756836,22.0,82.0
founding_dim768_w,inv_exit,founding_bfs_code,226.0,47.08311462402344,23.0,96.0
founding_dim768_w,inv_exit,capital_chf,221.0,86.53385925292969,24.0,10.0
founding_dim768_w,inv_exit,pct_foreign_founders,179.0,412.0341796875,25.0,1.0
founding_dim768_w,inv_exit,district_id,175.0,47.143157958984375,26.5,95.0
founding_dim768_w,inv_exit,group_1_label,175.0,77.58245849609375,26.5,23.0
founding_dim768_w,inv_exit,class_3_label,167.0,83.79988861083984,28.0,11.0
founding_dim768_w,inv_exit,typology_25c,166.0,66.07532501220703,29.0,33.0
founding_dim768_w,inv_exit,n_firms_within_10m,165.0,77.98668670654297,30.0,22.0
founding_dim768_w,inv_exit,class_2_label,161.0,61.5028190612793,31.5,48.0
founding_dim768_w,inv_exit,group_3_label,161.0,88.54369354248047,31.5,9.0
founding_dim768_w,inv_exit,pct_founders_same_residence,151.0,67.24934387207031,33.0,29.0
founding_dim768_w,inv_exit,group_2_label,146.0,66.21357727050781,34.0,31.0
