model,target,feature,weight,gain,weight_rank,gain_rank
founding_doc2vec,acquisition,bps_mean_word_length,1261.0,143.3686065673828,1.0,9.0
founding_doc2vec,acquisition,founding_doc2vec_diff,1194.0,119.47242736816406,2.0,22.0
founding_doc2vec,acquisition,days_of_prior_observations,1179.0,83.34195709228516,3.0,65.0
founding_doc2vec,acquisition,prediction_3_score,1129.0,87.14684295654297,4.0,58.0
founding_doc2vec,acquisition,prediction_1_score,1121.0,75.04071044921875,5.0,80.0
founding_doc2vec,acquisition,firm_name_length,1114.0,86.26752471923828,6.0,59.0
founding_doc2vec,acquisition,prediction_2_score,1110.0,101.39608764648438,7.5,39.0
founding_doc2vec,acquisition,founding_n_internal_links_mean,1110.0,139.18121337890625,7.5,12.0
founding_doc2vec,acquisition,founding_mean_text_len,1105.0,78.60693359375,9.0,75.0
founding_doc2vec,acquisition,latitude,1089.0,80.61024475097656,10.0,72.0
founding_doc2vec,acquisition,longitude,894.0,98.35855865478516,11.0,42.0
founding_doc2vec,acquisition,n_firms_within_10km,859.0,83.66231536865234,12.0,64.0
founding_doc2vec,acquisition,bps_length,792.0,75.42711639404297,13.5,79.0
founding_doc2vec,acquisition,bps_lix,792.0,90.59950256347656,13.5,51.0
founding_doc2vec,acquisition,founding_n_external_links_mean,771.0,73.39424896240234,15.0,82.0
founding_doc2vec,acquisition,n_firms_within_1km,759.0,80.89765930175781,16.0,68.0
founding_doc2vec,acquisition,population,699.0,88.05972290039062,17.0,56.0
founding_doc2vec,acquisition,n_firms_within_2.5km,679.0,96.32008361816406,18.0,44.0
founding_doc2vec,acquisition,founding_bfs_code,677.0,101.92604064941406,19.0,36.0
founding_doc2vec,acquisition,bps_freq_ratio_norm,655.0,88.06011962890625,20.5,55.0
founding_doc2vec,acquisition,bps_min_word_freq_norm,655.0,90.97952270507812,20.5,50.0
founding_doc2vec,acquisition,capital_chf,528.0,577.9282836914062,22.0,3.0
founding_doc2vec,acquisition,class_2_label,450.0,134.49114990234375,23.0,15.0
founding_doc2vec,acquisition,group_3_label,445.0,126.00274658203125,24.0,17.0
founding_doc2vec,acquisition,pct_foreign_founders,424.0,132.59991455078125,25.0,16.0
founding_doc2vec,acquisition,n_firms_within_10m,391.0,86.03937530517578,26.0,60.0
founding_doc2vec,acquisition,group_1_label,387.0,101.37936401367188,27.0,40.0
founding_doc2vec,acquisition,district_id,380.0,104.16415405273438,28.0,34.0
founding_doc2vec,acquisition,n_founders,379.0,89.73865509033203,29.0,52.0
founding_doc2vec,acquisition,typology_25c,354.0,101.75840759277344,30.0,38.0
founding_doc2vec,acquisition,class_3_label,353.0,121.70283508300781,31.0,19.0
founding_doc2vec,acquisition,pct_founders_same_residence,347.0,105.18950653076172,32.0,33.0
founding_doc2vec,acquisition,pct_female_founders,343.0,76.48681640625,33.0,78.0
founding_doc2vec,acquisition,bps_max_word_freq_norm,326.0,85.1469497680664,34.0,62.0
founding_doc2vec,acquisition,n_inscribed_firms,320.0,681.4384155273438,35.0,2.0
founding_doc2vec,acquisition,class_1_label,311.0,73.77413177490234,36.0,81.0
founding_doc2vec,acquisition,division_2_label,302.0,95.99978637695312,37.0,45.0
founding_doc2vec,acquisition,pct_founders_with_prior_founding,299.0,80.80296325683594,38.0,70.0
founding_doc2vec,acquisition,group_2_label,291.0,80.85472106933594,39.0,69.0
founding_doc2vec,acquisition,division_1_label,284.0,88.17937469482422,40.0,54.0
founding_doc2vec,acquisition,division_3_label,278.0,109.7593765258789,41.0,28.0
founding_doc2vec,acquisition,n_existing_firms,219.0,79.39192962646484,42.0,73.0
founding_doc2vec,acquisition,pct_dr_titles,172.0,101.85272216796875,43.0,37.0
founding_doc2vec,acquisition,firm_name_founder_match,143.0,167.093994140625,44.0,5.0
founding_doc2vec,acquisition,bps_geographic_term,122.0,123.31415557861328,45.0,18.0
founding_doc2vec,acquisition,firm_name_geog_ref,117.0,105.56836700439453,46.0,31.0
founding_doc2vec,acquisition,founding_legal_form_3,115.0,2647.91845703125,47.0,1.0
founding_doc2vec,acquisition,founding_dominant_language_de,104.0,147.6080780029297,48.0,8.0
founding_doc2vec,acquisition,n_distinct_nationalities,93.0,112.72323608398438,49.0,27.0
founding_doc2vec,acquisition,section_2_label_M,87.0,60.84800338745117,50.0,94.0
founding_doc2vec,acquisition,section_3_label_M,85.0,121.30702209472656,51.0,20.0
founding_doc2vec,acquisition,firm_name_holding_ref,83.0,112.94609069824219,52.0,26.0
founding_doc2vec,acquisition,section_1_label_K,81.0,88.58793640136719,53.0,53.0
founding_doc2vec,acquisition,typology_9c_13.0,80.0,84.14766693115234,54.0,63.0
founding_doc2vec,acquisition,canton_id,77.0,57.07579040527344,55.0,100.0
founding_doc2vec,acquisition,typology_9c_21.0,75.0,85.52830505371094,56.0,61.0
founding_doc2vec,acquisition,typology_9c_32.0,72.0,92.92930603027344,57.0,47.0
founding_doc2vec,acquisition,firm_name_swiss_ref,69.0,54.08345413208008,58.0,102.0
founding_doc2vec,acquisition,typology_9c_12.0,67.0,120.42294311523438,59.0,21.0
founding_doc2vec,acquisition,founding_legal_form_4,65.0,541.3919677734375,60.0,4.0
founding_doc2vec,acquisition,firm_name_male_match,62.0,92.11834716796875,61.5,49.0
founding_doc2vec,acquisition,section_1_label_M,62.0,59.7330322265625,61.5,96.0
founding_doc2vec,acquisition,section_1_label_J,59.0,136.0106964111328,63.0,14.0
founding_doc2vec,acquisition,founding_n_languages,54.0,81.08544921875,64.0,67.0
founding_doc2vec,acquisition,section_2_label_K,50.0,69.45880126953125,65.0,87.0
founding_doc2vec,acquisition,typology_9c_11.0,49.0,105.19514465332031,66.0,32.0
founding_doc2vec,acquisition,section_1_label_F,40.0,103.95625305175781,67.0,35.0
founding_doc2vec,acquisition,section_3_label_K,37.0,68.48872375488281,68.0,89.0
founding_doc2vec,acquisition,founding_dominant_language_en,35.0,57.59782409667969,70.0,98.0
founding_doc2vec,acquisition,section_1_label_L,35.0,68.47355651855469,70.0,90.0
founding_doc2vec,acquisition,section_3_label_F,35.0,106.22212982177734,70.0,30.0
founding_doc2vec,acquisition,section_2_label_F,34.0,67.18970489501953,72.0,92.0
founding_doc2vec,acquisition,section_2_label_G,33.0,87.56903839111328,73.0,57.0
founding_doc2vec,acquisition,urban_rural_2.0,31.0,79.22712707519531,75.5,74.0
founding_doc2vec,acquisition,section_2_label_L,31.0,80.7552719116211,75.5,71.0
founding_doc2vec,acquisition,section_3_label_L,31.0,109.64362335205078,75.5,29.0
