model,target,feature,weight,gain,weight_rank,gain_rank
founding_doc2vec,inno_subsidy,prediction_1_score,912.0,100.53787231445312,1.0,29.0
founding_doc2vec,inno_subsidy,founding_doc2vec_diff,904.0,56.77580642700195,2.0,79.0
founding_doc2vec,inno_subsidy,founding_mean_text_len,896.0,61.79486083984375,3.0,68.0
founding_doc2vec,inno_subsidy,prediction_3_score,855.0,51.175743103027344,4.5,97.0
founding_doc2vec,inno_subsidy,days_of_prior_observations,855.0,50.487606048583984,4.5,100.0
founding_doc2vec,inno_subsidy,prediction_2_score,846.0,58.78495788574219,6.0,75.0
founding_doc2vec,inno_subsidy,firm_name_length,791.0,73.0499038696289,7.0,55.0
founding_doc2vec,inno_subsidy,founding_n_internal_links_mean,752.0,58.66669464111328,8.0,76.0
founding_doc2vec,inno_subsidy,bps_mean_word_length,730.0,49.05595016479492,9.0,102.0
founding_doc2vec,inno_subsidy,longitude,720.0,55.43314743041992,10.0,82.0
founding_doc2vec,inno_subsidy,n_firms_within_2.5km,698.0,61.51236343383789,11.0,71.0
founding_doc2vec,inno_subsidy,n_firms_within_10km,657.0,49.828495025634766,12.0,101.0
founding_doc2vec,inno_subsidy,n_firms_within_1km,625.0,55.303680419921875,13.0,84.0
founding_doc2vec,inno_subsidy,bps_lix,622.0,53.31794357299805,14.0,93.0
founding_doc2vec,inno_subsidy,latitude,617.0,52.00129318237305,15.0,96.0
founding_doc2vec,inno_subsidy,bps_freq_ratio_norm,582.0,55.1014404296875,16.0,86.0
founding_doc2vec,inno_subsidy,bps_length,563.0,52.273948669433594,17.5,95.0
founding_doc2vec,inno_subsidy,founding_n_external_links_mean,563.0,61.64601516723633,17.5,70.0
founding_doc2vec,inno_subsidy,population,553.0,57.300106048583984,19.0,78.0
founding_doc2vec,inno_subsidy,bps_min_word_freq_norm,490.0,53.30682373046875,20.0,94.0
founding_doc2vec,inno_subsidy,founding_bfs_code,478.0,59.243682861328125,21.0,74.0
founding_doc2vec,inno_subsidy,n_founders,351.0,132.2437744140625,22.0,16.0
founding_doc2vec,inno_subsidy,n_firms_within_10m,331.0,59.95656967163086,23.0,72.0
founding_doc2vec,inno_subsidy,group_1_label,326.0,112.619873046875,24.0,20.0
founding_doc2vec,inno_subsidy,division_1_label,312.0,107.72836303710938,25.0,22.0
