model,target,feature,weight,gain,weight_rank,gain_rank
founding_doc2vec,inv_exit,days_of_prior_observations,313.0,132.2351531982422,1.0,14.0
founding_doc2vec,inv_exit,capital_chf,183.0,122.22982025146484,2.0,20.0
founding_doc2vec,inv_exit,founding_n_internal_links_mean,176.0,102.90453338623047,3.0,32.0
founding_doc2vec,inv_exit,pct_foreign_founders,163.0,575.139892578125,4.0,1.0
founding_doc2vec,inv_exit,latitude,150.0,77.79727935791016,5.0,61.0
founding_doc2vec,inv_exit,prediction_1_score,148.0,82.19593048095703,6.0,55.0
founding_doc2vec,inv_exit,founding_doc2vec_diff,133.0,77.86357116699219,7.0,60.0
founding_doc2vec,inv_exit,founding_legal_form_4,130.0,173.34872436523438,8.0,4.0
founding_doc2vec,inv_exit,firm_name_founder_match,126.0,328.7563781738281,9.0,2.0
founding_doc2vec,inv_exit,prediction_3_score,124.0,73.73188781738281,10.0,67.0
founding_doc2vec,inv_exit,n_firms_within_1km,114.0,84.76596069335938,11.0,50.0
founding_doc2vec,inv_exit,longitude,109.0,87.22425079345703,12.0,48.0
founding_doc2vec,inv_exit,bps_mean_word_length,107.0,67.59129333496094,13.0,79.0
founding_doc2vec,inv_exit,n_firms_within_10km,100.0,95.91825866699219,14.0,38.0
founding_doc2vec,inv_exit,n_firms_within_10m,97.0,134.75454711914062,15.0,12.0
founding_doc2vec,inv_exit,prediction_2_score,88.0,81.62976837158203,16.0,56.0
founding_doc2vec,inv_exit,firm_name_length,87.0,64.10153198242188,17.0,84.0
founding_doc2vec,inv_exit,pct_founders_same_residence,86.0,109.11868286132812,18.0,27.0
founding_doc2vec,inv_exit,group_3_label,85.0,176.3226776123047,19.0,3.0
founding_doc2vec,inv_exit,founding_mean_text_len,84.0,69.931396484375,20.0,72.0
founding_doc2vec,inv_exit,bps_length,77.0,71.15483856201172,21.0,70.0
founding_doc2vec,inv_exit,population,75.0,99.33698272705078,22.0,36.0
founding_doc2vec,inv_exit,group_1_label,70.0,155.574951171875,23.5,7.0
founding_doc2vec,inv_exit,typology_25c,70.0,114.38172912597656,23.5,23.0
founding_doc2vec,inv_exit,founding_n_external_links_mean,67.0,72.71086120605469,25.0,68.0
founding_doc2vec,inv_exit,bps_freq_ratio_norm,65.0,78.48323822021484,26.0,58.0
founding_doc2vec,inv_exit,founding_bfs_code,63.0,60.07679748535156,27.0,89.0
founding_doc2vec,inv_exit,pct_female_founders,62.0,91.03480529785156,28.0,44.0
founding_doc2vec,inv_exit,section_2_label_F,61.0,126.33692932128906,29.0,19.0
founding_doc2vec,inv_exit,bps_lix,59.0,71.36200714111328,30.0,69.0
founding_doc2vec,inv_exit,n_firms_within_2.5km,58.0,85.0559310913086,31.0,49.0
founding_doc2vec,inv_exit,division_2_label,53.0,99.9068832397461,32.0,35.0
founding_doc2vec,inv_exit,division_1_label,50.0,130.80459594726562,33.0,16.0
founding_doc2vec,inv_exit,class_3_label,47.0,135.8790283203125,34.0,11.0
founding_doc2vec,inv_exit,class_2_label,45.0,100.18867492675781,35.5,34.0
founding_doc2vec,inv_exit,section_2_label_L,45.0,158.89060974121094,35.5,6.0
founding_doc2vec,inv_exit,division_3_label,42.0,131.8551025390625,37.0,15.0
founding_doc2vec,inv_exit,n_existing_firms,40.0,89.05560302734375,38.0,46.0
founding_doc2vec,inv_exit,n_founders,39.0,112.51209259033203,39.0,25.0
founding_doc2vec,inv_exit,bps_min_word_freq_norm,38.0,68.62051391601562,40.5,75.0
founding_doc2vec,inv_exit,group_2_label,38.0,95.61173248291016,40.5,39.0
founding_doc2vec,inv_exit,class_1_label,37.0,120.23796081542969,42.0,21.0
founding_doc2vec,inv_exit,district_id,36.0,66.45126342773438,43.5,83.0
founding_doc2vec,inv_exit,section_3_label_Q,36.0,112.11532592773438,43.5,26.0
founding_doc2vec,inv_exit,founding_legal_form_3,33.0,133.072021484375,45.5,13.0
founding_doc2vec,inv_exit,section_1_label_I,33.0,103.19271850585938,45.5,31.0
founding_doc2vec,inv_exit,bps_max_word_freq_norm,31.0,52.30814743041992,47.0,98.0
founding_doc2vec,inv_exit,founding_dominant_language_de,27.0,95.20474243164062,48.0,40.0
founding_doc2vec,inv_exit,firm_name_swiss_ref,26.0,104.21092224121094,50.0,30.0
founding_doc2vec,inv_exit,section_3_label_F,26.0,142.53074645996094,50.0,9.0
founding_doc2vec,inv_exit,n_distinct_nationalities,26.0,106.54912567138672,50.0,29.0
founding_doc2vec,inv_exit,section_1_label_Q,24.0,101.7656478881836,52.0,33.0
founding_doc2vec,inv_exit,section_3_label_L,21.0,129.4701385498047,53.0,17.0
founding_doc2vec,inv_exit,section_2_label_N,20.0,117.35798645019531,54.0,22.0
founding_doc2vec,inv_exit,section_3_label_I,18.0,108.54086303710938,55.0,28.0
founding_doc2vec,inv_exit,typology_9c_13.0,15.0,69.71604919433594,56.5,74.0
founding_doc2vec,inv_exit,n_dissolved_firms,15.0,67.25505828857422,56.5,81.0
founding_doc2vec,inv_exit,typology_9c_23.0,11.0,68.16779327392578,59.0,76.0
founding_doc2vec,inv_exit,canton_id,11.0,84.3137435913086,59.0,52.0
founding_doc2vec,inv_exit,section_1_label_F,11.0,97.90913391113281,59.0,37.0
founding_doc2vec,inv_exit,section_1_label_K,10.0,82.26263427734375,61.0,54.0
founding_doc2vec,inv_exit,section_1_label_G,9.0,56.41167068481445,63.0,96.0
founding_doc2vec,inv_exit,section_3_label_N,9.0,83.21269989013672,63.0,53.0
founding_doc2vec,inv_exit,section_1_label_N,9.0,63.91728210449219,63.0,85.0
founding_doc2vec,inv_exit,section_2_label_Q,8.0,88.56331634521484,65.5,47.0
founding_doc2vec,inv_exit,section_3_label_M,8.0,67.60631561279297,65.5,78.0
founding_doc2vec,inv_exit,n_inscribed_firms,7.0,77.9830551147461,67.0,59.0
founding_doc2vec,inv_exit,urban_rural_2.0,6.0,69.85428619384766,69.0,73.0
founding_doc2vec,inv_exit,section_3_label_J,6.0,67.5566177368164,69.0,80.0
founding_doc2vec,inv_exit,pct_dr_titles,6.0,57.041290283203125,69.0,93.0
founding_doc2vec,inv_exit,section_2_label_G,5.0,67.97331237792969,73.5,77.0
founding_doc2vec,inv_exit,typology_9c_12.0,5.0,51.4272575378418,73.5,99.0
founding_doc2vec,inv_exit,typology_9c_33.0,5.0,76.07747650146484,73.5,62.0
founding_doc2vec,inv_exit,section_2_label_M,5.0,94.98789978027344,73.5,41.0
founding_doc2vec,inv_exit,typology_9c_22.0,5.0,43.016990661621094,73.5,101.0
founding_doc2vec,inv_exit,firm_name_geog_ref,5.0,91.9001693725586,73.5,43.0
founding_doc2vec,inv_exit,pct_founders_with_prior_founding,4.0,59.601158142089844,78.0,91.0
founding_doc2vec,inv_exit,founding_dominant_language_en,4.0,84.61219787597656,78.0,51.0
founding_doc2vec,inv_exit,section_1_label_H,4.0,39.10868453979492,78.0,103.0
founding_doc2vec,inv_exit,firm_name_male_match,3.0,92.51212310791016,84.5,42.0
founding_doc2vec,inv_exit,founding_legal_form_10,3.0,18.058950424194336,84.5,108.0
founding_doc2vec,inv_exit,founding_dominant_language_it,3.0,70.86688995361328,84.5,71.0
founding_doc2vec,inv_exit,founding_n_languages,3.0,37.759281158447266,84.5,104.0
founding_doc2vec,inv_exit,founding_dominant_language_ru,3.0,29.329233169555664,84.5,107.0
founding_doc2vec,inv_exit,section_1_label_J,3.0,41.06180953979492,84.5,102.0
founding_doc2vec,inv_exit,section_2_label_C,3.0,74.84817504882812,84.5,65.0
founding_doc2vec,inv_exit,section_2_label_J,3.0,66.74374389648438,84.5,82.0
founding_doc2vec,inv_exit,section_2_label_R,3.0,63.16732406616211,84.5,88.0
founding_doc2vec,inv_exit,typology_9c_11.0,3.0,78.85260009765625,84.5,57.0
founding_doc2vec,inv_exit,urban_rural_1.0,2.0,166.9996337890625,95.0,5.0
founding_doc2vec,inv_exit,section_3_label_P,2.0,75.89360046386719,95.0,63.0
founding_doc2vec,inv_exit,section_1_label_P,2.0,56.733680725097656,95.0,95.0
founding_doc2vec,inv_exit,section_1_label_M,2.0,154.04417419433594,95.0,8.0
founding_doc2vec,inv_exit,section_1_label_L,2.0,136.32040405273438,95.0,10.0
founding_doc2vec,inv_exit,section_3_label_H,2.0,44.53565216064453,95.0,100.0
founding_doc2vec,inv_exit,section_2_label_K,2.0,63.686439514160156,95.0,87.0
founding_doc2vec,inv_exit,section_2_label_P,2.0,75.56681823730469,95.0,64.0
founding_doc2vec,inv_exit,firm_name_holding_ref,2.0,89.62805938720703,95.0,45.0
founding_doc2vec,inv_exit,bps_geographic_term,2.0,56.83504104614258,95.0,94.0
founding_doc2vec,inv_exit,firm_name_female_match,2.0,36.42594909667969,95.0,105.0
founding_doc2vec,inv_exit,section_3_label_G,1.0,63.73512268066406,104.5,86.0
founding_doc2vec,inv_exit,typology_9c_31.0,1.0,59.802001953125,104.5,90.0
founding_doc2vec,inv_exit,section_3_label_K,1.0,55.602359771728516,104.5,97.0
founding_doc2vec,inv_exit,founding_dominant_language_fr,1.0,74.34674072265625,104.5,66.0
founding_doc2vec,inv_exit,typology_9c_32.0,1.0,112.54084777832031,104.5,24.0
founding_doc2vec,inv_exit,urban_rural_3.0,1.0,127.29386138916016,104.5,18.0
founding_doc2vec,inv_exit,section_2_label_H,1.0,35.36273193359375,104.5,106.0
founding_doc2vec,inv_exit,section_3_label_C,1.0,57.565284729003906,104.5,92.0
founding_doc2vec,inv_exit,founding_legal_form_5,0.0,0.0,138.5,138.5
founding_doc2vec,inv_exit,section_2_label_E,0.0,0.0,138.5,138.5
founding_doc2vec,inv_exit,section_2_label_D,0.0,0.0,138.5,138.5
founding_doc2vec,inv_exit,section_2_label_I,0.0,0.0,138.5,138.5
founding_doc2vec,inv_exit,bps_male_name,0.0,0.0,138.5,138.5
founding_doc2vec,inv_exit,section_2_label_B,0.0,0.0,138.5,138.5
founding_doc2vec,inv_exit,founding_legal_form_17,0.0,0.0,138.5,138.5
founding_doc2vec,inv_exit,founding_legal_form_6,0.0,0.0,138.5,138.5
founding_doc2vec,inv_exit,section_1_label_B,0.0,0.0,138.5,138.5
founding_doc2vec,inv_exit,section_1_label_U,0.0,0.0,138.5,138.5
founding_doc2vec,inv_exit,section_1_label_T,0.0,0.0,138.5,138.5
founding_doc2vec,inv_exit,section_1_label_S,0.0,0.0,138.5,138.5
founding_doc2vec,inv_exit,section_1_label_R,0.0,0.0,138.5,138.5
founding_doc2vec,inv_exit,section_1_label_O,0.0,0.0,138.5,138.5
founding_doc2vec,inv_exit,founding_legal_form_8,0.0,0.0,138.5,138.5
founding_doc2vec,inv_exit,founding_legal_form_13,0.0,0.0,138.5,138.5
founding_doc2vec,inv_exit,founding_legal_form_15,0.0,0.0,138.5,138.5
founding_doc2vec,inv_exit,founding_legal_form_16,0.0,0.0,138.5,138.5
founding_doc2vec,inv_exit,section_1_label_E,0.0,0.0,138.5,138.5
founding_doc2vec,inv_exit,section_1_label_D,0.0,0.0,138.5,138.5
founding_doc2vec,inv_exit,section_1_label_C,0.0,0.0,138.5,138.5
founding_doc2vec,inv_exit,founding_dominant_language_ar,0.0,0.0,138.5,138.5
founding_doc2vec,inv_exit,section_3_label_E,0.0,0.0,138.5,138.5
founding_doc2vec,inv_exit,section_2_label_O,0.0,0.0,138.5,138.5
founding_doc2vec,inv_exit,founding_dominant_language_pt,0.0,0.0,138.5,138.5
founding_doc2vec,inv_exit,founding_dominant_language_no,0.0,0.0,138.5,138.5
founding_doc2vec,inv_exit,founding_dominant_language_nl,0.0,0.0,138.5,138.5
founding_doc2vec,inv_exit,founding_dominant_language_la,0.0,0.0,138.5,138.5
founding_doc2vec,inv_exit,founding_dominant_language_ko,0.0,0.0,138.5,138.5
founding_doc2vec,inv_exit,founding_dominant_language_kn,0.0,0.0,138.5,138.5
founding_doc2vec,inv_exit,founding_dominant_language_ja,0.0,0.0,138.5,138.5
founding_doc2vec,inv_exit,founding_dominant_language_hu,0.0,0.0,138.5,138.5
founding_doc2vec,inv_exit,founding_dominant_language_hr,0.0,0.0,138.5,138.5
founding_doc2vec,inv_exit,founding_dominant_language_he,0.0,0.0,138.5,138.5
founding_doc2vec,inv_exit,founding_dominant_language_fi,0.0,0.0,138.5,138.5
founding_doc2vec,inv_exit,founding_dominant_language_fa,0.0,0.0,138.5,138.5
founding_doc2vec,inv_exit,founding_dominant_language_es,0.0,0.0,138.5,138.5
founding_doc2vec,inv_exit,founding_dominant_language_el,0.0,0.0,138.5,138.5
founding_doc2vec,inv_exit,founding_dominant_language_da,0.0,0.0,138.5,138.5
founding_doc2vec,inv_exit,founding_dominant_language_cs,0.0,0.0,138.5,138.5
founding_doc2vec,inv_exit,founding_dominant_language_pl,0.0,0.0,138.5,138.5
founding_doc2vec,inv_exit,founding_dominant_language_ro,0.0,0.0,138.5,138.5
founding_doc2vec,inv_exit,section_2_label_S,0.0,0.0,138.5,138.5
founding_doc2vec,inv_exit,founding_dominant_language_sk,0.0,0.0,138.5,138.5
founding_doc2vec,inv_exit,section_3_label_B,0.0,0.0,138.5,138.5
founding_doc2vec,inv_exit,section_3_label_D,0.0,0.0,138.5,138.5
founding_doc2vec,inv_exit,founding_dominant_language_ceb,0.0,0.0,138.5,138.5
founding_doc2vec,inv_exit,section_3_label_O,0.0,0.0,138.5,138.5
founding_doc2vec,inv_exit,section_3_label_R,0.0,0.0,138.5,138.5
founding_doc2vec,inv_exit,section_3_label_S,0.0,0.0,138.5,138.5
founding_doc2vec,inv_exit,typology_9c_21.0,0.0,0.0,138.5,138.5
founding_doc2vec,inv_exit,founding_dominant_language_zh,0.0,0.0,138.5,138.5
founding_doc2vec,inv_exit,founding_dominant_language_tt,0.0,0.0,138.5,138.5
founding_doc2vec,inv_exit,founding_dominant_language_tr,0.0,0.0,138.5,138.5
founding_doc2vec,inv_exit,founding_dominant_language_th,0.0,0.0,138.5,138.5
founding_doc2vec,inv_exit,founding_dominant_language_ta,0.0,0.0,138.5,138.5
founding_doc2vec,inv_exit,founding_dominant_language_sv,0.0,0.0,138.5,138.5
