model,target,feature,weight,gain,weight_rank,gain_rank
founding_doc2vec,non_gov_investment,founding_doc2vec_diff,1282.0,44.77816390991211,1.0,84.0
founding_doc2vec,non_gov_investment,prediction_1_score,1244.0,84.79467010498047,2.0,29.0
founding_doc2vec,non_gov_investment,firm_name_length,1213.0,53.68796157836914,3.0,62.0
founding_doc2vec,non_gov_investment,bps_mean_word_length,1141.0,43.36688995361328,4.0,88.0
founding_doc2vec,non_gov_investment,days_of_prior_observations,1132.0,36.276649475097656,5.0,97.0
founding_doc2vec,non_gov_investment,founding_mean_text_len,1086.0,44.20054626464844,6.0,87.0
founding_doc2vec,non_gov_investment,prediction_3_score,1080.0,47.544410705566406,7.0,76.0
founding_doc2vec,non_gov_investment,prediction_2_score,1052.0,45.5373649597168,8.0,81.0
founding_doc2vec,non_gov_investment,founding_n_internal_links_mean,1047.0,57.17675018310547,9.0,56.0
founding_doc2vec,non_gov_investment,n_firms_within_10km,1038.0,57.56886672973633,10.0,55.0
founding_doc2vec,non_gov_investment,latitude,961.0,42.31433868408203,11.0,90.0
founding_doc2vec,non_gov_investment,n_firms_within_1km,877.0,50.10103988647461,12.0,69.0
founding_doc2vec,non_gov_investment,bps_lix,853.0,53.34864044189453,13.0,63.0
founding_doc2vec,non_gov_investment,bps_freq_ratio_norm,808.0,35.10444259643555,14.0,100.0
founding_doc2vec,non_gov_investment,longitude,801.0,48.961021423339844,15.0,73.0
founding_doc2vec,non_gov_investment,n_firms_within_2.5km,792.0,59.66289520263672,16.0,48.0
founding_doc2vec,non_gov_investment,founding_n_external_links_mean,757.0,44.231563568115234,17.0,86.0
founding_doc2vec,non_gov_investment,bps_length,741.0,45.759857177734375,18.0,80.0
founding_doc2vec,non_gov_investment,bps_min_word_freq_norm,716.0,38.68798828125,19.0,94.0
founding_doc2vec,non_gov_investment,population,564.0,51.93406295776367,20.0,67.0
founding_doc2vec,non_gov_investment,founding_bfs_code,523.0,43.16510772705078,21.0,89.0
founding_doc2vec,non_gov_investment,n_founders,455.0,136.22296142578125,22.0,13.0
founding_doc2vec,non_gov_investment,capital_chf,430.0,125.8397445678711,23.0,15.0
founding_doc2vec,non_gov_investment,n_firms_within_10m,417.0,35.504756927490234,24.0,98.0
founding_doc2vec,non_gov_investment,group_1_label,397.0,58.39950180053711,25.0,52.0
founding_doc2vec,non_gov_investment,class_3_label,394.0,59.47035598754883,26.0,50.0
founding_doc2vec,non_gov_investment,group_3_label,390.0,59.67435073852539,27.0,47.0
founding_doc2vec,non_gov_investment,district_id,354.0,48.56742858886719,28.0,74.0
founding_doc2vec,non_gov_investment,division_1_label,351.0,70.08427429199219,29.5,37.0
founding_doc2vec,non_gov_investment,pct_founders_same_residence,351.0,46.54436111450195,29.5,78.0
founding_doc2vec,non_gov_investment,division_2_label,350.0,96.9784927368164,31.0,25.0
founding_doc2vec,non_gov_investment,division_3_label,323.0,52.231109619140625,32.0,66.0
founding_doc2vec,non_gov_investment,class_2_label,321.0,71.39118957519531,33.0,35.0
founding_doc2vec,non_gov_investment,group_2_label,318.0,97.54523468017578,34.0,24.0
founding_doc2vec,non_gov_investment,pct_female_founders,306.0,80.02130126953125,35.0,30.0
founding_doc2vec,non_gov_investment,n_existing_firms,296.0,54.30878829956055,36.0,59.0
founding_doc2vec,non_gov_investment,class_1_label,290.0,44.928466796875,37.0,83.0
founding_doc2vec,non_gov_investment,typology_25c,267.0,97.57610321044922,38.0,23.0
founding_doc2vec,non_gov_investment,pct_foreign_founders,250.0,29.384479522705078,39.0,108.0
founding_doc2vec,non_gov_investment,bps_max_word_freq_norm,234.0,35.339210510253906,40.0,99.0
founding_doc2vec,non_gov_investment,pct_founders_with_prior_founding,218.0,28.881088256835938,41.0,109.0
founding_doc2vec,non_gov_investment,n_distinct_nationalities,171.0,61.00753402709961,42.5,45.0
founding_doc2vec,non_gov_investment,firm_name_founder_match,171.0,158.4192657470703,42.5,11.0
founding_doc2vec,non_gov_investment,n_inscribed_firms,153.0,46.38827133178711,44.0,79.0
founding_doc2vec,non_gov_investment,section_2_label_J,139.0,690.45751953125,45.5,4.0
founding_doc2vec,non_gov_investment,firm_name_swiss_ref,139.0,70.15044403076172,45.5,36.0
founding_doc2vec,non_gov_investment,founding_legal_form_3,134.0,198.30189514160156,47.0,8.0
founding_doc2vec,non_gov_investment,founding_dominant_language_en,132.0,3606.16455078125,48.0,1.0
founding_doc2vec,non_gov_investment,section_1_label_J,118.0,329.4273986816406,49.0,6.0
founding_doc2vec,non_gov_investment,section_3_label_J,97.0,372.1558532714844,50.0,5.0
founding_doc2vec,non_gov_investment,founding_legal_form_4,94.0,111.41865539550781,51.0,17.0
founding_doc2vec,non_gov_investment,bps_geographic_term,75.0,34.11331558227539,52.0,103.0
founding_doc2vec,non_gov_investment,section_2_label_M,73.0,323.65570068359375,53.0,7.0
founding_doc2vec,non_gov_investment,pct_dr_titles,71.0,44.958526611328125,54.5,82.0
founding_doc2vec,non_gov_investment,firm_name_holding_ref,71.0,58.7689323425293,54.5,51.0
founding_doc2vec,non_gov_investment,canton_id,69.0,39.10232925415039,56.0,93.0
founding_doc2vec,non_gov_investment,founding_dominant_language_de,65.0,2272.291015625,57.0,2.0
founding_doc2vec,non_gov_investment,section_3_label_M,58.0,179.3859405517578,58.0,9.0
founding_doc2vec,non_gov_investment,section_3_label_K,55.0,34.841163635253906,59.0,101.0
founding_doc2vec,non_gov_investment,typology_9c_23.0,52.0,60.74101257324219,60.0,46.0
founding_doc2vec,non_gov_investment,typology_9c_12.0,48.0,34.48210525512695,61.0,102.0
founding_doc2vec,non_gov_investment,section_2_label_L,43.0,168.7382049560547,62.0,10.0
founding_doc2vec,non_gov_investment,section_1_label_M,41.0,73.25926208496094,63.5,34.0
founding_doc2vec,non_gov_investment,founding_dominant_language_fr,41.0,876.8189086914062,63.5,3.0
founding_doc2vec,non_gov_investment,typology_9c_11.0,37.0,67.04749298095703,65.0,40.0
founding_doc2vec,non_gov_investment,section_2_label_K,35.0,51.510459899902344,66.0,68.0
founding_doc2vec,non_gov_investment,typology_9c_21.0,34.0,61.95858383178711,67.0,43.0
founding_doc2vec,non_gov_investment,founding_n_languages,33.0,57.81578826904297,68.0,53.0
founding_doc2vec,non_gov_investment,section_3_label_L,30.0,106.02730560302734,69.0,19.0
founding_doc2vec,non_gov_investment,section_3_label_G,28.0,66.7016830444336,70.0,41.0
founding_doc2vec,non_gov_investment,section_1_label_G,26.0,92.57725524902344,72.0,26.0
founding_doc2vec,non_gov_investment,section_3_label_N,26.0,104.79867553710938,72.0,20.0
